Id,Label,timeset,P
ASV112,ASV112,,Proteobacteria
ASV1120,ASV1120,,Bacteroidetes
ASV1381,ASV1381,,Bacteroidetes
ASV2,ASV2,,Actinobacteria
ASV20,ASV20,,Actinobacteria
ASV214,ASV214,,Proteobacteria
ASV264,ASV264,,Proteobacteria
ASV330,ASV330,,Actinobacteria
ASV352,ASV352,,Actinobacteria
ASV430,ASV430,,Actinobacteria
ASV468,ASV468,,Actinobacteria
ASV721,ASV721,,Acidobacteria
ASV742,ASV742,,Gemmatimonadetes
ASV758,ASV758,,Actinobacteria
ASV1123,ASV1123,,Proteobacteria
ASV428,ASV428,,Proteobacteria
ASV4454,ASV4454,,Actinobacteria
ASV1149,ASV1149,,Proteobacteria
ASV1165,ASV1165,,Bacteroidetes
ASV121,ASV121,,Bacteroidetes
ASV139,ASV139,,Bacteroidetes
ASV142,ASV142,,Bacteroidetes
ASV149,ASV149,,Bacteroidetes
ASV2017,ASV2017,,Proteobacteria
ASV235,ASV235,,Bacteroidetes
ASV244,ASV244,,Proteobacteria
ASV2511,ASV2511,,Actinobacteria
ASV34,ASV34,,Bacteroidetes
ASV416,ASV416,,Actinobacteria
ASV551,ASV551,,Actinobacteria
ASV576,ASV576,,Actinobacteria
ASV589,ASV589,,Verrucomicrobia
ASV619,ASV619,,Proteobacteria
ASV751,ASV751,,Proteobacteria
ASV1132,ASV1132,,Actinobacteria
ASV1136,ASV1136,,Bacteroidetes
ASV2762,ASV2762,,Actinobacteria
ASV283,ASV283,,Proteobacteria
ASV332,ASV332,,Proteobacteria
ASV425,ASV425,,Bacteroidetes
ASV610,ASV610,,Unassigned
ASV952,ASV952,,Actinobacteria
ASV1140,ASV1140,,Chloroflexi
ASV1141,ASV1141,,Proteobacteria
ASV412,ASV412,,Proteobacteria
ASV437,ASV437,,Bacteroidetes
ASV483,ASV483,,Proteobacteria
ASV970,ASV970,,Bacteroidetes
ASV1292,ASV1292,,Proteobacteria
ASV756,ASV756,,Proteobacteria
ASV1499,ASV1499,,Actinobacteria
ASV452,ASV452,,Bacteroidetes
ASV911,ASV911,,Bacteroidetes
ASV1152,ASV1152,,Proteobacteria
ASV865,ASV865,,Bacteroidetes
ASV28,ASV28,,Firmicutes
ASV539,ASV539,,Firmicutes
ASV182,ASV182,,Proteobacteria
ASV469,ASV469,,Actinobacteria
ASV1162,ASV1162,,Actinobacteria
ASV1295,ASV1295,,Actinobacteria
ASV135,ASV135,,Bacteroidetes
ASV1468,ASV1468,,Actinobacteria
ASV16,ASV16,,Saccharibacteria
ASV1647,ASV1647,,Actinobacteria
ASV22,ASV22,,Bacteroidetes
ASV328,ASV328,,Actinobacteria
ASV45,ASV45,,Bacteroidetes
ASV507,ASV507,,Bacteroidetes
ASV886,ASV886,,Actinobacteria
ASV922,ASV922,,Actinobacteria
ASV153,ASV153,,Proteobacteria
ASV2026,ASV2026,,Bacteroidetes
ASV626,ASV626,,Bacteroidetes
ASV872,ASV872,,Proteobacteria
ASV1166,ASV1166,,Actinobacteria
ASV709,ASV709,,Proteobacteria
ASV154,ASV154,,Actinobacteria
ASV307,ASV307,,Saccharibacteria
ASV3072,ASV3072,,Proteobacteria
ASV360,ASV360,,Actinobacteria
ASV374,ASV374,,Bacteroidetes
ASV440,ASV440,,Cyanobacteria
ASV513,ASV513,,Actinobacteria
ASV1186,ASV1186,,Bacteroidetes
ASV3768,ASV3768,,Actinobacteria
ASV4966,ASV4966,,Firmicutes
ASV805,ASV805,,Actinobacteria
ASV925,ASV925,,Bacteroidetes
ASV119,ASV119,,Bacteroidetes
ASV2187,ASV2187,,Firmicutes
ASV320,ASV320,,Chloroflexi
ASV393,ASV393,,Proteobacteria
ASV1193,ASV1193,,Proteobacteria
ASV1763,ASV1763,,Proteobacteria
ASV1196,ASV1196,,Bacteroidetes
ASV3760,ASV3760,,Actinobacteria
ASV2744,ASV2744,,Actinobacteria
ASV12,ASV12,,Proteobacteria
ASV1698,ASV1698,,Proteobacteria
ASV120,ASV120,,Proteobacteria
ASV814,ASV814,,Bacteroidetes
ASV1202,ASV1202,,Proteobacteria
ASV1208,ASV1208,,Bacteroidetes
ASV1338,ASV1338,,Actinobacteria
ASV1546,ASV1546,,Actinobacteria
ASV179,ASV179,,Actinobacteria
ASV1793,ASV1793,,Actinobacteria
ASV267,ASV267,,Bacteroidetes
ASV486,ASV486,,Proteobacteria
ASV570,ASV570,,Actinobacteria
ASV77,ASV77,,Proteobacteria
ASV857,ASV857,,Bacteroidetes
ASV1210,ASV1210,,Actinobacteria
ASV1561,ASV1561,,Proteobacteria
ASV1213,ASV1213,,Actinobacteria
ASV392,ASV392,,Actinobacteria
ASV1215,ASV1215,,Actinobacteria
ASV1219,ASV1219,,Firmicutes
ASV1221,ASV1221,,Bacteroidetes
ASV1254,ASV1254,,Actinobacteria
ASV205,ASV205,,Bacteroidetes
ASV223,ASV223,,Actinobacteria
ASV750,ASV750,,Bacteroidetes
ASV783,ASV783,,Actinobacteria
ASV1228,ASV1228,,Proteobacteria
ASV388,ASV388,,Bacteroidetes
ASV401,ASV401,,Bacteroidetes
ASV234,ASV234,,Proteobacteria
ASV239,ASV239,,Actinobacteria
ASV262,ASV262,,Firmicutes
ASV2809,ASV2809,,Actinobacteria
ASV429,ASV429,,Firmicutes
ASV592,ASV592,,Actinobacteria
ASV78,ASV78,,Firmicutes
ASV816,ASV816,,Bacteroidetes
ASV174,ASV174,,Proteobacteria
ASV178,ASV178,,Actinobacteria
ASV1247,ASV1247,,Gemmatimonadetes
ASV769,ASV769,,Verrucomicrobia
ASV171,ASV171,,Proteobacteria
ASV291,ASV291,,Actinobacteria
ASV435,ASV435,,Actinobacteria
ASV65,ASV65,,Proteobacteria
ASV689,ASV689,,Actinobacteria
ASV126,ASV126,,Actinobacteria
ASV1774,ASV1774,,Actinobacteria
ASV232,ASV232,,Bacteroidetes
ASV127,ASV127,,Proteobacteria
ASV1272,ASV1272,,Actinobacteria
ASV5638,ASV5638,,Actinobacteria
ASV1275,ASV1275,,Bacteroidetes
ASV1277,ASV1277,,Proteobacteria
ASV2066,ASV2066,,Actinobacteria
ASV128,ASV128,,Saccharibacteria
ASV1286,ASV1286,,Firmicutes
ASV167,ASV167,,Saccharibacteria
ASV566,ASV566,,Actinobacteria
ASV1293,ASV1293,,Proteobacteria
ASV611,ASV611,,Chloroflexi
ASV83,ASV83,,Actinobacteria
ASV443,ASV443,,Proteobacteria
ASV131,ASV131,,Proteobacteria
ASV133,ASV133,,Proteobacteria
ASV1437,ASV1437,,Actinobacteria
ASV240,ASV240,,Proteobacteria
ASV4396,ASV4396,,Actinobacteria
ASV84,ASV84,,Proteobacteria
ASV88,ASV88,,Proteobacteria
ASV69,ASV69,,Proteobacteria
ASV1346,ASV1346,,Bacteroidetes
ASV181,ASV181,,Proteobacteria
ASV5488,ASV5488,,Proteobacteria
ASV550,ASV550,,Actinobacteria
ASV1350,ASV1350,,Actinobacteria
ASV1450,ASV1450,,Bacteroidetes
ASV544,ASV544,,Bacteroidetes
ASV676,ASV676,,Bacteroidetes
ASV1353,ASV1353,,Actinobacteria
ASV603,ASV603,,Proteobacteria
ASV136,ASV136,,Actinobacteria
ASV1363,ASV1363,,Bacteroidetes
ASV375,ASV375,,Proteobacteria
ASV797,ASV797,,Firmicutes
ASV1364,ASV1364,,Bacteroidetes
ASV138,ASV138,,Actinobacteria
ASV306,ASV306,,Actinobacteria
ASV560,ASV560,,Bacteroidetes
ASV672,ASV672,,Proteobacteria
ASV8,ASV8,,Verrucomicrobia
ASV540,ASV540,,Bacteroidetes
ASV699,ASV699,,Verrucomicrobia
ASV825,ASV825,,Bacteroidetes
ASV1395,ASV1395,,Bacteroidetes
ASV653,ASV653,,Proteobacteria
ASV719,ASV719,,Proteobacteria
ASV909,ASV909,,Proteobacteria
ASV1408,ASV1408,,Firmicutes
ASV1417,ASV1417,,Proteobacteria
ASV245,ASV245,,Bacteroidetes
ASV897,ASV897,,Bacteroidetes
ASV748,ASV748,,Actinobacteria
ASV755,ASV755,,Actinobacteria
ASV81,ASV81,,Firmicutes
ASV918,ASV918,,Bacteroidetes
ASV143,ASV143,,Proteobacteria
ASV176,ASV176,,Actinobacteria
ASV3485,ASV3485,,Unassigned
ASV474,ASV474,,Actinobacteria
ASV1430,ASV1430,,Proteobacteria
ASV1432,ASV1432,,Actinobacteria
ASV407,ASV407,,Actinobacteria
ASV1435,ASV1435,,Proteobacteria
ASV563,ASV563,,Actinobacteria
ASV705,ASV705,,Chloroflexi
ASV1446,ASV1446,,Actinobacteria
ASV1449,ASV1449,,Actinobacteria
ASV145,ASV145,,Actinobacteria
ASV1466,ASV1466,,Actinobacteria
ASV190,ASV190,,Proteobacteria
ASV766,ASV766,,Actinobacteria
ASV298,ASV298,,Actinobacteria
ASV147,ASV147,,Chloroflexi
ASV1475,ASV1475,,Proteobacteria
ASV148,ASV148,,Bacteroidetes
ASV322,ASV322,,Proteobacteria
ASV924,ASV924,,Firmicutes
ASV960,ASV960,,Actinobacteria
ASV1483,ASV1483,,Actinobacteria
ASV63,ASV63,,Firmicutes
ASV1493,ASV1493,,Firmicutes
ASV160,ASV160,,Actinobacteria
ASV920,ASV920,,Bacteroidetes
ASV1985,ASV1985,,Actinobacteria
ASV224,ASV224,,Actinobacteria
ASV2774,ASV2774,,Proteobacteria
ASV2915,ASV2915,,Proteobacteria
ASV4518,ASV4518,,Proteobacteria
ASV5245,ASV5245,,Proteobacteria
ASV1505,ASV1505,,Proteobacteria
ASV905,ASV905,,Chloroflexi
ASV1946,ASV1946,,Actinobacteria
ASV2486,ASV2486,,Actinobacteria
ASV309,ASV309,,Actinobacteria
ASV1511,ASV1511,,Proteobacteria
ASV1513,ASV1513,,Proteobacteria
ASV2583,ASV2583,,Actinobacteria
ASV5782,ASV5782,,Actinobacteria
ASV852,ASV852,,Actinobacteria
ASV1514,ASV1514,,Actinobacteria
ASV60,ASV60,,Bacteroidetes
ASV185,ASV185,,Actinobacteria
ASV21,ASV21,,Proteobacteria
ASV53,ASV53,,Proteobacteria
ASV1535,ASV1535,,Bacteroidetes
ASV511,ASV511,,Proteobacteria
ASV270,ASV270,,Actinobacteria
ASV541,ASV541,,Actinobacteria
ASV1712,ASV1712,,Firmicutes
ASV1551,ASV1551,,Proteobacteria
ASV421,ASV421,,Actinobacteria
ASV4277,ASV4277,,Proteobacteria
ASV326,ASV326,,Proteobacteria
ASV157,ASV157,,Proteobacteria
ASV308,ASV308,,Proteobacteria
ASV1581,ASV1581,,Proteobacteria
ASV1643,ASV1643,,Proteobacteria
ASV1588,ASV1588,,Proteobacteria
ASV243,ASV243,,Acidobacteria
ASV1594,ASV1594,,Actinobacteria
ASV43,ASV43,,Proteobacteria
ASV832,ASV832,,Firmicutes
ASV201,ASV201,,Actinobacteria
ASV2599,ASV2599,,Actinobacteria
ASV269,ASV269,,Chloroflexi
ASV1607,ASV1607,,Proteobacteria
ASV1626,ASV1626,,Bacteroidetes
ASV163,ASV163,,Bacteroidetes
ASV2185,ASV2185,,Firmicutes
ASV169,ASV169,,Actinobacteria
ASV4257,ASV4257,,Actinobacteria
ASV914,ASV914,,Deinococcus-Thermus
ASV1691,ASV1691,,Actinobacteria
ASV455,ASV455,,Proteobacteria
ASV4229,ASV4229,,Actinobacteria
ASV1704,ASV1704,,Proteobacteria
ASV2552,ASV2552,,Proteobacteria
ASV173,ASV173,,Actinobacteria
ASV1791,ASV1791,,Actinobacteria
ASV1733,ASV1733,,Actinobacteria
ASV353,ASV353,,Bacteroidetes
ASV664,ASV664,,Chloroflexi
ASV2736,ASV2736,,Actinobacteria
ASV657,ASV657,,Proteobacteria
ASV640,ASV640,,Actinobacteria
ASV787,ASV787,,Proteobacteria
ASV813,ASV813,,Proteobacteria
ASV921,ASV921,,Actinobacteria
ASV1772,ASV1772,,Actinobacteria
ASV2411,ASV2411,,Actinobacteria
ASV1780,ASV1780,,Proteobacteria
ASV549,ASV549,,Proteobacteria
ASV217,ASV217,,Proteobacteria
ASV562,ASV562,,Bacteroidetes
ASV1804,ASV1804,,Saccharibacteria
ASV786,ASV786,,Proteobacteria
ASV1812,ASV1812,,Actinobacteria
ASV382,ASV382,,Actinobacteria
ASV1830,ASV1830,,Proteobacteria
ASV667,ASV667,,Proteobacteria
ASV46,ASV46,,Actinobacteria
ASV1842,ASV1842,,Actinobacteria
ASV55,ASV55,,Actinobacteria
ASV23,ASV23,,Proteobacteria
ASV188,ASV188,,Actinobacteria
ASV19,ASV19,,Saccharibacteria
ASV193,ASV193,,Actinobacteria
ASV3107,ASV3107,,Actinobacteria
ASV798,ASV798,,Actinobacteria
ASV1972,ASV1972,,Actinobacteria
ASV1986,ASV1986,,Bacteroidetes
ASV3824,ASV3824,,Actinobacteria
ASV394,ASV394,,Bacteroidetes
ASV314,ASV314,,Actinobacteria
ASV606,ASV606,,Firmicutes
ASV64,ASV64,,Actinobacteria
ASV2010,ASV2010,,Proteobacteria
ASV202,ASV202,,Bacteroidetes
ASV631,ASV631,,Bacteroidetes
ASV669,ASV669,,Proteobacteria
ASV203,ASV203,,Proteobacteria
ASV686,ASV686,,Proteobacteria
ASV359,ASV359,,Actinobacteria
ASV449,ASV449,,Nitrospirae
ASV658,ASV658,,Acidobacteria
ASV757,ASV757,,Cyanobacteria
ASV209,ASV209,,Proteobacteria
ASV434,ASV434,,Proteobacteria
ASV822,ASV822,,Proteobacteria
ASV2093,ASV2093,,Actinobacteria
ASV692,ASV692,,Proteobacteria
ASV257,ASV257,,Proteobacteria
ASV595,ASV595,,Proteobacteria
ASV211,ASV211,,Proteobacteria
ASV2114,ASV2114,,Actinobacteria
ASV2124,ASV2124,,Proteobacteria
ASV386,ASV386,,Actinobacteria
ASV3995,ASV3995,,Proteobacteria
ASV241,ASV241,,Actinobacteria
ASV556,ASV556,,Acidobacteria
ASV596,ASV596,,Actinobacteria
ASV380,ASV380,,Firmicutes
ASV221,ASV221,,Bacteroidetes
ASV2218,ASV2218,,Firmicutes
ASV957,ASV957,,Proteobacteria
ASV2220,ASV2220,,Firmicutes
ASV2623,ASV2623,,Actinobacteria
ASV444,ASV444,,Acidobacteria
ASV502,ASV502,,Proteobacteria
ASV2242,ASV2242,,Bacteroidetes
ASV884,ASV884,,Firmicutes
ASV362,ASV362,,Firmicutes
ASV675,ASV675,,Proteobacteria
ASV2338,ASV2338,,Actinobacteria
ASV236,ASV236,,Actinobacteria
ASV2370,ASV2370,,Actinobacteria
ASV305,ASV305,,Actinobacteria
ASV2400,ASV2400,,Actinobacteria
ASV2433,ASV2433,,Bacteroidetes
ASV426,ASV426,,Proteobacteria
ASV4509,ASV4509,,Unassigned
ASV894,ASV894,,Actinobacteria
ASV250,ASV250,,Actinobacteria
ASV251,ASV251,,Actinobacteria
ASV2530,ASV2530,,Proteobacteria
ASV633,ASV633,,Proteobacteria
ASV2570,ASV2570,,Bacteroidetes
ASV286,ASV286,,Actinobacteria
ASV259,ASV259,,Bacteroidetes
ASV975,ASV975,,Proteobacteria
ASV2610,ASV2610,,Firmicutes
ASV547,ASV547,,Proteobacteria
ASV687,ASV687,,Bacteroidetes
ASV724,ASV724,,Bacteroidetes
ASV622,ASV622,,Verrucomicrobia
ASV265,ASV265,,Actinobacteria
ASV268,ASV268,,Bacteroidetes
ASV272,ASV272,,Proteobacteria
ASV990,ASV990,,Proteobacteria
ASV274,ASV274,,Actinobacteria
ASV275,ASV275,,Proteobacteria
ASV438,ASV438,,Actinobacteria
ASV280,ASV280,,Firmicutes
ASV336,ASV336,,Firmicutes
ASV4788,ASV4788,,Actinobacteria
ASV671,ASV671,,Firmicutes
ASV2817,ASV2817,,Actinobacteria
ASV282,ASV282,,Actinobacteria
ASV2822,ASV2822,,Saccharibacteria
ASV2850,ASV2850,,Actinobacteria
ASV490,ASV490,,Actinobacteria
ASV289,ASV289,,Actinobacteria
ASV711,ASV711,,Proteobacteria
ASV2940,ASV2940,,Proteobacteria
ASV2974,ASV2974,,Actinobacteria
ASV414,ASV414,,Proteobacteria
ASV86,ASV86,,Bacteroidetes
ASV3189,ASV3189,,Gemmatimonadetes
ASV75,ASV75,,Proteobacteria
ASV302,ASV302,,Bacteroidetes
ASV838,ASV838,,Actinobacteria
ASV311,ASV311,,Bacteroidetes
ASV316,ASV316,,Firmicutes
