SSF,SST,SSP,SSF|SST,SSF|SSP,SST|SSP,SSF|SST|SSP
,,,ASV5068,ASV2496,,ASV383
,,,ASV5116,ASV2499,,ASV301
,,,ASV5485,ASV2706,,ASV377
,,,ASV5635,ASV3083,,ASV823
,,,ASV5791,ASV3151,,ASV349
,,,ASV5799,ASV3308,,ASV1112
,,,ASV5909,ASV4504,,ASV379
,,,ASV5085,ASV4944,,ASV4983
,,,ASV5944,ASV2227,,ASV345
,,,,ASV2325,,ASV2915
,,,,ASV2332,,ASV327
,,,,ASV2428,,ASV354
,,,,ASV2474,,ASV375
,,,,ASV2495,,ASV404
,,,,ASV2543,,ASV378
,,,,ASV2578,,ASV320
,,,,ASV2656,,ASV411
,,,,ASV2702,,ASV482
,,,,ASV2995,,ASV350
,,,,ASV3093,,ASV656
,,,,ASV3426,,ASV299
,,,,ASV3845,,ASV340
,,,,ASV4198,,ASV389
,,,,ASV4737,,ASV437
,,,,ASV4822,,ASV671
,,,,ASV2096,,ASV319
,,,,ASV2200,,ASV374
,,,,ASV2295,,ASV386
,,,,ASV2377,,ASV391
,,,,ASV2735,,ASV424
,,,,ASV2757,,ASV401
,,,,ASV3001,,ASV860
,,,,ASV3196,,ASV5690
,,,,ASV3243,,ASV370
,,,,ASV3355,,ASV439
,,,,ASV3423,,ASV1358
,,,,ASV3826,,ASV681
,,,,ASV4803,,ASV358
,,,,ASV4883,,ASV2552
,,,,ASV5542,,ASV346
,,,,ASV2320,,ASV406
,,,,ASV2351,,ASV490
,,,,ASV2381,,ASV388
,,,,ASV2415,,ASV393
,,,,ASV2416,,ASV360
,,,,ASV2529,,ASV365
,,,,ASV2642,,ASV407
,,,,ASV2657,,ASV1774
,,,,ASV2674,,ASV409
,,,,ASV2689,,ASV304
,,,,ASV2733,,ASV339
,,,,ASV3199,,ASV432
,,,,ASV3245,,ASV597
,,,,ASV3526,,ASV4257
,,,,ASV3821,,ASV380
,,,,ASV3928,,ASV544
,,,,ASV4128,,ASV2208
,,,,ASV4263,,ASV461
,,,,ASV4565,,ASV351
,,,,ASV4777,,ASV396
,,,,ASV4922,,ASV475
,,,,ASV4996,,ASV369
,,,,ASV2163,,ASV332
,,,,ASV2192,,ASV1015
,,,,ASV2566,,ASV364
,,,,ASV2592,,ASV427
,,,,ASV2619,,ASV430
,,,,ASV2731,,ASV398
,,,,ASV2768,,ASV456
,,,,ASV2800,,ASV385
,,,,ASV2868,,ASV508
,,,,ASV2954,,ASV1338
,,,,ASV2955,,ASV640
,,,,ASV3311,,ASV2291
,,,,ASV4001,,ASV414
,,,,ASV4048,,ASV1152
,,,,ASV4632,,ASV1002
,,,,ASV4739,,ASV390
,,,,ASV4784,,ASV587
,,,,ASV5514,,ASV417
,,,,ASV2109,,ASV560
,,,,ASV2473,,ASV2486
,,,,ASV2517,,ASV466
,,,,ASV2544,,ASV1132
,,,,ASV2581,,ASV2850
,,,,ASV2600,,ASV1092
,,,,ASV2982,,ASV463
,,,,ASV3021,,ASV438
,,,,ASV3043,,ASV464
,,,,ASV3142,,ASV419
,,,,ASV3220,,ASV408
,,,,ASV3469,,ASV1073
,,,,ASV3499,,ASV1161
,,,,ASV3525,,ASV410
,,,,ASV3564,,ASV420
,,,,ASV3654,,ASV481
,,,,ASV3864,,ASV592
,,,,ASV3915,,ASV3576
,,,,ASV4051,,ASV426
,,,,ASV5087,,ASV3236
,,,,ASV5854,,ASV413
,,,,ASV2315,,ASV405
,,,,ASV2512,,ASV399
,,,,ASV2691,,ASV402
,,,,ASV2724,,ASV400
,,,,ASV2725,,ASV421
,,,,ASV2803,,ASV735
,,,,ASV2805,,ASV960
,,,,ASV2898,,ASV422
,,,,ASV3012,,ASV467
,,,,ASV3175,,ASV1030
,,,,ASV3349,,ASV444
,,,,ASV3435,,ASV403
,,,,ASV3896,,ASV497
