bray_curtis_binary	A.0	A.1	A.3	A.6	A.4	A.2	A.11	A.5	A.7	A.12	A.14	A.9	A.13	A.15	A.8	A.16	G.1	G.3	G.4	LW.1	G.2	G.5	GR.01	A.17	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.29	A.32	A.30	A.28	C3.2	A.34	BS.2	T.1
A.26	0.479	0.477	0.479	0.480	0.486	0.479	0.463	0.467	0.474	0.462	0.464	0.464	0.457	0.452	0.463	0.438	0.600	0.628	0.607	0.551	0.685	0.731	0.614	0.417	0.393	0.409	0.354	0.328	0.315	0	0.301	0.306	0.312	0.302	0.311	0.324	0.347	0.323	0.509
A.27	0.483	0.477	0.486	0.484	0.486	0.479	0.474	0.478	0.486	0.472	0.475	0.470	0.472	0.457	0.470	0.445	0.591	0.619	0.598	0.552	0.681	0.719	0.621	0.428	0.418	0.413	0.363	0.335	0.320	0.301	0	0.290	0.311	0.309	0.305	0.329	0.343	0.344	0.521
A.29	0.485	0.473	0.472	0.483	0.482	0.487	0.471	0.478	0.487	0.464	0.479	0.470	0.478	0.460	0.468	0.444	0.596	0.620	0.594	0.537	0.678	0.722	0.611	0.435	0.425	0.418	0.365	0.338	0.335	0.306	0.290	0	0.285	0.291	0.303	0.312	0.331	0.327	0.520
A.32	0.453	0.456	0.457	0.461	0.467	0.466	0.456	0.460	0.479	0.464	0.467	0.470	0.469	0.450	0.465	0.447	0.573	0.587	0.574	0.517	0.661	0.715	0.605	0.436	0.435	0.429	0.397	0.358	0.347	0.312	0.311	0.285	0	0.297	0.313	0.309	0.328	0.334	0.509
A.30	0.460	0.461	0.464	0.465	0.474	0.465	0.464	0.464	0.471	0.459	0.452	0.460	0.452	0.452	0.451	0.435	0.576	0.598	0.573	0.529	0.663	0.709	0.611	0.426	0.414	0.414	0.368	0.329	0.328	0.302	0.309	0.291	0.297	0	0.312	0.314	0.321	0.322	0.495
A.28	0.467	0.470	0.476	0.477	0.477	0.479	0.474	0.472	0.489	0.466	0.466	0.465	0.456	0.451	0.464	0.444	0.594	0.619	0.595	0.542	0.675	0.722	0.620	0.423	0.415	0.414	0.363	0.342	0.328	0.311	0.305	0.303	0.313	0.312	0	0.330	0.344	0.331	0.517
C3.2	0.465	0.475	0.476	0.483	0.486	0.481	0.476	0.470	0.489	0.466	0.480	0.481	0.474	0.459	0.469	0.452	0.574	0.596	0.574	0.520	0.654	0.706	0.591	0.438	0.442	0.432	0.396	0.358	0.350	0.324	0.329	0.312	0.309	0.314	0.330	0	0.337	0.326	0.508
A.34	0.463	0.462	0.459	0.457	0.455	0.460	0.449	0.455	0.466	0.451	0.448	0.456	0.456	0.446	0.448	0.430	0.575	0.599	0.579	0.534	0.668	0.711	0.621	0.429	0.429	0.420	0.392	0.369	0.364	0.347	0.343	0.331	0.328	0.321	0.344	0.337	0	0.352	0.511
BS.2	0.503	0.491	0.495	0.492	0.491	0.494	0.488	0.488	0.497	0.482	0.478	0.481	0.478	0.466	0.474	0.463	0.607	0.634	0.608	0.563	0.684	0.718	0.623	0.430	0.416	0.419	0.381	0.360	0.358	0.323	0.344	0.327	0.334	0.322	0.331	0.326	0.352	0	0.514
T.1	0.458	0.461	0.465	0.457	0.455	0.453	0.477	0.456	0.472	0.458	0.463	0.466	0.464	0.474	0.473	0.468	0.426	0.471	0.459	0.407	0.541	0.619	0.484	0.478	0.505	0.511	0.532	0.512	0.508	0.509	0.521	0.520	0.509	0.495	0.517	0.508	0.511	0.514	0
