bray_curtis	A.0	A.1	A.11	A.12	A.14	A.13	A.8	A.9	A.15	A.16	A.4	A.6	A.7	A.5	A.3	A.17	A.2	A.20	A.21	T.1	G.1	G.3	G.4	LW.1	G.2	G.5	GR.01	A.23	A.24	A.25	A.26	A.28	A.27	A.29	A.30	A.32	A.34	C3.2	BS.2
A.4	0.502	0.286	0.230	0.244	0.262	0.248	0.246	0.237	0.303	0.300	0	0.187	0.202	0.196	0.201	0.370	0.232	0.453	0.503	0.524	0.600	0.531	0.530	0.644	0.669	0.624	0.677	0.685	0.631	0.622	0.647	0.649	0.666	0.635	0.656	0.642	0.591	0.668	0.647
A.6	0.495	0.284	0.210	0.221	0.236	0.243	0.241	0.234	0.288	0.304	0.187	0	0.182	0.197	0.220	0.351	0.255	0.440	0.492	0.499	0.604	0.529	0.536	0.636	0.672	0.656	0.680	0.667	0.625	0.617	0.641	0.648	0.662	0.635	0.650	0.637	0.587	0.660	0.643
A.7	0.544	0.312	0.211	0.212	0.230	0.219	0.207	0.201	0.287	0.295	0.202	0.182	0	0.204	0.248	0.346	0.260	0.430	0.487	0.481	0.618	0.543	0.548	0.656	0.689	0.658	0.689	0.671	0.632	0.624	0.648	0.654	0.671	0.643	0.660	0.649	0.599	0.676	0.661
A.5	0.531	0.325	0.253	0.251	0.259	0.242	0.216	0.212	0.309	0.290	0.196	0.197	0.204	0	0.243	0.370	0.248	0.462	0.514	0.502	0.624	0.551	0.558	0.654	0.694	0.635	0.702	0.685	0.637	0.630	0.651	0.657	0.672	0.643	0.664	0.650	0.600	0.674	0.652
A.3	0.465	0.263	0.261	0.283	0.297	0.287	0.296	0.292	0.331	0.341	0.201	0.220	0.248	0.243	0	0.400	0.246	0.481	0.515	0.569	0.591	0.521	0.517	0.626	0.655	0.625	0.669	0.676	0.621	0.611	0.632	0.642	0.655	0.623	0.643	0.628	0.582	0.653	0.644
A.17	0.584	0.421	0.290	0.264	0.246	0.257	0.328	0.320	0.222	0.225	0.370	0.351	0.346	0.370	0.400	0	0.404	0.310	0.377	0.538	0.687	0.600	0.622	0.721	0.754	0.727	0.740	0.525	0.563	0.558	0.594	0.597	0.632	0.635	0.634	0.613	0.557	0.641	0.608
A.2	0.535	0.324	0.281	0.304	0.318	0.296	0.260	0.255	0.331	0.311	0.232	0.255	0.260	0.248	0.246	0.404	0	0.489	0.530	0.564	0.625	0.554	0.558	0.655	0.686	0.593	0.703	0.685	0.640	0.632	0.656	0.658	0.676	0.647	0.669	0.650	0.606	0.682	0.674
A.20	0.611	0.443	0.377	0.352	0.345	0.356	0.409	0.406	0.342	0.354	0.453	0.440	0.430	0.462	0.481	0.310	0.489	0	0.178	0.537	0.673	0.669	0.664	0.755	0.795	0.787	0.722	0.543	0.582	0.609	0.638	0.650	0.683	0.693	0.648	0.662	0.589	0.636	0.595
A.21	0.614	0.478	0.437	0.421	0.413	0.423	0.462	0.458	0.405	0.416	0.503	0.492	0.487	0.514	0.515	0.377	0.530	0.178	0	0.579	0.691	0.699	0.689	0.770	0.806	0.804	0.743	0.526	0.576	0.595	0.627	0.643	0.671	0.688	0.644	0.661	0.590	0.620	0.580
T.1	0.669	0.545	0.505	0.491	0.500	0.503	0.464	0.474	0.542	0.553	0.524	0.499	0.481	0.502	0.569	0.538	0.564	0.537	0.579	0	0.641	0.645	0.646	0.684	0.783	0.807	0.729	0.760	0.760	0.768	0.777	0.788	0.802	0.798	0.783	0.789	0.759	0.745	0.726
