Family	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Methylocystaceae	0.00762	0.0114	0	0.0114	0	0.0114	0	0.00762	0.0152	0.00762	0.00381	0	0	0.0114	0.00381	0.0229	0.00381	0.019	0.0114	0.0267	0.00762	0.00762	0.00762	0.0229	0.0152	0.00381	0.00762	0.00762	0.0229	0.00381	0.00381	0.019	0.00381	0.019	0.00762	0	0	0.00762	0.0152	0.0
Sva0996_marine_group	0.00381	0.00381	0	0	0.00381	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0.0114	0.00381	0.00381	0	0	0	0.00381	0	0.00762	0.00762	0	0.00762	0.0152	0	0.0
Chthonomonadaceae	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0.00762	0	0.00381	0	0	0	0	0	0.00381	0	0.0152	0	0.00762	0	0.00381	0	0.0
Syntrophaceae	0.0267	0.00762	0.00381	0	0.00762	0	0.00762	0.00381	0.00381	0.0114	0	0	0.00381	0.00762	0	0	0	0	0	0.00381	0.00381	0	0	0.00762	0.00381	0	0.00762	0.00381	0.00381	0	0.00381	0	0	0	0.00762	0.13	0	0	0	0.0
P3OB-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114	0.0114	0.00762	0.00381	0.0381	0	0	0	0.0
Peptostreptococcaceae	0.00762	0	0	0	0.00762	0	0	0	0	0.00381	0.00762	0	0	0	0	0	0	0	0.00381	0	0.00381	0.00381	0.00762	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Spike	0.0952	1.02	0.507	0.594	0.495	0.461	0.827	1.26	3.33	1.04	0.32	0.271	0.69	0.865	0.937	0.632	0.648	0.979	0.602	0.507	0.339	0.667	0.93	0.853	0.629	0.556	0.686	0.419	0.571	0.316	0.217	0.183	0.499	0.739	0.739	1.75	0.0419	0.171	0.107	0.0
Nocardiopsaceae	0.00762	0.00762	0.0114	0.019	0.00762	0	0.00762	0	0.0114	0.0152	0.00381	0	0	0	0	0.00381	0	0	0.00381	0.00762	0	0	0	0.00381	0.00762	0.00381	0.0114	0.00381	0.0114	0	0	0.00381	0	0	0.0229	0	0	0	0	0.0
Conexibacteraceae	0.00762	0	0.00381	0.00381	0.00381	0	0	0.00381	0	0.0152	0.00381	0	0	0.00381	0.00381	0	0	0	0	0.00381	0	0	0	0.00381	0.00381	0.00381	0	0.00381	0.00381	0	0	0.00381	0	0.00381	0.00381	0.00762	0	0	0	0.0
Nitriliruptoraceae	0.00381	0.0229	0.00762	0.019	0.00762	0.00762	0.00762	0.00381	0	0.00762	0	0	0.00381	0	0	0.00381	0.00762	0.00381	0.00762	0.0152	0.00381	0.019	0	0.00762	0.0152	0.0114	0.0114	0.00381	0.0114	0	0.0152	0.00381	0.00381	0.00381	0.00762	0	0	0.019	0	0.0
Staphylococcaceae	0	0.00762	0.00381	0.00762	0.0152	0.00762	0	0.00381	0.00381	0.00762	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0.00381	0	0.00381	0.00381	0	0	0	0	0.00381	0.00762	0	0	0	0	0.0
Thiotrichaceae	0	0	0	0	0.00762	0	0.00381	0	0.00381	0.00762	0	0	0	0	0.00381	0.00381	0	0.00381	0	0	0	0.0114	0.00381	0	0	0	0	0	0.00762	0	0	0	0	0	0.00381	0.0229	0	0	0.00381	0.0
alphaI_cluster	0.00381	0.00381	0.00381	0.00381	0	0.0114	0.00381	0	0	0.00762	0.00381	0	0	0.00381	0	0.00762	0	0	0.00381	0.00381	0	0.00381	0	0.0114	0.00381	0.0152	0.0152	0.00762	0	0.00762	0	0	0	0.00381	0	0	0	0.00381	0.00381	0.0
7B-8	0.00762	0.0152	0.00381	0	0	0.00762	0.00381	0.00381	0.00381	0.00381	0	0	0	0	0	0.00381	0	0.00381	0	0.00762	0	0	0	0.0152	0	0.00762	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0.0
0319-6A21	0.0114	0.0114	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114	0	0	0.00381	0	0	0	0	0	0	0.00381	0.00381	0.0343	0	0	0	0.0
planctomycete_WY108	0.00381	0	0.00762	0.019	0.0114	0	0.0114	0.00762	0	0.00381	0	0	0	0	0	0	0	0.0114	0.00381	0.00762	0	0.00381	0	0.0114	0	0	0.00381	0	0.00381	0	0	0.00762	0	0	0.0152	0	0.00381	0.00762	0.00381	0.0
01D2Z36	0.00381	0.00381	0.00381	0.00762	0	0.00381	0	0	0	0.00381	0	0.00381	0.00381	0	0	0.0152	0.0114	0.00762	0	0.0114	0.00381	0	0	0	0.00381	0.00381	0.00381	0	0	0.00381	0	0.00381	0	0	0	0	0.0152	0	0	0.0
AKYG937	0.0152	0.0114	0	0	0.00381	0.00762	0.00381	0.00381	0	0	0	0	0	0.00381	0	0.0114	0.00381	0.0229	0.0114	0.00762	0.0114	0.00381	0	0.00381	0.00381	0.00762	0	0	0.00381	0.0114	0.00381	0.0114	0	0.0114	0.0229	0	0	0.00762	0.0305	0.0
Beutenbergiaceae	0.00762	0.0419	0.0114	0.0114	0.019	0.0229	0.0152	0.0229	0.00762	0.0152	0.0305	0.00762	0.0114	0.00762	0.00762	0.00381	0.00381	0.0152	0.00381	0.0114	0.00762	0.0114	0.00762	0.0267	0.0267	0.00762	0.0267	0.00762	0.0267	0	0.00762	0.0305	0	0.019	0.0152	0	0.00381	0.00381	0.0838	0.0
Blfdi19	0.00381	0.00381	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0.00381	0	0	0	0	0	0	0.00381	0	0	0	0	0	0.0229	0.00381	0.00762	0.0876	0.00381	0	0	0.0
Parvularculaceae	0.00381	0.00762	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0.00381	0	0	0	0	0	0.00381	0.00381	0.00381	0.00762	0.00381	0.00381	0.00762	0	0	0.0343	0	0.0305	0.0305	0	0.0114	0.0838	0.0229	0.0
AKYH767	0.019	0	0.0114	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0	0.00381	0	0.00381	0	0	0.00381	0	0	0.00762	0.061	0.0305	0.019	0.0381	0.00381	0.0343	0	0.0
Acidothermaceae	0	0.0114	0	0	0	0.00381	0	0.00381	0	0.00762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0.0114	0.00762	0	0.00381	0	0	0.0
Halomonadaceae	0.00762	0.00381	0	0.00381	0.00381	0.00381	0.00381	0.00381	0	0	0	0	0	0	0.00381	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0.00762	0	0	0	0	0	0	0	0	0.0114	0	0.0
JG35-K1-AG5	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.0343	0.00762	0.0114	0.00381	0.0343	0.00381	0	0.0
Glycomycetaceae	0.0305	0.0495	0.0229	0.00762	0.0229	0.0229	0.0152	0.00762	0.00381	0.0114	0	0.00381	0.00381	0	0	0.00381	0	0	0	0.0457	0	0.00381	0	0.0229	0.0114	0.0229	0.019	0.00762	0.00381	0	0	0	0	0.0152	0.0267	0	0	0.00381	0	0.0
Frankiaceae	0.00762	0.00381	0.00381	0.00381	0.00381	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0	0.00381	0.00381	0.0152	0.00381	0	0	0	0	0.00381	0	0	0	0	0.00381	0	0.0
GR-WP33-58	0	0.00762	0.00381	0.00381	0	0	0.00381	0	0	0.00762	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0.00762	0	0	0.00381	0.0152	0	0	0	0	0	0	0	0	0	0	0.0
JTB255_marine_benthic_group	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0	0	0	0	0	0	0.00762	0	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0.0
Lachnospiraceae	0.00381	0	0	0.00381	0	0	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0.00381	0	0	0	0	0	0	0.0267	0.0229	0.0381	0.019	0.0305	0	0.0114	0.00381	0.0
Leuconostocaceae	0	0	0.00381	0.00762	0	0.00381	0.00381	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0.00381	0	0	0.00381	0.00381	0.0152	0.00381	0	0	0	0	0.00381	0	0	0	0	0	0.0
LiUU-11-161	0	0.0152	0.00381	0.00381	0	0.00381	0.00381	0.00762	0	0.00381	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0.00762	0.00381	0.0114	0.00381	0.00762	0.0152	0	0	0	0	0	0	0	0	0	0	0.0
KCM-B-112	0.0229	0.0114	0.00381	0.0114	0.0114	0	0.00381	0	0.00381	0.00762	0	0	0	0	0	0	0	0	0	0.0114	0	0	0	0.0114	0	0.00762	0.0114	0	0.0152	0	0	0	0	0	0	0	0	0	0	0.0
LD12_freshwater_group	0	0.0343	0.0305	0.0152	0.019	0.0229	0.019	0.0229	0.00381	0.0114	0	0.00381	0	0	0	0	0	0	0	0.0114	0	0	0	0.0114	0.0229	0.0381	0.0114	0.00762	0.00762	0	0	0	0	0	0	0	0	0	0	0.0
Demequinaceae	0	0.0114	0	0	0.00762	0.00762	0.00381	0	0.00381	0.00762	0	0	0.171	0.354	0.16	0.206	0.103	0.21	0.213	0.00762	0.179	0.152	0.0686	0.00381	0	0.00762	0	0.0114	0.00381	0.061	0.0457	0.00381	0.00762	0	0	0	0	0	0.00762	0.0
Shewanellaceae	0.00381	0.00762	0.00762	0	0	0.0229	0.00762	0.00381	0	0	0.00381	0.019	0.0114	0	0.00381	0	0	0	0	0	0	0	0	0	0	0.00381	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0.0
Piscirickettsiaceae	0.0381	0.00762	0.00381	0	0.00381	0	0.00381	0	0	0.00762	0	0.00381	0	0	0	0	0	0	0	0.00381	0	0	0	0.00762	0	0.00381	0.00381	0.00381	0	0.019	0	0	0	0	0	0	0	0.00381	0	0.0
Sphaerobacteraceae	0.00381	0.0114	0.00381	0	0	0	0	0.00762	0	0.00762	0.00762	0	0	0	0	0	0	0	0	0.00762	0	0	0.00381	0.00381	0	0	0	0	0	0	0	0.00762	0.00762	0.00381	0	0	0	0.0152	0.00381	0.0
DA101_soil_group	0.00381	0.00381	0.0114	0.00381	0	0	0	0	0.00381	0.00381	0	0	0.00381	0	0	0	0.00381	0.00381	0	0.00381	0.00381	0.0114	0	0.00762	0	0.00381	0.00762	0	0.00762	0	0	0.019	0	0.0648	0.0381	0	0	0.0267	0.019	0.0
MWH-CFBk5	0	0.00381	0	0	0	0.00381	0.00381	0.00381	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0.00762	0	0.00762	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.0
Listeriaceae	0	0	0.0114	0	0	0.00762	0.0114	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0.0305	0.00381	0.00762	0	0	0	0	0	0	0	0	0	0	0	0.0
Family_XVIII	0	0.00762	0.00762	0.00381	0	0	0.00381	0.00381	0.00381	0.00762	0	0.00762	0	0	0	0	0	0	0	0	0	0	0	0.00762	0	0.00381	0.00381	0.00381	0	0	0	0	0	0	0.00381	0	0	0	0	0.0
Elev-16S-573	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0	0.0533	0	0	0	0.0
M05-Pitesti	0	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0.00381	0.00762	0.00381	0	0	0.00381	0.00381	0	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0.0229	0	0.0
SM2D12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0686	0.00762	0	0	0	0.00381	0	0.0
