Family	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Phyllobacteriaceae	0.133	0.232	0.225	0.107	0.122	0.137	0.114	0.103	0.0952	0.152	0.107	0.08	0.122	0.168	0.217	0.305	0.331	0.331	0.472	0.21	0.392	0.48	0.442	0.206	0.168	0.19	0.152	0.118	0.168	0.236	0.301	0.168	0.255	0.198	0.126	0.152	0.21	0.187	0.061	0.6
Erythrobacteraceae	0.366	0.499	0.392	0.328	0.286	0.305	0.301	0.271	0.415	0.309	0.381	0.305	0.461	0.857	0.872	0.861	0.64	0.85	0.549	0.541	0.568	0.545	0.312	0.347	0.255	0.267	0.286	0.232	0.286	0.465	0.389	0.187	0.175	0.32	0.141	0.145	0.168	0.133	0.168	0.6
Rhizobiaceae	0.575	0.423	0.354	0.396	0.316	0.347	0.377	0.309	0.404	0.301	0.259	0.232	0.594	0.724	0.579	0.899	0.674	0.827	0.987	0.408	0.808	0.872	0.617	0.32	0.324	0.4	0.32	0.21	0.328	0.979	0.842	0.762	0.861	0.514	0.305	0.217	2.79	0.511	0.225	0.6
Opitutaceae	0.431	0.11	0.0648	0.0381	0.0533	0.019	0.061	0.0648	0.0381	0.0686	0.00762	0.0114	0.00381	0.019	0.019	0.0152	0.0762	0.118	0.0571	0.137	0.0914	0.396	0.32	0.13	0.11	0.118	0.0571	0.0343	0.0533	0.0914	0.118	0.271	0.495	0.206	0.19	0.171	0.37	0.309	0.0495	0.6
Cryomorphaceae	1.1	0.411	0.194	0.16	0.152	0.16	0.0952	0.0838	0.0343	0.255	0.0152	0.00762	0.0267	0.00762	0.0152	0.0114	0.00762	0.0114	0.00381	0.381	0.019	0.0114	0.019	0.278	0.24	0.232	0.232	0.126	0.141	0.00381	0	0.0457	0.141	0.0495	0.0495	0.0457	0.354	0.0457	0.00381	0.6
Saprospiraceae	0.312	0.179	0.118	0.126	0.103	0.0914	0.149	0.0762	0.0648	0.21	0.0305	0.0343	0.019	0.0305	0.0229	0.0267	0.0267	0.0686	0.0381	0.164	0.0419	0.0838	0.061	0.171	0.118	0.122	0.08	0.13	0.11	0.0114	0.0724	0.267	0.503	0.11	0.107	0.107	0.0991	0.594	0.0952	0.6
480-2	0.202	0.267	0.16	0.13	0.08	0.103	0.061	0.0457	0.0495	0.19	0.0381	0.019	0.00381	0.019	0.019	0.019	0.00762	0.0152	0.019	0.221	0	0.0152	0.0229	0.164	0.141	0.137	0.194	0.103	0.0838	0.0229	0.0152	1.14	0.926	0.895	0.956	0.175	0.564	0.751	0.0648	0.6
Bacillaceae	0.434	0.446	0.484	0.568	0.381	0.469	0.469	0.389	0.324	0.377	0.309	0.312	0.0229	0.0267	0.0381	0.00381	0.0381	0.0152	0.0229	0.45	0.0267	0.0229	0.0267	0.457	0.316	0.431	0.541	0.45	0.381	0.019	0.0343	2.05	1.84	2.47	2.93	1.27	0.13	0.392	0.591	0.5
Bacteriovoracaceae	0.408	0.156	0.0838	0.0533	0.0724	0.0571	0.0724	0.0305	0.0381	0.118	0.11	0.354	0.716	0.724	0.732	0.324	0.461	0.282	0.354	0.149	0.549	0.709	0.286	0.0952	0.0838	0.122	0.0724	0.0686	0.0762	0.549	0.652	0.0381	0.019	0.0267	0.00762	0.0114	0.0343	0.0457	0.00381	0.5
env.OPS_17	0.503	0.16	0.061	0.0495	0.0457	0.0686	0.061	0.0267	0.0381	0.107	0.00762	0	0.00762	0.00762	0.00762	0.0114	0	0.00381	0.00762	0.145	0.00762	0.0229	0.019	0.11	0.118	0.0762	0.0686	0.0457	0.0495	0.00381	0.00381	0.137	0.229	0.11	0.0762	0.107	0.11	0.202	0.0114	0.5
Rhodothermaceae	0.0762	0.08	0.0914	0.0267	0.0457	0.061	0.0381	0.0495	0.0457	0.0838	0.0267	0.0419	0.0381	0.0305	0.0533	0.114	0.0991	0.0991	0.0914	0.0876	0.171	0.179	0.0686	0.0686	0.0762	0.0991	0.0457	0.08	0.0457	0.118	0.107	0.0419	0.0267	0.0686	0.0533	0.00762	0.0114	0.0991	0.0267	0.5
Rhodospirillaceae	0.145	0.229	0.145	0.114	0.0952	0.0991	0.107	0.0914	0.061	0.114	0.0381	0.0419	0.00762	0.00762	0.0114	0.019	0.0152	0.0305	0.0305	0.164	0.019	0.11	0.11	0.137	0.0914	0.145	0.149	0.0838	0.0648	0.061	0.126	0.21	0.183	0.236	0.141	0.118	0.164	0.183	0.11	0.4
Moraxellaceae	1.56	4.3	7.32	10.1	11.4	11	13.1	13.6	14.1	3.33	9.7	8.45	19.3	1.77	1.1	1.09	1.15	1.26	0.484	2.34	0.446	0.392	0.77	2.58	4.22	3.98	4.99	9.01	8.59	1.33	0.392	0.358	0.0343	0.819	0.511	0.0457	0.0495	2.43	8.81	0.4
AKIW781	0.229	0.0991	0.0991	0.0952	0.061	0.103	0.0571	0.0457	0.0457	0.114	0.0495	0.0114	0.0267	0.0648	0.061	0.0533	0.0686	0.08	0.0914	0.103	0.141	0.145	0.061	0.0991	0.0876	0.0991	0.107	0.122	0.0419	0.0419	0.107	0.309	0.164	0.19	0.343	0.122	0.198	0.442	0.126	0.4
Acidimicrobiaceae	0.103	0.149	0.0991	0.103	0.0495	0.0762	0.061	0.0648	0.0343	0.0648	0.019	0.0114	0.00381	0.0229	0.0305	0.019	0.0267	0.0152	0.019	0.122	0.0152	0.019	0.0343	0.08	0.0991	0.0876	0.103	0.0533	0.0305	0.00762	0.019	0.122	0.217	0.221	0.198	0.0991	0.0686	0.202	0.0495	0.4
Rhodospirillales_Incertae_Sedis	0.141	0.133	0.08	0.0457	0.0724	0.0457	0.0686	0.0571	0.0229	0.0838	0.00762	0.00762	0.0114	0.0114	0.019	0.0305	0.019	0.019	0.0229	0.13	0.0152	0.0267	0.019	0.126	0.0686	0.107	0.103	0.0533	0.0838	0.0152	0.0267	0.244	0.53	0.248	0.198	0.21	0.141	0.133	0.0267	0.4
Methylobacteriaceae	0.362	0.526	0.48	0.415	0.484	0.381	0.491	0.552	0.366	0.423	0.271	0.217	0.16	0.202	0.183	0.213	0.164	0.149	0.21	0.53	0.232	0.168	0.236	0.518	0.389	0.545	0.423	0.392	0.404	0.251	0.217	0.305	0.48	0.339	0.366	0.278	0.11	0.37	0.465	0.4
Chthoniobacteraceae	0.354	0.0914	0.0533	0.0305	0.0381	0.0381	0.0419	0.0419	0.0229	0.08	0.0229	0.00762	0.0229	0.0457	0.0419	0.0876	0.118	0.137	0.168	0.08	0.206	0.145	0.08	0.0952	0.0419	0.0762	0.061	0.0229	0.0381	0.0419	0.0381	0.0762	0.175	0.11	0.0724	0.347	0.0838	0.141	0.0152	0.4
Geodermatophilaceae	0.0876	0.446	0.331	0.248	0.267	0.328	0.164	0.149	0.122	0.354	0.0762	0.061	0.0152	0.0267	0.0152	0.0267	0.0114	0.0152	0.019	0.411	0.0305	0.0343	0.0419	0.339	0.366	0.297	0.301	0.271	0.255	0.019	0.0114	0.175	0.00381	0.225	0.198	0.061	0.0114	0.107	0.0952	0.4
Burkholderiaceae	0.0419	0.255	0.183	0.202	0.16	0.259	0.217	0.194	0.164	0.312	0.0686	0.061	0.0914	0.217	0.107	0.13	0.0914	0.175	0.164	0.263	0.145	0.217	0.175	0.187	0.19	0.229	0.171	0.248	0.202	0.141	0.0724	0.0495	0.0762	0.16	0.152	0.21	0.0419	0.107	0.0381	0.4
Haliangiaceae	0.0724	0.0876	0.0381	0.0152	0.0267	0.0457	0.0267	0.0229	0.00381	0.0419	0.00381	0.00381	0.00381	0	0.00381	0	0.00381	0	0	0.0838	0	0	0.019	0.0648	0.0762	0.0571	0.0571	0.0114	0.0343	0	0.0114	0.118	0.45	0.16	0.149	0.282	0.0343	0.0686	0.0152	0.4
Iamiaceae	0.19	0.259	0.118	0.0724	0.0648	0.0876	0.0724	0.0686	0.0267	0.179	0.0267	0.00762	0.0152	0.019	0.0267	0.019	0.0305	0.0267	0.0305	0.198	0.0152	0.0457	0.0457	0.156	0.168	0.126	0.168	0.0762	0.0724	0.019	0.0229	0.187	0.29	0.194	0.213	0.217	0.19	0.568	0.061	0.4
Xanthobacteraceae	0.13	0.164	0.0762	0.0419	0.061	0.0686	0.0533	0.0457	0.019	0.107	0.0114	0.0152	0.00762	0.00381	0.00762	0.0114	0.0267	0.0267	0.0114	0.0876	0.019	0.0229	0.019	0.114	0.061	0.0876	0.0762	0.0343	0.0533	0.019	0.0114	0.457	0.411	0.187	0.21	0.248	0.366	0.598	0.0571	0.4
