Family	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Catenariaceae	0	0.0131	0.00655	0.0458	0.036	0.00327	0.0786	0.0164	0.0688	0.00982	0	0.00655	0	0.00655	0.0491	0	0	0	0	0	0	0	0.00982	0	0	0	0.00655	0.0196	0.0131	0.0229	0.0426	0.0327	0	0	0	0	0	0	0	0	0	0	0	0.5
Malasseziaceae	0.0295	0.0295	0.0262	0.0524	0.0524	0.0196	0.0851	0.0524	0.0196	0.0917	0	0.0688	0.0262	0.16	0.18	0.0753	0.128	0.246	0	0	0.174	0.164	0.00982	0.131	0.0884	0.363	0.0131	0.0196	0.0393	0.0622	0.0884	0.0655	0.842	0.131	0.00327	0	0.0917	0	0.0295	0.036	0	0.00655	0.00327	0.5
Stachybotryaceae	0.164	0.223	0.2	0.524	0.265	0.0557	0.174	0.121	0.344	0.0131	0	0.147	0.233	0.18	0.16	0.0786	0.0131	0	0.0295	0.00327	0.655	0.0295	0.229	0.0327	0.108	0	0.151	0.534	0.239	0.105	0.0622	0.183	0.0426	0.0393	0.609	0.498	0.0295	0.717	0.534	0	0	0	0.0491	0.5
Microascaceae	0	0.0229	0	0.0557	0	0	0.00327	0	0	0.0196	0	0.0164	0	0.00655	0.0229	0.0327	0	0	0	0	0	0	0.0164	0	0	0	0.0327	0.0131	0.036	0.00982	0.0917	0.00327	0	0	0	0	0.00327	0	0.00327	0.0131	0	0	0	0.5
Lasiosphaeriaceae	0.0753	0.128	0	0.0426	0.0229	0.0622	0.0393	0	0.0491	0	0	0	0.00655	0	0	0	0	0	0	0	0	0	0.0524	0	0	0.121	0.0295	0.0131	0.036	0.00655	0	0.0229	0	0.0917	0	0	0	0	0	0	0	0.00327	0.00982	0.5
Podosporaceae	0.0262	0.0917	0.0589	0.174	0.0753	0.0262	0.0426	0.0295	0.0327	0.00655	0	0.0164	0.0557	0.187	0.0229	0	0	0	0	0	0	0	0.0524	0	0	0	0.0917	0.0196	0.102	0.0917	0.124	0.0491	0	0	0	0	0	0	0	0	0	0	0	0.5
Entolomataceae	0.00327	0	0	0	0	0.0491	0	0.0164	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0	0.0557	0	0	0.00982	0	0	0	0	0	0	0	0.00982	0.00655	0.00327	0.00982	0.00655	0	0	0.00982	0	0.4
Bolbitiaceae	0.0196	0.0131	0.0131	0.00327	0.00655	0	0.0196	0	0	0	0	0	0	0	0.0196	0	0.0393	0	0	0.0655	0.00655	0	0.00655	0	0	0.0622	0.00655	0.0262	0.00655	0.00655	0.0131	0.00327	0	0	0	0	0.0196	0.00982	0.00982	0.00982	0.00327	0	0.00327	0.4
Cystofilobasidiaceae	0.0327	0.0164	0.0851	0.0589	0.0229	0.105	0.121	0.0524	0.0426	0.111	0	0.249	0.0229	0.0622	0.0393	0	0	0	0.842	0	0	0	0.0295	0	0.102	0	0.0458	0.0458	0.0851	0.0524	0.138	0.0262	0	0	0.00327	0.0196	0	0.0131	0.0131	0	0.00982	0.229	0.0131	0.4
Cystobasidiaceae	0	0.0393	0.0688	0.00982	0.0819	0.0196	0.0131	0	0	0	0	0	0.0131	0.0262	0	0	0.0753	0	0.072	0	0	0	0.00655	0	0.151	0	0.0262	0.00327	0.0262	0.0164	0.0753	0.036	0.2	0.396	0	0	0	0	0	0	0	0	0	0.4
