Id,Label,timeset,G
ASV876,ASV876,,Unassigned
ASV983,ASV983,,Unassigned
ASV995,ASV995,,Glycomyces
ASV11,ASV11,,Spike
ASV151,ASV151,,Unassigned
ASV2208,ASV2208,,Unassigned
ASV254,ASV254,,Microcystis
ASV2572,ASV2572,,Arthrobacter
ASV3207,ASV3207,,Unassigned
ASV478,ASV478,,Unassigned
ASV191,ASV191,,Flavobacterium
ASV258,ASV258,,Flavobacterium
ASV579,ASV579,,Sphingomonas
ASV623,ASV623,,Blastococcus
ASV140,ASV140,,Streptomyces
ASV1615,ASV1615,,Lysinimonas
ASV2213,ASV2213,,Unassigned
ASV5010,ASV5010,,Pseudomonas
ASV564,ASV564,,Acinetobacter
ASV1115,ASV1115,,Nibribacter
ASV892,ASV892,,Achromobacter
ASV112,ASV112,,Devosia
ASV1120,ASV1120,,Unassigned
ASV1381,ASV1381,,Pontibacter
ASV2,ASV2,,Arthrobacter
ASV20,ASV20,,Arthrobacter
ASV214,ASV214,,Arenimonas
ASV264,ASV264,,Pseudoxanthomonas
ASV330,ASV330,,Arthrobacter
ASV352,ASV352,,Nocardioides
ASV430,ASV430,,Nocardioides
ASV468,ASV468,,Unassigned
ASV721,ASV721,,Blastocatella
ASV742,ASV742,,Gemmatimonas
ASV758,ASV758,,Nocardioides
ASV1123,ASV1123,,Unassigned
ASV428,ASV428,,Arenimonas
ASV4454,ASV4454,,Unassigned
ASV1149,ASV1149,,Unassigned
ASV1165,ASV1165,,Adhaeribacter
ASV121,ASV121,,Pontibacter
ASV139,ASV139,,Dyadobacter
ASV142,ASV142,,Flavobacterium
ASV149,ASV149,,Flavobacterium
ASV2017,ASV2017,,Altererythrobacter
ASV235,ASV235,,Flavobacterium
ASV244,ASV244,,Unassigned
ASV2511,ASV2511,,Unassigned
ASV34,ASV34,,Pontibacter
ASV416,ASV416,,hgcI_clade
ASV551,ASV551,,Rhodococcus
ASV576,ASV576,,Brachybacterium
ASV589,ASV589,,Candidatus_Methylacidiphilum
ASV619,ASV619,,Pseudomonas
ASV751,ASV751,,Agaricicola
ASV1132,ASV1132,,Arthrobacter
ASV1136,ASV1136,,Pontibacter
ASV2762,ASV2762,,Unassigned
ASV283,ASV283,,Rhizobium
ASV332,ASV332,,Skermanella
ASV425,ASV425,,Unassigned
ASV610,ASV610,,Unassigned
ASV952,ASV952,,Nocardioides
ASV1140,ASV1140,,Herpetosiphon
