Source,Target,Type,Id,Label,timeset,Weight
ASV1030,ASV57,Undirected,258,,,-1.561661
ASV1030,ASV71,Undirected,259,,,-1.49069
ASV1030,ASV73,Undirected,260,,,-1.430945
ASV1030,ASV763,Undirected,261,,,-1.559189
ASV1030,ASV941,Undirected,262,,,-1.552884
ASV1032,ASV1032,Undirected,263,,,1
ASV1032,ASV1840,Undirected,264,,,1.444563
ASV1032,ASV1852,Undirected,265,,,1.50692
ASV1032,ASV500,Undirected,266,,,1.575682
ASV1032,ASV67,Undirected,267,,,1.616985
ASV1032,ASV770,Undirected,268,,,1.443576
ASV1036,ASV1036,Undirected,269,,,1
ASV1036,ASV1051,Undirected,270,,,1.51243
ASV1036,ASV1232,Undirected,271,,,-1.419619
ASV1036,ASV1273,Undirected,272,,,1.471878
ASV1038,ASV1038,Undirected,273,,,1
ASV1038,ASV1738,Undirected,274,,,1.519928
ASV1038,ASV344,Undirected,275,,,-1.450675
ASV1038,ASV349,Undirected,276,,,1.501864
ASV1038,ASV95,Undirected,277,,,1.433757
ASV104,ASV104,Undirected,278,,,1
ASV104,ASV15,Undirected,279,,,1.641087
ASV104,ASV248,Undirected,280,,,-1.618703
ASV104,ASV625,Undirected,281,,,1.478027
ASV1042,ASV10,Undirected,282,,,-0.605148
ASV1042,ASV1042,Undirected,283,,,1
ASV1042,ASV346,Undirected,284,,,-1.423332
ASV105,ASV105,Undirected,285,,,1
ASV105,ASV1161,Undirected,286,,,-1.454275
ASV1051,ASV1051,Undirected,288,,,1
ASV1051,ASV146,Undirected,289,,,-1.514169
ASV1051,ASV2290,Undirected,290,,,1.503113
ASV1051,ASV242,Undirected,291,,,1.42936
ASV1051,ASV548,Undirected,292,,,1.519178
ASV1051,ASV727,Undirected,293,,,-1.439794
ASV1051,ASV76,Undirected,294,,,1.475752
ASV1059,ASV1017,Undirected,295,,,0.61725
ASV1059,ASV1059,Undirected,296,,,1
ASV1059,ASV1907,Undirected,297,,,-1.518373
ASV1059,ASV488,Undirected,298,,,-1.551598
ASV1059,ASV585,Undirected,299,,,-1.436277
ASV106,ASV100,Undirected,300,,,0.697493
ASV106,ASV106,Undirected,302,,,1
ASV106,ASV113,Undirected,303,,,1.438665
ASV106,ASV1198,Undirected,304,,,-1.4251
ASV106,ASV123,Undirected,305,,,1.422118
ASV106,ASV13,Undirected,306,,,1.477632
ASV106,ASV1428,Undirected,307,,,-1.470748
ASV106,ASV194,Undirected,308,,,1.551097
ASV106,ASV24,Undirected,309,,,1.436574
ASV106,ASV3570,Undirected,310,,,1.422775
ASV106,ASV475,Undirected,311,,,1.465327
ASV106,ASV591,Undirected,312,,,1.41432
ASV106,ASV655,Undirected,313,,,-1.491626
ASV106,ASV850,Undirected,314,,,1.510312
ASV106,ASV90,Undirected,315,,,1.451211
ASV1066,ASV1066,Undirected,316,,,1
ASV1066,ASV3236,Undirected,317,,,1.540125
ASV1066,ASV5848,Undirected,318,,,-1.509709
ASV1069,ASV1007,Undirected,319,,,-0.681628
ASV1069,ASV1024,Undirected,320,,,0.653674
ASV1069,ASV1069,Undirected,322,,,1
ASV1069,ASV1269,Undirected,323,,,1.413882
ASV1069,ASV13,Undirected,324,,,-1.617883
ASV1069,ASV159,Undirected,325,,,1.453415
ASV1069,ASV1730,Undirected,326,,,1.635612
ASV1069,ASV184,Undirected,327,,,-1.466188
ASV1069,ASV194,Undirected,328,,,-1.426947
ASV1069,ASV197,Undirected,329,,,-1.588589
ASV1069,ASV199,Undirected,330,,,-1.466511
ASV1069,ASV220,Undirected,331,,,-1.419491
ASV1069,ASV229,Undirected,332,,,-1.457393
ASV1069,ASV24,Undirected,333,,,-1.491964
ASV1069,ASV247,Undirected,334,,,-1.475992
ASV1069,ASV25,Undirected,335,,,-1.471742
ASV1069,ASV273,Undirected,336,,,-1.533277
ASV1069,ASV276,Undirected,337,,,-1.50417
ASV1069,ASV277,Undirected,338,,,1.538303
ASV1069,ASV32,Undirected,339,,,-1.706307
ASV1069,ASV3347,Undirected,340,,,1.432447
ASV1069,ASV38,Undirected,341,,,-1.432302
ASV1069,ASV403,Undirected,342,,,-1.445431
ASV1069,ASV463,Undirected,343,,,-1.707605
ASV1069,ASV5,Undirected,344,,,-1.465514
ASV1069,ASV501,Undirected,345,,,1.545034
ASV1069,ASV57,Undirected,346,,,-1.618719
ASV1069,ASV59,Undirected,347,,,-1.54647
ASV1069,ASV641,Undirected,348,,,-1.533492
ASV1069,ASV71,Undirected,349,,,-1.554774
ASV1069,ASV74,Undirected,350,,,-1.561576
ASV1069,ASV752,Undirected,351,,,1.440962
ASV1069,ASV771,Undirected,352,,,-1.493737
ASV1069,ASV79,Undirected,353,,,-1.639307
ASV1069,ASV828,Undirected,354,,,1.418753
ASV1069,ASV9,Undirected,355,,,-1.46759
ASV1069,ASV90,Undirected,356,,,-1.539757
ASV1069,ASV941,Undirected,357,,,-1.527235
ASV107,ASV1017,Undirected,359,,,0.689884
ASV107,ASV106,Undirected,360,,,0.622218
ASV107,ASV1069,Undirected,361,,,-0.656791
ASV107,ASV107,Undirected,362,,,1
ASV107,ASV108,Undirected,363,,,1.456714
ASV107,ASV111,Undirected,364,,,1.535197
ASV107,ASV114,Undirected,365,,,1.605796
ASV107,ASV115,Undirected,366,,,1.425169
ASV107,ASV117,Undirected,367,,,1.639192
ASV107,ASV122,Undirected,368,,,1.822076
ASV107,ASV123,Undirected,369,,,1.519566
ASV107,ASV1243,Undirected,370,,,-1.460784
ASV107,ASV1298,Undirected,371,,,-1.416699
ASV107,ASV13,Undirected,372,,,1.589241
ASV107,ASV1358,Undirected,373,,,-1.434566
ASV107,ASV14,Undirected,374,,,-1.544988
ASV107,ASV1492,Undirected,375,,,-1.500259
ASV107,ASV150,Undirected,376,,,1.434042
ASV107,ASV158,Undirected,377,,,-1.599588
ASV107,ASV170,Undirected,378,,,1.525143
ASV107,ASV175,Undirected,379,,,1.451631
ASV107,ASV18,Undirected,380,,,-1.635991
ASV107,ASV180,Undirected,381,,,1.456131
ASV107,ASV194,Undirected,382,,,1.463212
ASV107,ASV216,Undirected,383,,,1.575151
ASV107,ASV220,Undirected,384,,,1.564905
ASV107,ASV225,Undirected,385,,,-1.417918
ASV107,ASV226,Undirected,386,,,1.480023
ASV107,ASV231,Undirected,387,,,-1.497157
ASV107,ASV2383,Undirected,388,,,-1.568605
ASV107,ASV24,Undirected,389,,,1.567289
ASV107,ASV248,Undirected,390,,,-1.453603
ASV107,ASV263,Undirected,391,,,1.467634
ASV107,ASV273,Undirected,392,,,1.5826
ASV107,ASV276,Undirected,393,,,1.564091
ASV107,ASV277,Undirected,394,,,-1.494292
ASV107,ASV29,Undirected,395,,,-1.592133
ASV107,ASV31,Undirected,396,,,1.612435
ASV107,ASV327,Undirected,397,,,1.458593
ASV107,ASV3327,Undirected,398,,,1.415036
ASV107,ASV335,Undirected,399,,,-1.573593
ASV107,ASV35,Undirected,400,,,-1.413349
ASV107,ASV36,Undirected,401,,,1.517599
ASV107,ASV363,Undirected,402,,,1.517349
ASV107,ASV37,Undirected,403,,,1.459909
ASV107,ASV3732,Undirected,404,,,-1.756477
ASV107,ASV38,Undirected,405,,,1.555329
ASV107,ASV436,Undirected,406,,,-1.48859
ASV107,ASV5,Undirected,407,,,1.513964
ASV107,ASV51,Undirected,408,,,-1.58546
ASV107,ASV516,Undirected,409,,,1.421746
ASV107,ASV529,Undirected,410,,,-1.528576
ASV107,ASV56,Undirected,411,,,1.70497
ASV107,ASV571,Undirected,412,,,1.560361
ASV107,ASV59,Undirected,413,,,1.571875
ASV107,ASV61,Undirected,414,,,1.627136
ASV107,ASV637,Undirected,415,,,1.48468
ASV107,ASV681,Undirected,416,,,1.705243
ASV107,ASV71,Undirected,417,,,1.451916
ASV107,ASV732,Undirected,418,,,1.439891
ASV107,ASV733,Undirected,419,,,1.51327
ASV107,ASV74,Undirected,420,,,1.557972
ASV107,ASV79,Undirected,421,,,1.520456
ASV107,ASV80,Undirected,422,,,1.430938
ASV107,ASV810,Undirected,423,,,1.54494
ASV107,ASV82,Undirected,424,,,1.579929
ASV107,ASV828,Undirected,425,,,-1.510121
ASV107,ASV9,Undirected,426,,,1.501554
ASV107,ASV96,Undirected,427,,,1.630897
