	G.1	G.2	G.3	G.4	G.5	GR.01
ASV465	0	0	0	1	0	0
ASV285	0	3	8	60	417	26
ASV2809	19	6	3	10	2	13
ASV539	1	0	2	1	0	0
ASV2974	16	8	2	14	2	18
ASV277	9	0	20	14	0	1
ASV306	4	1	8	11	1	0
ASV355	124	45	44	26	13	194
ASV436	22	20	4	17	18	39
ASV353	0	0	0	1	0	0
ASV315	0	0	1	0	0	1
ASV352	30	112	31	43	2	90
ASV260	6	9	11	6	22	2
ASV382	1	0	1	0	0	0
ASV425	3	0	4	0	1	0
ASV342	0	5	21	35	291	0
ASV328	14	1	42	21	13	1
ASV392	14	3	10	15	0	17
ASV334	0	0	0	0	0	0
ASV516	3	0	8	11	2	5
ASV337	74	112	37	27	4	11
ASV284	4	9	13	24	10	28
ASV318	4	0	9	8	15	9
ASV368	1	0	7	6	0	1
ASV323	6	54	45	37	76	0
ASV435	17	3	13	18	0	15
ASV338	0	1	4	4	0	17
ASV272	1	0	3	0	0	0
ASV311	0	0	0	0	0	0
ASV363	0	0	0	0	0	0
ASV1712	2	1	0	2	0	1
ASV361	89	163	54	43	62	17
ASV953	0	5	1	1	4	1
ASV344	0	0	8	2	2	11
ASV331	2	0	0	2	1	1
ASV317	0	0	0	0	0	0
ASV384	4	3	1	1	6	6
ASV373	0	0	0	0	0	1
ASV326	31	28	57	20	36	133
ASV397	12	2	45	0	0	12
ASV308	1	0	5	1	0	1
ASV329	30	0	14	19	1	4
ASV376	0	0	0	0	0	0
ASV348	0	0	0	1	0	1
ASV313	69	114	37	26	3	137
ASV324	14	0	52	36	0	6
ASV325	0	0	0	0	0	0
ASV447	4	35	31	19	58	7
ASV359	0	0	5	2	0	0
ASV321	26	60	51	49	59	10
ASV372	69	25	40	68	61	0
ASV383	116	29	82	67	2	67
ASV301	1	0	0	1	0	0
ASV377	0	0	0	0	0	1
ASV823	1	1	2	11	3	5
ASV349	17	61	34	23	25	25
ASV1112	37	60	5	68	99	3
ASV3716	0	2	0	0	1	6
ASV379	2	1	1	3	0	3
ASV4983	6	10	2	11	6	25
ASV345	4	0	22	12	0	2
ASV2915	1	0	2	1	1	0
ASV327	1	0	0	0	0	0
ASV354	0	0	1	0	0	0
ASV375	12	0	19	2	0	1
ASV404	0	0	0	0	0	0
ASV378	0	0	0	0	0	0
ASV320	3	0	15	8	0	1
ASV411	1	0	0	0	0	0
ASV482	2	0	0	0	0	0
ASV350	0	1	6	17	13	0
ASV656	1	0	0	0	0	3
ASV299	0	0	5	2	0	0
ASV340	1	0	2	2	0	0
ASV389	4	0	6	4	0	1
ASV437	44	45	15	13	5	26
ASV671	1	0	0	0	0	0
ASV319	0	6	17	6	22	3
ASV374	4	0	1	1	0	0
ASV386	5	2	14	9	0	3
ASV391	0	0	0	0	0	0
ASV424	25	22	37	21	14	60
ASV401	2	1	0	1	0	28
ASV860	1	0	0	1	0	0
ASV333	0	0	0	0	0	0
ASV5690	2	1	2	1	1	7
ASV370	5	1	8	9	0	2
ASV439	18	47	33	5	12	144
ASV1358	30	36	6	34	20	18
ASV681	0	0	0	0	0	0
ASV358	0	0	2	0	1	0
ASV2552	0	0	0	0	0	0
ASV346	0	0	1	3	0	1
ASV406	82	13	23	13	8	174
ASV490	8	2	1	8	1	22
ASV388	0	0	0	0	0	0
ASV393	3	0	6	5	0	0
ASV360	7	81	39	35	61	2
ASV365	2	0	4	0	0	0
ASV407	8	0	28	12	0	0
ASV1774	12	0	1	10	0	3
ASV409	8	15	12	8	4	21
ASV362	0	0	1	0	0	0
ASV304	14	65	34	20	60	0
ASV339	0	0	19	0	3	5
ASV432	8	0	9	4	0	38
ASV597	10	7	7	6	6	7
ASV4257	23	29	5	19	34	26
ASV380	0	0	1	0	0	0
ASV343	3	146	84	72	68	0
ASV544	0	0	0	0	0	0
ASV2208	1	1	1	19	0	21
ASV461	13	0	11	8	1	3
ASV351	0	105	36	10	222	0
ASV396	3	0	9	4	0	0
ASV475	0	0	0	0	0	0
ASV369	2	17	23	16	37	2
ASV332	27	1	51	21	0	7
ASV1015	18	4	2	29	0	27
ASV364	5	2	6	31	169	4
ASV427	14	19	19	18	5	19
ASV430	7	2	8	6	1	25
ASV398	9	26	33	47	25	0
ASV456	4	42	27	9	43	25
ASV385	0	1	2	2	14	0
ASV508	5	4	1	0	1	6
ASV1338	6	0	3	14	0	2
ASV640	2	1	0	4	1	3
ASV2291	0	0	1	0	1	17
ASV414	15	4	33	26	0	4
ASV1152	8	0	1	2	0	1
ASV1002	14	6	2	12	7	8
ASV390	6	1	19	6	0	3
ASV587	6	1	7	10	0	0
ASV417	0	0	1	0	1	0
ASV560	0	1	0	0	0	215
ASV2486	6	4	2	22	4	23
ASV466	2	1	0	4	0	0
ASV1132	23	11	3	31	4	44
ASV2850	3	11	1	9	10	16
ASV1092	11	7	0	8	11	7
ASV463	0	0	0	0	0	0
ASV416	0	0	0	0	0	0
ASV438	0	0	0	0	0	2
ASV381	1	64	25	22	247	0
ASV464	23	8	56	24	2	45
ASV419	0	0	0	1	0	0
ASV408	1	1	6	2	8	12
ASV371	12	39	74	36	67	15
ASV1073	7	0	0	10	0	2
ASV1161	26	14	9	28	1	24
ASV410	0	0	2	2	0	0
ASV420	10	4	18	16	1	2
ASV481	1	110	7	8	5	162
ASV592	22	16	4	15	6	83
ASV3576	19	20	6	15	3	62
ASV426	3	0	9	4	0	1
ASV3236	1	0	0	1	0	0
ASV413	6	9	32	10	33	0
ASV405	22	29	25	7	2	6
ASV399	0	0	0	1	0	0
ASV402	1	0	24	5	0	0
ASV400	29	69	38	25	32	8
ASV421	2	0	12	3	1	5
ASV735	4	1	2	7	0	12
ASV960	33	4	7	25	1	29
ASV422	0	0	1	0	0	0
ASV467	0	0	1	0	0	0
ASV5825	1	0	0	0	0	1
ASV1030	15	22	5	20	12	14
ASV444	8	0	8	4	0	2
ASV403	1	0	0	2	0	0
ASV497	0	0	0	0	0	0
ASV606	1	0	0	1	0	0
ASV394	1	0	0	0	0	0
ASV4229	17	16	3	9	5	35
ASV468	0	0	0	0	0	0
ASV1449	3	17	2	6	8	20
ASV451	0	0	7	4	0	0
ASV652	0	0	0	0	0	0
ASV412	23	7	36	14	0	16
ASV434	2	0	2	5	0	0
ASV836	20	9	28	39	1	27
ASV458	11	42	54	36	22	14
ASV513	0	0	0	0	0	0
ASV479	66	19	51	40	0	58
ASV566	47	20	38	20	13	51
ASV1182	16	20	8	10	15	8
ASV506	77	51	35	24	4	35
ASV4509	10	4	3	5	4	4
ASV454	17	3	18	14	33	1
ASV459	20	38	20	11	5	4
ASV505	1	0	0	1	0	0
ASV557	0	0	0	0	0	0
ASV775	0	0	0	0	0	0
ASV3869	10	1	1	15	0	1
ASV469	2	1	3	2	5	3
