	G.1	G.2	G.3	G.4	G.5	GR.01
ASV4966	8	8	2	7	4	1
ASV1175	2	25	20	9	10	1
ASV1267	0	0	0	0	1	0
ASV1282	3	2	4	3	0	0
ASV1301	2	0	0	0	0	0
ASV1348	3	0	2	0	0	53
ASV1409	0	0	10	40	49	0
ASV1450	2	0	1	2	0	0
ASV1530	7	8	14	9	0	4
ASV1537	1	0	0	0	2	4
ASV1640	0	0	0	0	0	0
ASV1742	22	1	16	10	2	12
ASV1898	3	1	3	6	0	0
ASV2299	1	6	3	1	3	66
ASV2352	13	15	10	8	6	6
ASV2477	2	1	1	1	0	0
ASV2958	7	15	1	9	3	4
ASV5565	10	4	1	6	0	15
ASV1217	0	0	0	0	0	0
ASV1256	42	0	35	5	0	13
ASV1281	14	33	12	26	5	0
ASV1327	0	19	9	25	23	0
ASV1437	3	0	5	1	1	3
ASV1453	15	14	11	2	3	17
ASV1474	6	16	8	5	2	7
ASV1515	1	3	5	2	3	1
ASV1611	4	2	5	7	0	2
ASV1643	2	0	0	0	0	0
ASV1681	1	1	2	1	0	1
ASV1759	0	0	0	2	0	1
ASV1772	1	0	5	1	0	4
ASV1777	2	2	15	31	17	0
ASV1806	1	0	0	0	0	0
ASV1812	0	0	0	0	0	0
ASV1927	3	0	7	16	0	3
ASV2064	19	9	14	7	2	2
ASV3112	5	4	0	9	10	6
ASV1153	1	1	1	4	0	3
ASV1279	1	11	15	12	16	0
ASV1284	2	0	3	2	1	0
ASV1285	1	1	1	0	0	0
ASV1308	0	0	0	0	0	0
ASV1322	1	0	5	0	0	0
ASV1323	1	30	23	21	21	0
ASV1347	11	4	8	17	24	3
ASV1380	0	12	3	12	56	2
ASV1539	1	54	2	6	27	2
ASV1593	13	10	10	5	2	12
ASV1619	0	1	1	0	0	1
ASV1641	0	0	0	0	0	0
ASV1672	6	3	8	4	0	10
ASV1717	1	0	0	1	9	0
ASV1881	0	0	0	0	0	1
ASV2240	10	18	6	5	6	5
ASV2906	3	1	0	2	0	11
ASV2908	0	0	0	0	0	0
ASV3889	0	0	1	0	0	0
ASV4236	0	0	0	1	0	0
ASV1200	0	0	0	0	0	0
ASV1263	3	1	3	2	0	1
ASV1310	2	0	3	2	0	1
ASV1388	2	0	4	1	0	0
ASV1393	4	13	9	4	14	1
ASV1501	1	2	1	5	0	5
ASV1597	5	0	26	15	0	0
ASV1610	5	9	15	7	11	0
ASV1629	4	0	6	6	1	0
ASV1715	0	0	0	0	0	0
ASV1723	0	0	1	3	1	3
ASV1799	0	0	0	0	0	0
ASV2243	13	14	7	3	8	6
ASV2359	0	0	1	1	0	0
ASV5880	3	16	2	11	14	6
ASV1168	0	0	0	0	0	0
ASV1193	1	0	0	0	0	0
ASV1244	0	0	0	0	0	0
ASV1290	0	0	0	0	0	0
ASV1386	6	4	3	4	16	4
ASV1387	3	0	13	5	0	1
ASV1406	12	2	8	3	3	7
ASV1420	0	0	0	0	0	0
ASV1512	0	0	0	0	0	0
ASV1521	0	0	0	0	0	0
ASV1714	9	13	10	5	1	8
ASV1760	0	0	0	0	1	0
ASV2017	2	0	3	0	1	0
ASV2204	0	0	0	0	0	0
ASV3368	2	0	2	3	0	0
ASV3822	8	3	8	5	6	0
ASV5638	5	0	2	5	0	4
ASV1126	0	7	0	16	41	0
ASV1131	1	0	4	3	0	0
ASV1238	0	0	0	0	1	0
ASV1289	0	0	0	0	0	0
ASV1341	14	5	16	12	1	5
ASV1412	8	7	5	6	17	0
ASV1421	0	0	0	0	0	0
ASV1427	1	3	9	5	3	1
ASV1444	0	0	0	0	0	0
ASV1332	15	1	5	6	1	5
ASV1344	0	0	0	0	0	0
ASV1402	0	1	0	1	0	1
ASV1445	2	4	15	10	7	1
ASV1448	0	0	0	1	0	1
ASV1511	2	0	0	1	0	0
ASV1569	0	0	0	0	0	0
ASV1583	0	0	0	0	0	0
ASV1588	0	0	0	6	1	0
ASV1724	7	13	5	3	4	1
ASV1859	2	6	2	1	11	2
ASV1903	2	0	1	2	0	0
ASV1952	0	0	1	68	24	0
ASV2114	0	0	0	2	0	1
ASV2175	3	3	5	4	4	3
ASV2280	15	6	8	8	2	15
ASV1164	2	30	4	1	21	9
ASV1171	2	2	3	3	1	18
ASV1390	7	1	5	0	0	10
ASV1486	15	16	7	6	2	14
ASV1508	11	4	4	3	0	2
ASV1538	13	16	20	8	3	2
ASV1555	3	5	9	2	1	0
ASV1556	0	5	3	1	1	0
ASV1605	3	0	1	2	1	20
ASV1747	13	1	14	11	0	3
ASV1983	25	9	9	8	3	10
ASV2449	2	6	0	0	2	48
ASV2564	0	0	0	0	0	0
ASV1283	0	0	6	4	0	0
ASV1359	0	0	0	0	0	0
ASV1430	0	0	0	0	0	0
ASV1441	1	0	8	2	0	3
ASV1454	0	0	0	0	0	0
ASV1494	4	15	2	3	17	11
ASV1563	0	0	0	0	0	0
ASV1585	0	0	0	0	0	0
ASV1587	10	21	12	12	10	2
ASV1902	8	0	13	8	2	1
ASV2308	0	0	0	0	0	0
ASV3255	3	14	6	5	7	1
ASV3384	7	10	0	3	14	2
ASV1241	0	6	12	24	30	0
ASV1291	8	0	29	7	0	35
ASV1307	3	5	11	8	39	0
ASV1367	19	3	30	16	2	5
ASV1372	2	27	10	5	25	0
ASV1413	1	23	8	13	37	0
ASV1417	0	0	0	0	0	0
ASV1495	0	0	2	1	1	0
ASV1602	0	1	1	1	3	7
ASV1621	6	1	18	5	1	0
ASV1746	1	7	1	14	33	0
ASV1914	1	0	0	0	0	0
ASV1978	9	17	5	6	1	3
ASV2066	0	0	1	0	0	0
ASV2102	2	0	1	6	1	0
ASV2394	5	5	11	7	1	15
ASV2560	2	1	2	0	0	1
ASV5490	6	11	2	8	4	17
ASV1354	0	0	0	0	0	0
ASV1385	0	0	1	3	0	0
ASV1505	1	0	3	1	0	0
ASV1518	0	0	0	0	0	0
ASV1664	2	1	1	0	0	1
ASV1669	5	3	6	10	2	10
ASV1804	2	0	0	2	0	0
ASV2660	0	4	3	3	5	0
ASV2705	0	0	2	2	0	0
ASV3529	0	0	0	12	1	8
ASV1394	5	10	6	3	9	3
ASV1485	0	0	0	0	0	0
ASV1604	5	20	14	10	1	5
ASV1645	4	0	16	9	0	0
ASV1761	0	1	3	0	0	1
ASV1789	11	10	7	2	3	11
ASV1857	6	16	18	8	5	4
ASV1892	1	15	4	7	8	0
ASV2384	0	5	0	4	6	0
ASV2448	3	1	2	2	0	0
ASV3218	14	6	8	5	4	7
ASV5462	13	13	1	6	2	21
ASV1314	12	8	16	6	4	5
ASV1328	10	1	3	2	0	1
ASV1336	12	26	21	7	6	2
ASV1362	0	0	1	0	0	0
ASV1422	2	16	4	1	1	0
ASV1434	0	0	2	3	0	0
ASV1461	5	43	11	9	6	0
ASV1516	0	0	3	0	0	0
ASV1542	0	0	0	0	0	0
ASV1562	14	8	9	7	23	2
ASV1571	1	0	3	2	42	0
ASV1685	8	3	3	4	4	1
ASV1696	2	15	15	10	22	1
ASV1757	0	1	0	0	0	3
ASV1821	3	0	1	1	0	0
ASV1896	6	0	8	2	1	7
ASV1994	6	2	13	10	0	9
ASV2213	0	0	1	2	0	0
ASV3099	1	0	0	0	0	0
ASV4173	12	4	1	6	2	6
ASV5140	5	5	0	2	3	1
ASV1373	18	0	11	11	1	7
ASV1405	0	0	3	3	71	0
ASV1416	1	42	10	8	5	0
ASV1436	5	0	9	4	1	1
ASV1443	5	4	9	2	19	6
ASV1503	0	0	3	1	0	0
ASV1559	7	0	10	5	0	46
ASV1625	6	1	2	3	1	0
ASV1628	1	4	12	7	7	3
ASV1721	3	16	6	6	0	4
ASV1744	6	1	7	3	1	2
ASV1989	4	0	0	1	1	4
ASV2039	0	0	3	3	1	1
ASV2091	7	1	28	9	5	0
ASV2092	0	0	4	0	1	2
ASV2177	7	1	9	2	0	0
ASV2220	0	0	0	0	1	0
ASV3191	0	0	0	0	0	0
ASV1268	1	0	5	2	0	1
ASV1379	0	0	0	0	0	0
ASV1462	2	0	1	3	6	1
ASV1480	0	1	0	0	0	0
ASV1529	10	0	8	12	1	6
ASV1631	0	0	0	1	0	0
ASV1674	12	1	15	14	10	3
ASV1733	0	0	0	0	0	2
ASV1734	12	28	12	9	4	4
ASV1745	0	0	5	3	0	0
ASV1776	0	0	1	0	0	1
ASV1943	7	39	15	7	14	1
ASV2491	9	7	6	7	3	4
ASV2635	10	0	16	9	0	1
ASV4673	7	1	16	4	2	4
ASV4968	0	0	0	0	0	1
ASV5820	1	1	0	0	4	1
ASV1278	0	0	0	0	0	0
ASV1343	1	29	11	6	3	0
ASV1357	2	7	3	0	1	0
ASV1364	0	0	0	0	0	0
ASV1399	0	1	0	0	1	0
ASV1522	0	0	0	0	0	0
ASV1526	0	0	0	0	0	0
ASV1552	3	9	5	1	0	5
ASV1564	6	4	43	5	7	3
ASV1592	24	5	16	5	0	29
ASV1603	0	2	1	17	40	0
ASV1618	14	3	12	9	2	0
ASV1626	0	0	0	0	0	0
ASV1658	13	0	11	11	1	9
ASV1665	0	0	1	0	0	12
ASV1666	2	0	3	5	2	0
ASV1915	0	3	21	15	8	0
ASV1977	12	11	6	5	2	6
ASV1993	0	0	1	0	0	70
ASV2158	0	0	0	9	0	1
ASV2218	0	0	0	0	1	0
ASV2326	2	0	6	7	3	0
ASV2392	3	17	13	5	14	1
ASV5698	2	1	3	1	0	4
ASV1507	0	0	0	0	0	0
ASV1568	0	0	0	0	0	1
ASV1580	2	0	4	0	2	0
ASV1608	2	0	2	2	0	2
ASV1651	4	1	5	11	0	0
ASV1735	0	0	0	0	0	0
ASV1769	3	1	2	2	0	0
ASV1825	0	1	2	5	15	1
ASV1831	0	34	14	9	24	0
ASV1894	3	2	3	0	0	0
ASV1969	1	0	4	4	0	0
ASV2019	20	9	13	4	0	8
ASV2038	6	0	1	2	0	2
ASV2817	0	0	0	0	1	0
ASV3158	1	0	0	1	0	0
ASV3554	2	0	4	7	0	3
ASV1465	0	0	0	0	0	0
ASV1488	0	0	1	0	0	0
ASV1496	8	0	9	8	0	2
ASV1553	0	0	0	1	1	0
ASV1642	23	13	12	2	1	6
ASV1654	1	0	2	2	0	0
ASV1698	0	0	2	2	0	0
ASV1699	4	3	1	4	1	4
ASV1718	1	1	1	2	0	2
ASV1790	0	0	0	0	0	0
ASV1798	1	30	7	7	22	2
ASV1811	1	0	16	5	0	0
ASV1929	0	0	2	2	0	0
ASV1950	0	0	0	0	0	0
ASV2741	0	0	1	1	0	3
ASV3169	1	0	4	1	0	0
ASV1349	0	0	0	1	0	0
ASV1478	2	0	10	4	0	1
ASV1504	5	6	7	5	0	3
ASV1550	20	1	1	7	4	0
ASV1573	0	2	1	6	29	4
ASV1600	2	1	3	9	0	1
ASV1657	5	2	15	5	0	8
ASV1670	0	0	0	0	0	0
ASV1677	2	5	2	4	0	0
ASV1700	0	0	0	1	1	0
ASV1731	0	0	0	2	0	0
ASV1768	0	0	0	0	0	0
ASV1868	8	3	7	4	0	0
ASV1873	2	0	6	4	0	10
ASV1895	3	4	9	4	6	7
ASV1937	1	0	3	1	0	0
ASV1966	0	0	0	0	0	0
ASV1996	0	0	0	0	0	0
ASV2048	8	8	7	11	0	4
ASV2073	1	0	0	0	0	1
ASV2130	3	1	0	2	25	0
ASV2217	8	9	4	7	6	0
ASV2975	1	0	0	1	0	0
ASV1302	0	0	0	0	0	0
ASV1320	0	0	0	0	0	0
ASV1464	1	0	1	0	0	0
ASV1481	0	0	0	0	0	0
ASV1572	0	0	0	4	36	0
ASV1591	0	0	0	0	0	0
ASV1614	0	0	0	0	0	0
ASV1656	1	0	3	2	0	0
ASV1679	19	4	24	9	4	10
ASV1684	0	0	0	0	0	1
ASV1783	3	6	7	1	5	2
ASV1801	4	12	14	11	25	3
ASV1828	4	9	7	3	12	21
ASV1876	23	6	13	3	1	7
ASV1912	0	0	1	0	0	0
ASV1955	0	0	0	0	0	0
ASV2284	0	0	0	0	0	0
ASV2423	0	28	1	4	9	0
ASV2435	0	1	1	0	0	22
ASV2567	6	13	5	6	11	7
ASV3917	0	0	7	1	2	0
ASV3959	2	4	3	0	1	1
ASV4333	8	6	0	11	11	2
ASV5172	8	4	7	6	1	7
ASV1470	0	0	3	3	0	0
ASV1682	0	0	0	0	0	0
ASV1686	0	18	10	0	19	2
ASV1706	0	0	0	0	0	1
ASV1737	0	0	0	1	0	0
ASV1871	9	12	5	5	1	0
ASV1997	25	13	14	5	0	8
ASV2161	6	5	10	16	3	0
ASV2176	2	1	4	9	6	4
ASV2354	10	10	3	3	2	1
ASV2573	0	7	1	0	49	5
ASV2675	0	0	7	5	0	1
ASV2697	2	1	6	3	8	1
ASV3038	0	1	10	9	2	3
ASV3713	0	0	0	0	0	0
ASV3863	1	3	1	1	1	4
ASV4758	0	0	0	0	0	0
ASV1491	0	2	0	1	1	0
ASV1498	0	0	6	1	0	1
ASV1500	3	0	2	1	0	1
ASV1528	3	23	9	5	4	7
ASV1578	0	0	0	0	0	0
ASV1599	0	0	1	0	0	0
ASV1636	2	0	0	0	0	0
ASV1649	0	0	1	4	0	0
ASV1729	0	2	2	8	13	0
ASV1963	15	27	2	3	1	18
ASV1970	12	15	3	1	10	3
ASV2013	0	0	0	0	0	3
ASV2046	2	1	16	13	0	0
ASV2076	0	0	0	0	0	0
ASV2179	0	0	0	3	6	0
ASV2242	1	0	0	1	0	0
ASV2485	7	7	2	5	1	6
ASV2533	0	0	0	0	0	0
ASV2658	3	1	0	4	1	0
ASV2785	3	0	2	1	1	1
ASV4110	8	4	1	7	5	5
ASV4273	0	0	0	0	0	0
ASV4999	17	18	0	15	9	0
ASV5651	3	5	2	6	0	23
ASV5660	0	0	1	3	0	2
ASV1414	5	0	14	5	0	1
ASV1457	8	1	19	3	0	11
ASV1560	2	2	5	5	0	0
ASV1582	4	27	8	9	14	0
ASV1617	2	2	3	1	11	0
ASV1633	0	1	5	1	2	0
ASV1638	0	0	0	0	0	0
ASV1639	0	0	0	0	0	0
ASV1668	3	5	5	3	3	3
ASV1727	2	0	1	0	0	2
ASV1773	22	1	0	10	0	1
ASV1780	0	0	3	1	0	1
ASV1794	0	5	4	2	1	0
ASV1800	2	0	0	0	0	15
ASV1822	2	0	0	0	0	0
ASV1834	4	22	5	14	12	3
ASV1878	3	2	4	3	2	42
ASV1891	0	0	0	0	0	0
ASV1904	0	0	0	0	0	0
ASV1911	0	0	2	1	0	0
ASV2116	3	5	2	2	8	2
ASV2312	4	4	0	3	0	3
ASV2356	8	0	9	10	0	0
ASV2409	0	0	0	1	0	0
ASV2472	0	0	1	0	0	0
ASV2568	11	2	2	2	2	7
ASV2698	0	0	1	0	0	0
ASV3167	1	0	1	1	0	0
ASV4008	0	0	0	0	1	0
ASV1479	0	0	1	0	0	0
ASV1655	1	2	2	2	0	2
ASV1689	1	26	7	4	4	1
ASV1708	1	1	1	3	2	0
ASV1720	4	0	7	0	0	0
ASV1722	0	0	0	0	0	32
ASV1743	0	0	1	0	0	3
ASV1786	0	0	0	0	0	0
ASV1813	0	1	4	4	0	1
ASV1835	0	0	0	0	0	0
ASV1880	0	0	0	0	0	0
ASV1919	0	5	7	6	2	0
ASV2041	0	0	0	0	0	0
ASV2043	0	1	0	0	0	0
ASV2056	0	0	0	0	0	0
ASV2063	13	14	6	8	9	4
ASV2216	1	0	1	1	1	5
ASV2221	1	0	0	0	0	0
ASV2304	1	35	1	4	18	7
ASV2385	0	0	1	0	0	0
ASV2393	2	0	5	3	0	0
ASV2979	0	0	0	0	0	0
ASV4302	0	1	0	1	0	0
ASV1545	3	1	3	1	16	2
ASV1577	0	0	2	1	8	0
ASV1606	0	1	1	1	0	3
ASV1635	0	0	0	0	1	0
ASV1713	0	0	0	0	0	0
ASV1719	0	0	0	0	0	0
ASV1750	0	1	0	0	0	0
ASV1770	0	0	0	0	7	0
ASV1796	0	0	0	0	0	0
ASV1818	0	0	0	0	0	0
ASV1856	1	2	6	10	1	15
ASV1870	2	34	8	3	7	0
ASV1888	0	0	0	0	0	0
ASV1928	18	4	8	4	11	3
ASV1939	1	0	3	4	0	0
ASV2436	0	0	0	0	0	0
ASV2442	1	2	1	2	1	1
ASV2870	3	0	1	2	1	0
ASV1596	1	0	0	0	0	1
ASV1612	0	0	2	5	59	0
ASV1623	1	0	0	0	0	0
ASV1676	0	0	1	0	0	0
ASV1697	0	0	5	7	0	0
ASV1817	1	0	3	0	0	5
ASV1840	0	0	0	0	0	0
ASV1930	0	0	0	0	0	0
ASV1958	0	0	0	0	0	0
ASV2037	0	0	0	0	0	0
ASV2104	2	1	2	0	0	0
ASV2260	1	0	5	2	0	0
ASV2481	0	0	0	0	0	0
ASV2604	2	3	9	3	24	1
ASV2672	1	0	9	6	0	2
ASV2722	2	0	8	8	1	1
ASV2730	0	0	0	1	0	0
ASV2951	13	4	6	2	5	1
ASV2956	0	1	0	1	2	7
ASV4616	1	0	0	0	0	0
ASV1544	1	12	3	8	5	4
ASV1632	0	0	0	0	0	0
ASV1652	0	0	1	2	8	0
ASV1701	0	2	8	14	28	0
ASV1779	5	8	6	5	9	4
ASV1803	1	0	0	0	0	0
ASV1809	2	7	0	1	1	3
ASV1872	2	2	6	11	2	6
ASV1884	2	27	5	22	10	0
ASV1886	0	0	2	0	0	0
ASV1925	0	0	1	0	0	1
ASV2007	9	1	13	4	15	7
ASV2024	0	3	1	2	0	1
ASV2117	0	1	0	0	0	0
ASV2160	0	0	0	0	0	0
ASV2250	2	0	7	2	0	1
ASV2255	0	2	0	3	11	0
ASV2338	0	0	2	3	1	2
ASV2453	0	1	1	1	0	0
ASV2593	0	0	0	0	0	0
ASV2621	3	0	0	2	0	0
ASV2626	8	11	8	2	11	5
ASV3240	2	1	0	1	0	0
ASV4569	2	0	0	1	0	2
ASV4604	0	0	0	0	0	0
ASV4764	1	4	0	1	0	52
ASV1472	0	0	0	0	0	0
ASV1616	0	0	0	0	0	0
ASV1659	3	0	3	0	2	0
ASV1667	3	8	15	6	1	6
ASV1705	0	0	0	0	0	0
ASV1732	0	0	0	0	0	0
ASV1764	0	0	0	0	0	0
ASV1784	0	0	0	0	0	0
ASV1820	17	10	14	4	1	1
ASV1832	0	0	2	1	0	1
ASV1909	0	0	1	0	0	0
ASV1934	0	0	0	0	0	0
ASV1956	1	16	3	2	2	1
ASV2004	0	0	0	0	0	0
ASV2035	0	6	3	2	24	0
ASV2107	2	24	9	6	0	0
ASV2337	1	0	6	2	0	0
ASV2545	1	1	2	1	1	1
ASV2614	0	0	0	0	0	0
ASV2646	1	1	6	3	2	0
ASV2737	3	0	0	1	0	0
ASV3377	8	13	6	1	4	2
ASV3500	0	0	1	0	0	0
ASV3626	2	5	1	8	5	3
ASV3910	0	0	0	0	0	0
ASV1547	0	3	1	2	0	1
ASV1548	0	0	2	1	4	1
ASV1567	0	0	0	0	0	0
ASV1622	34	5	2	1	1	1
ASV1662	0	2	0	0	8	0
ASV1671	0	0	0	0	0	0
ASV1755	0	2	1	4	5	0
ASV1805	0	1	1	0	0	40
ASV1826	0	0	0	0	0	0
ASV1844	0	0	0	0	0	0
ASV1865	2	0	4	3	0	0
ASV1875	9	0	13	4	0	0
ASV1899	1	0	5	1	2	0
ASV1907	1	0	1	1	1	0
ASV1936	0	0	0	0	0	0
ASV1961	0	0	0	0	0	0
ASV1971	5	1	14	5	0	1
ASV1973	17	12	16	10	6	1
ASV2021	0	0	0	0	0	0
ASV2029	0	0	0	0	0	0
ASV2051	0	0	2	1	0	0
ASV2057	1	0	4	2	1	0
ASV2094	2	2	1	1	0	2
ASV2170	0	0	0	0	0	0
ASV2174	0	0	2	0	0	5
ASV2306	0	0	0	0	0	0
ASV2758	0	0	1	15	4	0
ASV2867	0	1	15	16	11	0
ASV3449	0	0	2	2	2	0
ASV3521	1	3	1	3	2	0
ASV3644	1	5	0	4	7	3
ASV3768	0	0	0	0	0	0
ASV5066	12	5	14	11	2	2
ASV1482	0	18	4	8	30	0
ASV1565	0	4	10	8	41	0
ASV1637	0	0	0	0	0	0
ASV1688	0	0	0	0	0	0
ASV1738	0	1	0	1	1	0
ASV1771	0	0	1	0	0	0
ASV1838	1	2	4	5	3	0
ASV1839	0	0	1	0	0	0
ASV1874	0	0	0	0	0	0
ASV1960	0	2	2	3	9	1
ASV2002	1	1	2	2	0	0
ASV2054	0	0	0	0	0	0
ASV2081	0	0	0	0	0	0
ASV2166	8	2	5	11	0	0
ASV2271	2	0	2	0	0	1
ASV2344	3	0	0	1	0	0
ASV2546	3	2	2	2	0	0
ASV2765	10	3	18	11	1	9
ASV3018	0	0	1	0	0	0
ASV3297	4	6	5	0	6	1
ASV3680	0	0	0	0	0	0
ASV3982	5	11	1	3	3	4
ASV1523	0	0	0	0	0	0
ASV1598	0	1	0	1	0	1
ASV1660	12	13	16	5	1	2
ASV1693	0	0	0	0	0	0
ASV1758	5	10	4	4	4	5
ASV1762	0	0	0	0	0	0
ASV1788	0	0	0	2	0	0
ASV1833	7	5	5	3	3	0
ASV1836	2	2	9	1	9	18
ASV1949	1	3	2	4	0	7
ASV2000	1	1	4	2	0	2
ASV2088	1	1	1	0	0	2
ASV2089	2	1	5	7	0	6
ASV2301	0	0	0	0	0	0
ASV2443	9	0	7	2	1	15
ASV4854	2	0	10	1	5	4
ASV1566	0	10	8	7	27	2
ASV1648	0	1	0	0	0	0
ASV1680	4	6	7	4	3	7
ASV1683	18	0	1	7	0	1
ASV1709	0	0	1	0	0	0
ASV1741	2	0	3	0	1	0
ASV1808	6	4	4	2	1	11
ASV1810	3	0	1	2	0	0
ASV1924	1	0	1	0	0	0
ASV1932	0	0	0	0	0	0
ASV1933	0	0	0	2	0	0
ASV1975	10	10	13	1	10	1
ASV1998	0	8	5	3	5	0
ASV2062	0	0	0	0	0	0
ASV2070	3	0	0	1	0	3
ASV2079	16	9	3	11	4	4
ASV2080	1	2	0	1	0	0
ASV2283	6	11	1	9	15	0
ASV2360	4	0	5	3	0	2
ASV2459	0	0	1	1	0	0
ASV2500	0	1	1	7	3	0
ASV3065	1	9	0	2	13	2
ASV3168	4	1	5	3	3	12
ASV3693	0	0	3	10	2	0
ASV3842	2	0	6	2	0	9
ASV4069	0	2	0	2	0	0
ASV5049	1	1	0	2	0	10
ASV5210	7	7	0	1	3	1
ASV1690	0	0	0	0	0	0
ASV1749	0	0	0	0	0	0
ASV1792	0	28	8	4	7	0
ASV1814	0	16	4	4	16	0
ASV1869	0	0	0	0	0	0
ASV1917	0	0	0	0	0	0
ASV1981	5	6	9	3	3	2
ASV2067	10	5	5	7	1	2
ASV2093	0	0	2	2	0	0
ASV2098	7	5	8	7	0	1
ASV2131	0	0	0	0	0	0
ASV2146	11	10	8	1	1	7
ASV2150	0	1	8	1	15	1
ASV2251	5	1	6	5	3	4
ASV2277	2	25	3	8	8	2
ASV2668	1	2	2	1	0	2
ASV2716	6	7	7	4	0	1
ASV2801	5	9	5	7	12	1
ASV3087	0	0	0	0	0	0
ASV3313	1	0	0	0	0	5
ASV3352	7	21	6	9	1	5
ASV3517	2	2	0	0	0	0
ASV4206	5	2	0	4	0	17
ASV4639	5	8	0	4	7	7
ASV5394	0	0	4	2	0	0
ASV5574	0	2	0	0	1	33
ASV5756	1	1	0	0	0	6
ASV1613	0	0	0	0	0	0
ASV1653	3	5	3	1	0	1
ASV1673	1	12	7	2	0	30
ASV1695	3	0	1	0	0	0
ASV1748	0	0	1	0	0	0
ASV1824	8	6	9	3	1	2
ASV1906	1	0	0	1	0	0
ASV1959	6	3	7	4	1	5
ASV1965	5	6	1	3	5	3
ASV2118	5	1	2	5	0	5
ASV2212	0	0	0	1	1	0
ASV2276	0	0	2	0	0	43
ASV2300	6	2	3	2	0	4
ASV2366	0	0	2	0	0	0
ASV2446	0	0	1	0	0	0
ASV2450	6	22	8	4	19	1
ASV2452	4	6	6	1	5	3
ASV2523	3	0	2	3	5	0
ASV2582	0	0	0	0	0	0
ASV2647	1	10	5	5	2	1
ASV2766	0	1	0	0	0	1
ASV2837	0	0	4	0	0	0
ASV3246	6	9	1	5	3	4
ASV3316	1	0	0	0	0	2
ASV3414	0	0	1	1	0	0
ASV4400	2	1	1	1	0	5
ASV5841	2	1	9	1	0	4
ASV1579	26	8	12	11	1	7
ASV1661	1	1	18	5	0	1
ASV1694	0	33	8	6	11	0
ASV1752	1	1	1	3	12	15
ASV1802	0	0	0	0	0	0
ASV1887	6	7	6	4	3	2
ASV1908	1	1	0	2	0	1
ASV1918	0	0	1	1	0	1
ASV1926	6	3	7	5	2	18
ASV1935	0	18	6	0	26	0
ASV1953	1	0	2	0	0	0
ASV1976	0	0	0	0	0	0
ASV2030	0	0	0	0	0	1
ASV2055	2	4	1	2	28	1
ASV2108	0	0	1	0	0	2
ASV2135	0	0	0	1	7	0
ASV2154	1	0	2	0	1	0
ASV2225	3	24	1	8	9	2
ASV2433	0	0	0	0	0	0
ASV2439	0	0	0	0	0	0
ASV2508	10	8	7	2	2	2
ASV2795	0	0	9	8	8	0
ASV2841	1	0	0	0	0	0
ASV2852	1	0	0	1	0	0
ASV2997	0	0	0	0	0	0
ASV3163	0	0	0	0	0	0
ASV3362	0	0	0	0	0	0
ASV3876	5	24	1	2	2	7
ASV4097	7	3	5	7	2	0
ASV4326	0	0	1	5	1	3
ASV1510	0	0	0	1	0	0
ASV1663	0	0	1	0	0	1
ASV1687	0	0	0	0	0	0
ASV1815	0	0	1	2	0	0
ASV1861	7	38	1	0	0	16
ASV1922	0	0	0	0	0	0
ASV1940	0	0	0	0	0	0
ASV1942	0	1	0	0	0	0
ASV1990	3	1	7	5	0	2
ASV2005	4	4	14	6	8	4
ASV2044	2	1	1	3	0	1
ASV2058	1	3	6	3	0	4
ASV2085	0	2	2	3	2	0
ASV2097	0	3	3	3	8	0
ASV2134	0	0	1	0	0	0
ASV2136	0	0	0	0	0	0
ASV2156	15	5	13	11	0	2
ASV2180	0	0	0	0	0	0
ASV2188	0	0	0	0	0	0
ASV2274	0	0	4	1	0	0
ASV2292	2	0	2	3	0	0
ASV2455	4	0	4	5	0	0
ASV2654	9	1	5	1	1	3
ASV2711	6	16	0	5	7	1
ASV3048	4	1	3	5	0	1
ASV3328	0	0	2	0	0	0
ASV3446	0	0	0	0	0	1
ASV3931	3	4	2	6	0	21
ASV4106	1	0	0	1	0	40
ASV4130	8	7	4	2	6	2
ASV4694	2	0	0	1	0	0
ASV5422	0	0	0	1	0	0
ASV1627	5	16	4	2	2	4
ASV1739	0	13	11	8	29	0
ASV1756	0	0	0	2	20	0
ASV1807	13	2	26	13	0	3
ASV1849	0	4	0	0	51	4
ASV1863	0	0	0	0	0	0
ASV1979	2	7	1	1	4	8
ASV2015	0	0	0	1	5	0
ASV2025	0	0	3	0	0	0
ASV2027	7	15	18	8	6	0
ASV2034	3	0	12	4	1	2
ASV2106	12	1	4	6	0	3
ASV2126	0	0	0	0	0	1
ASV2138	0	0	0	0	0	0
ASV2152	1	3	6	5	1	2
ASV2232	7	0	11	8	0	1
ASV2254	2	1	0	4	0	0
ASV2268	4	4	5	0	0	5
ASV2269	1	0	2	1	0	0
ASV2309	0	0	2	2	0	0
ASV2341	5	3	3	0	0	0
ASV2367	5	0	9	8	0	0
ASV2388	0	0	0	1	0	0
ASV2461	0	1	1	0	0	2
ASV2521	0	0	0	0	0	5
ASV2807	2	0	3	0	4	0
ASV3084	1	0	2	4	3	0
ASV3438	11	4	5	3	0	1
ASV3800	1	2	1	3	11	2
ASV4131	8	13	1	1	0	31
ASV4208	0	0	0	1	0	0
ASV5041	6	5	0	3	3	11
ASV1711	0	0	0	0	0	0
ASV1782	0	0	0	0	0	0
ASV1795	10	0	6	3	0	1
ASV1823	3	6	6	5	12	1
ASV1846	3	15	10	1	0	2
ASV1848	0	0	0	0	0	0
