	LW.1
ASV243	41
ASV259	1
ASV719	1
ASV347	0
ASV212	2
ASV229	0
ASV267	3
ASV766	8
ASV312	0
ASV252	3
ASV838	9
ASV296	2
ASV233	10
ASV952	15
ASV3732	8
ASV234	0
ASV264	4
ASV270	5
ASV286	0
ASV244	3
ASV257	3
ASV268	3
ASV307	4
ASV255	14
ASV262	3
ASV291	20
ASV298	5
ASV316	0
ASV251	9
ASV303	1
ASV643	26
ASV271	13
ASV4759	3
ASV275	0
ASV300	0
ASV294	4
ASV254	0
ASV282	2
ASV246	127
ASV274	6
ASV283	19
ASV293	0
ASV5201	5
ASV287	0
ASV269	31
ASV366	3
ASV281	5
ASV273	0
ASV3779	3
ASV297	24
ASV3938	15
ASV302	0
ASV335	1
ASV276	5
ASV2623	3
ASV295	41
ASV5010	19
ASV263	4
ASV5744	0
ASV278	0
ASV5687	0
ASV465	0
ASV285	1
ASV2809	3
ASV539	2
ASV2974	20
ASV277	5
ASV306	3
ASV355	38
ASV436	10
ASV353	0
ASV315	0
ASV352	50
ASV260	6
ASV382	1
ASV425	6
ASV342	0
ASV328	3
ASV392	17
ASV334	3
ASV516	5
ASV337	187
ASV284	0
ASV318	11
ASV368	4
ASV323	10
ASV435	10
ASV338	0
ASV272	0
ASV311	0
ASV363	0
ASV1712	1
ASV361	3
ASV953	4
ASV344	1
ASV331	4
ASV317	0
ASV384	18
ASV373	0
ASV326	10
ASV397	16
ASV308	10
ASV329	305
ASV376	1
ASV348	0
ASV313	1
ASV324	13
ASV325	0
ASV447	2
ASV359	1
ASV321	79
ASV372	79
ASV383	26
ASV301	0
ASV377	0
ASV823	5
ASV349	19
ASV1112	38
ASV3716	2
ASV379	7
ASV4983	13
ASV345	2
ASV2915	1
ASV327	0
ASV354	9
ASV375	1
ASV404	0
ASV378	0
ASV320	18
ASV411	0
ASV482	1
ASV350	0
ASV656	0
ASV299	1
ASV340	5
ASV389	2
ASV437	83
ASV671	0
ASV319	1
ASV374	0
ASV386	2
ASV391	0
ASV424	10
ASV401	0
ASV860	1
ASV333	0
ASV5690	2
ASV370	7
ASV439	13
ASV1358	9
ASV681	0
ASV358	3
ASV2552	0
ASV346	2
ASV406	17
ASV490	1
ASV388	1
ASV393	3
ASV360	0
ASV365	1
ASV407	2
ASV1774	5
ASV409	7
ASV362	0
ASV304	0
ASV339	13
ASV432	102
ASV597	7
ASV4257	13
ASV380	0
ASV343	0
ASV544	0
ASV2208	7
ASV461	7
ASV351	1
ASV396	0
ASV475	1
ASV369	1
ASV332	4
ASV1015	5
ASV364	2
ASV427	5
ASV430	14
ASV398	30
ASV456	7
ASV385	2
ASV508	11
ASV1338	2
ASV640	1
ASV2291	3
ASV414	7
ASV1152	1
ASV1002	5
ASV390	30
ASV587	3
ASV417	0
ASV560	3
ASV2486	2
ASV466	2
ASV1132	8
ASV2850	2
ASV1092	12
ASV463	0
ASV416	0
ASV438	8
ASV381	0
ASV464	9
ASV419	0
ASV408	10
ASV371	0
ASV1073	11
ASV1161	12
ASV410	5
ASV420	5
ASV481	0
ASV592	7
ASV3576	11
ASV426	0
ASV3236	0
ASV413	1
ASV405	94
ASV399	0
ASV402	2
ASV400	27
ASV421	5
ASV735	9
ASV960	6
ASV422	0
ASV467	0
ASV5825	1
ASV1030	9
ASV444	26
ASV403	0
ASV497	0
ASV606	0
ASV394	0
ASV4229	13
ASV468	1
ASV1449	19
ASV451	0
ASV652	1
ASV412	36
ASV434	6
ASV836	22
ASV458	12
ASV513	0
ASV479	16
ASV566	8
ASV1182	13
ASV506	39
ASV4509	3
ASV454	22
ASV459	77
ASV505	1
ASV557	0
ASV775	1
ASV3869	0
ASV469	8
ASV2124	0
ASV423	3
ASV635	0
ASV1594	10
ASV498	0
ASV480	1
ASV893	16
ASV486	2
ASV510	23
ASV429	0
ASV395	95
ASV415	5
ASV1287	0
ASV4085	0
ASV586	0
ASV428	0
ASV470	2
ASV531	6
ASV828	11
ASV547	0
ASV1492	5
ASV431	0
ASV600	1
ASV499	1
ASV501	12
ASV387	2
ASV528	10
ASV460	3
ASV621	1
ASV484	0
ASV500	0
ASV517	0
ASV552	1
ASV457	0
ASV474	1
ASV535	0
ASV442	0
ASV545	1
ASV476	3
ASV462	0
ASV543	0
ASV455	0
ASV525	0
ASV483	1
ASV488	13
ASV532	5
ASV1210	8
ASV4277	0
ASV441	11
ASV452	0
ASV496	16
ASV433	1
ASV550	0
ASV548	30
ASV617	3
ASV556	9
ASV489	2
ASV493	10
ASV616	25
ASV527	13
ASV591	0
ASV502	0
ASV2595	10
ASV523	8
ASV779	13
ASV3406	4
ASV3760	3
ASV440	3
ASV536	8
ASV1243	1
ASV509	0
ASV605	0
ASV418	39
ASV443	0
ASV453	6
ASV526	4
ASV677	0
ASV503	25
ASV507	0
ASV542	0
ASV3107	0
ASV5166	0
ASV529	12
ASV561	1
ASV4518	1
ASV504	22
ASV514	0
ASV524	0
ASV1647	6
ASV511	0
ASV446	1
ASV449	49
ASV487	22
ASV570	0
ASV1329	17
ASV512	0
ASV3347	16
ASV477	17
ASV541	3
ASV575	1
ASV537	38
ASV553	1
ASV567	23
ASV576	1
ASV540	1
ASV549	0
ASV624	2
ASV491	1
ASV571	0
ASV572	1
ASV634	0
ASV473	24
ASV494	9
ASV583	7
ASV627	6
ASV562	0
ASV630	7
ASV654	0
ASV658	10
ASV596	9
ASV657	1
ASV607	2
ASV609	2
ASV620	2
ASV767	2
ASV2165	1
ASV568	0
ASV679	2
ASV725	0
ASV485	0
ASV518	0
ASV522	1
ASV558	0
ASV708	0
ASV448	56
ASV546	0
ASV554	27
ASV574	20
ASV519	20
ASV5333	3
ASV770	0
ASV521	7
ASV559	0
ASV573	0
ASV614	4
ASV626	0
ASV628	0
ASV492	8
ASV599	0
ASV613	1
ASV686	1
ASV602	128
ASV619	9
ASV569	2
ASV5772	1
ASV646	1
ASV886	0
ASV3089	2
ASV4715	1
ASV551	3
ASV555	0
ASV781	13
ASV639	24
ASV689	6
ASV632	3
ASV644	13
ASV2010	1
ASV534	0
ASV623	0
ASV625	0
ASV604	0
ASV641	0
ASV734	1
ASV3754	0
ASV520	0
ASV584	1
ASV610	0
ASV636	3
ASV684	1
ASV773	2
ASV577	12
ASV680	11
ASV580	0
ASV750	1
ASV1466	4
ASV1945	1
ASV2762	3
ASV5488	1
ASV645	10
ASV692	6
ASV869	1
ASV611	16
ASV2049	2
ASV585	0
ASV595	4
ASV703	0
ASV772	1
ASV564	0
ASV670	3
ASV5848	3
ASV724	1
ASV884	2
ASV3643	0
ASV633	0
ASV495	20
ASV538	1
ASV593	2
ASV648	1
ASV650	3
ASV716	0
ASV615	7
ASV659	1
ASV801	14
ASV601	3
ASV783	2
ASV4242	12
ASV533	1
ASV582	0
ASV664	0
ASV913	0
ASV1551	5
ASV579	4
ASV672	11
ASV1842	9
ASV655	7
ASV706	0
ASV730	5
ASV647	0
ASV669	5
ASV736	0
ASV799	3
ASV530	0
ASV578	3
ASV710	5
ASV769	0
ASV515	0
ASV797	2
ASV5381	8
ASV629	0
ASV631	0
ASV637	0
ASV666	1
ASV683	8
ASV701	4
ASV673	0
ASV1135	1
ASV589	0
ASV687	0
ASV5026	0
ASV594	3
ASV603	4
ASV622	5
ASV737	4
ASV1830	2
ASV1069	4
ASV4788	0
ASV661	7
ASV901	9
ASV608	2
ASV717	6
ASV824	0
ASV852	0
ASV1000	1
ASV588	0
ASV598	42
ASV693	1
ASV748	2
ASV932	15
ASV5493	15
ASV694	3
ASV749	0
ASV812	18
ASV667	0
ASV682	17
ASV721	17
ASV854	2
ASV1057	2
ASV3322	1
ASV675	15
ASV705	21
ASV863	5
ASV642	18
ASV758	5
ASV5711	0
ASV697	1
ASV739	7
ASV745	0
ASV768	0
ASV844	14
ASV1045	17
ASV1845	11
ASV2572	2
ASV612	1
ASV688	4
ASV707	0
ASV731	0
ASV742	2
ASV864	27
ASV912	4
ASV1972	4
ASV691	0
ASV733	0
ASV942	0
ASV700	37
ASV732	0
ASV759	0
ASV1007	0
ASV702	5
ASV798	3
ASV805	1
ASV2370	0
ASV1093	23
ASV698	5
ASV809	77
ASV879	0
ASV989	0
ASV4133	5
ASV660	7
ASV685	23
ASV695	3
ASV1791	2
ASV5584	7
ASV653	0
ASV709	1
ASV755	0
ASV723	6
ASV776	0
ASV825	0
ASV868	21
ASV880	17
ASV1103	11
ASV649	0
ASV760	1
ASV4265	6
ASV651	0
ASV618	1
ASV662	3
ASV704	3
ASV753	3
ASV1127	3
ASV1452	0
ASV713	15
ASV743	1
ASV3881	0
ASV696	41
ASV711	0
ASV674	0
ASV785	3
ASV638	0
ASV818	1
ASV821	2
ASV858	0
ASV922	8
ASV746	6
ASV782	6
ASV983	0
ASV720	46
ASV744	3
ASV757	0
ASV796	18
ASV841	0
ASV859	2
ASV915	0
ASV715	1
ASV788	6
ASV819	9
ASV830	14
ASV1041	51
ASV690	0
ASV752	5
ASV765	23
ASV851	5
ASV940	0
ASV1242	3
ASV665	0
ASV927	1
ASV931	16
ASV966	0
ASV2744	3
ASV3238	0
ASV4134	2
ASV790	0
ASV980	0
ASV1333	16
ASV1581	3
ASV892	1
ASV676	0
ASV747	1
ASV843	15
ASV986	29
ASV1852	0
ASV738	14
ASV756	0
ASV777	3
ASV1039	0
ASV668	0
ASV806	4
ASV811	0
ASV1546	0
ASV784	0
ASV856	0
ASV877	45
ASV1029	8
ASV2736	3
ASV780	74
ASV873	0
ASV764	0
ASV955	19
ASV996	10
ASV1082	2
ASV1166	0
ASV1692	0
ASV778	0
ASV817	2
ASV832	0
ASV904	0
ASV1187	0
ASV2610	0
ASV663	0
ASV722	0
ASV751	1
ASV792	3
ASV807	1
ASV887	0
ASV941	1
ASV1021	25
ASV761	1
ASV774	0
ASV837	0
ASV889	1
ASV937	4
ASV5839	5
ASV718	19
ASV802	39
ASV1493	0
ASV3401	8
ASV816	15
ASV834	4
ASV919	15
ASV1016	0
ASV762	4
ASV787	0
ASV814	1
ASV846	2
ASV925	1
ASV813	0
ASV835	12
ASV857	0
ASV865	2
ASV1003	12
ASV1123	1
ASV712	0
ASV1297	0
ASV1704	3
ASV3095	11
ASV794	5
ASV831	1
ASV870	4
ASV891	1
ASV920	0
ASV959	0
ASV981	1
ASV2319	14
ASV862	1
ASV956	2
ASV848	1
ASV906	0
ASV954	41
ASV1254	4
ASV1475	1
ASV808	0
ASV815	0
ASV3309	1
ASV5511	2
ASV726	0
ASV896	5
ASV1010	0
ASV1122	1
ASV1144	10
ASV5943	8
ASV714	0
ASV740	2
ASV754	2
ASV763	0
ASV795	0
ASV803	0
ASV866	10
ASV957	0
ASV1051	3
ASV1258	2
ASV3072	1
ASV829	3
ASV871	2
ASV876	0
ASV947	7
ASV964	0
ASV1040	0
ASV1150	7
ASV1356	1
ASV1425	10
ASV939	8
ASV1038	9
ASV1374	3
ASV729	1
ASV771	0
ASV839	2
ASV853	1
ASV881	6
ASV897	0
ASV1246	71
ASV1435	8
ASV2774	2
ASV833	3
ASV918	0
ASV921	0
ASV929	25
ASV936	0
ASV938	0
ASV985	4
ASV1025	2
ASV1066	1
ASV1090	9
ASV1736	0
ASV2411	1
ASV793	0
ASV810	0
ASV699	0
ASV968	2
ASV898	3
ASV1071	7
ASV1074	10
ASV826	1
ASV827	1
ASV895	2
ASV963	10
ASV992	5
ASV800	0
ASV888	12
ASV923	12
ASV979	0
ASV1781	0
ASV943	1
ASV944	1
ASV976	19
ASV1013	0
ASV1100	8
ASV1249	3
ASV2599	1
ASV820	0
ASV845	0
ASV903	1
ASV1018	8
ASV1226	4
ASV1318	4
ASV1330	0
ASV5695	6
ASV890	28
ASV934	0
ASV1085	0
ASV1232	1
ASV2451	1
ASV2834	0
ASV789	3
ASV850	0
ASV872	0
ASV882	16
ASV1128	0
ASV1143	4
ASV786	0
ASV847	0
ASV861	18
ASV878	3
ASV990	0
ASV1053	0
ASV1104	0
ASV1169	64
ASV1174	1
ASV1214	0
ASV1228	9
ASV1381	0
ASV1514	27
ASV1691	2
ASV842	14
ASV1255	6
ASV1986	0
ASV3752	7
ASV4004	25
ASV4396	0
ASV875	1
ASV914	0
ASV917	0
ASV928	1
ASV950	5
ASV970	0
ASV1034	24
ASV1037	18
ASV1050	24
ASV1121	0
ASV1204	0
ASV1275	0
ASV1506	6
ASV962	1
ASV999	13
ASV1011	6
ASV1026	2
ASV1186	0
ASV1985	0
ASV855	0
ASV994	0
ASV1001	5
ASV1048	14
ASV1054	1
ASV1194	10
ASV5569	0
ASV946	5
ASV1043	4
ASV1098	11
ASV1237	2
ASV1270	0
ASV907	5
ASV930	1
ASV948	0
ASV982	0
ASV997	5
ASV1133	3
ASV1236	0
ASV1403	9
ASV1502	11
ASV995	1
ASV1070	8
ASV2777	1
ASV911	0
ASV933	0
ASV958	12
ASV1055	5
ASV1061	11
ASV1075	0
ASV1081	2
ASV1091	0
ASV1110	3
ASV1115	0
ASV1116	0
ASV1345	7
ASV1607	1
ASV822	0
ASV935	0
ASV1017	1
ASV1195	0
ASV2721	1
ASV2835	3
ASV867	2
ASV883	0
ASV905	1
ASV961	8
ASV1105	0
ASV1763	0
ASV2532	0
ASV899	1
ASV987	5
ASV1141	0
ASV2361	0
ASV4454	2
ASV971	8
ASV1028	2
ASV1052	0
ASV1078	0
ASV1106	0
ASV1109	22
ASV3995	7
ASV874	12
ASV900	11
ASV1120	2
ASV1196	0
ASV1411	1
ASV1424	0
ASV2383	5
ASV5931	5
ASV885	0
ASV967	5
ASV1006	0
ASV1009	0
ASV1019	0
ASV1027	0
ASV1049	2
ASV1273	3
ASV965	0
ASV1095	0
ASV1124	0
ASV1157	3
ASV1203	0
ASV1879	14
ASV945	0
ASV978	0
ASV1004	0
ASV1035	3
ASV1117	0
ASV1158	7
ASV1378	0
ASV1468	2
ASV2100	36
ASV902	0
ASV973	1
ASV1005	0
ASV1046	0
ASV1080	2
ASV1101	14
ASV1137	1
ASV1172	4
ASV1181	7
ASV1382	0
ASV3861	28
ASV951	1
ASV1024	4
ASV1042	0
ASV1167	5
ASV1213	0
ASV1272	0
ASV1296	1
ASV1317	13
ASV1458	11
ASV1517	18
ASV1540	2
ASV1586	10
ASV1650	31
ASV791	0
ASV849	5
ASV949	0
ASV1032	0
ASV1097	1
ASV1130	18
ASV1215	1
ASV1463	19
ASV910	0
ASV924	1
ASV977	0
ASV1155	0
ASV1295	2
ASV1433	1
ASV1703	43
ASV908	10
ASV909	3
ASV991	3
ASV1102	0
ASV1114	0
ASV1309	5
ASV1324	7
ASV1346	0
ASV1353	2
ASV1377	1
ASV1534	11
ASV2379	1
ASV988	3
ASV1079	0
ASV1179	8
ASV1234	0
ASV1276	1
ASV1305	2
ASV2511	2
ASV4272	0
ASV916	0
ASV993	13
ASV1014	2
ASV1047	0
ASV1065	0
ASV1072	1
ASV1113	3
ASV1118	3
ASV1147	0
ASV1235	10
ASV1294	17
ASV1541	0
ASV974	0
ASV1023	1
ASV1076	0
ASV1084	2
ASV1212	6
ASV1221	1
ASV1319	4
ASV1778	29
ASV2290	0
ASV984	7
ASV1197	0
ASV1202	2
ASV1280	0
ASV1561	0
ASV5763	0
ASV1058	3
ASV1099	0
ASV1138	13
ASV1148	3
ASV1189	0
ASV1438	6
ASV1536	5
ASV1620	26
ASV5097	1
ASV1044	1
ASV1111	0
ASV1149	0
ASV1199	0
ASV1245	0
ASV1251	7
ASV1261	1
ASV1264	1
ASV1342	9
ASV2440	3
ASV926	1
ASV1139	17
ASV1145	1
ASV1259	0
ASV2182	17
ASV975	0
ASV1020	1
ASV1136	0
ASV1159	3
ASV1162	0
ASV1177	4
ASV1180	1
ASV1188	3
ASV1205	4
ASV1262	25
ASV1271	0
ASV1277	1
ASV1340	14
ASV1365	0
ASV1369	1
ASV1395	0
ASV1031	5
ASV1033	1
ASV1060	13
ASV1225	1
ASV1286	0
ASV1487	2
ASV1519	12
ASV2530	3
ASV2597	0
ASV1063	40
ASV1067	7
ASV1094	0
ASV1163	12
ASV1222	0
ASV1292	0
ASV1311	1
ASV1321	0
ASV1334	12
ASV1361	1
ASV1396	1
ASV1527	1
ASV969	0
ASV1022	1
ASV1056	1
ASV1062	0
ASV1088	54
ASV1191	1
ASV1219	0
ASV1223	1
ASV1257	0
ASV1355	4
ASV1532	6
ASV2026	0
ASV2333	2
ASV2585	2
ASV3900	0
ASV1036	2
ASV1198	3
ASV1231	7
ASV1288	22
ASV1331	12
ASV1337	5
ASV1392	0
ASV1442	0
ASV1490	0
ASV1793	0
ASV3702	6
ASV3806	4
ASV4501	6
ASV5291	3
ASV5525	3
ASV5675	0
ASV1059	1
ASV1083	32
ASV1233	0
ASV1298	2
ASV1428	0
ASV1476	4
ASV1520	2
ASV2454	49
ASV1160	3
ASV1165	0
ASV1209	4
ASV1224	2
ASV1252	18
ASV1269	2
ASV1451	2
ASV1576	11
ASV2185	0
ASV5250	1
ASV1077	0
ASV1134	31
ASV1140	2
ASV1176	0
ASV1207	0
ASV1240	32
ASV1274	8
ASV1293	1
ASV1363	0
ASV1407	0
ASV1646	0
ASV1816	1
ASV2270	0
ASV1154	0
ASV1183	32
ASV1185	4
ASV1216	2
ASV1315	2
ASV1499	4
ASV1609	0
ASV1766	56
ASV2189	4
ASV972	1
ASV1064	2
ASV1096	9
ASV1108	5
ASV1206	24
ASV1218	0
ASV1408	0
ASV1426	10
ASV1440	0
ASV1497	0
ASV1513	0
ASV1531	8
ASV1974	23
ASV1129	0
ASV1253	6
ASV1266	3
ASV1303	0
ASV1401	0
ASV1429	16
ASV1489	2
ASV1557	4
ASV1615	1
ASV3583	0
ASV1125	4
ASV1247	0
ASV1339	0
ASV1375	0
ASV1404	1
ASV1570	3
ASV2282	3
ASV3258	38
ASV3570	0
ASV4952	1
ASV998	2
ASV1086	0
ASV1156	18
ASV1173	1
ASV1208	1
ASV1229	0
ASV1312	4
ASV1460	0
ASV1509	10
ASV1524	4
ASV1707	2
ASV1858	12
ASV1941	1
ASV3631	0
ASV1008	1
ASV1325	0
ASV1368	1
ASV1384	5
ASV1459	0
ASV1584	8
ASV1889	2
ASV1142	2
ASV1300	3
ASV1351	0
ASV1352	18
ASV1383	0
ASV1432	1
ASV1469	9
ASV1595	0
ASV2155	1
ASV2940	1
ASV1170	4
ASV1230	0
ASV1239	0
ASV1304	0
ASV1360	0
ASV1397	0
ASV1431	0
ASV1483	0
ASV1601	3
ASV1624	3
ASV1634	1
ASV1740	0
ASV1754	0
ASV4439	5
ASV1119	0
ASV1151	21
ASV1190	0
ASV1220	0
ASV1306	2
ASV1370	3
ASV1423	0
ASV1484	40
ASV1535	0
ASV1877	7
ASV2404	4
ASV1089	12
ASV1178	3
ASV1299	0
ASV1371	9
ASV1391	1
ASV1473	1
ASV1554	0
ASV1574	4
ASV1765	16
ASV1947	4
ASV2579	0
ASV1146	2
ASV1192	0
ASV1248	1
ASV1260	0
ASV1316	6
ASV1415	4
ASV1419	1
ASV1467	7
ASV1471	0
ASV1543	3
ASV1558	2
ASV1575	6
ASV1728	0
ASV1827	6
ASV1885	5
ASV2103	0
ASV3962	1
ASV1184	0
ASV1265	0
ASV1326	0
ASV1335	5
ASV1366	0
ASV1376	2
ASV1389	0
ASV1410	20
ASV1439	2
ASV1446	0
ASV1455	25
ASV1678	0
ASV1962	4
ASV3912	1
ASV1250	6
ASV1313	4
ASV1350	2
ASV1456	0
ASV1477	2
ASV1525	0
ASV1589	4
ASV2087	10
ASV2173	0
ASV3541	1
ASV4966	4
ASV1175	0
ASV1267	0
ASV1282	6
ASV1301	0
ASV1348	2
ASV1409	0
ASV1450	0
ASV1530	3
ASV1537	1
ASV1640	1
ASV1742	18
ASV1898	1
ASV2299	2
ASV2352	7
ASV2477	1
ASV2958	30
ASV5565	0
ASV1217	0
ASV1256	3
ASV1281	1
ASV1327	1
ASV1437	4
ASV1453	2
ASV1474	5
ASV1515	1
ASV1611	3
ASV1643	2
ASV1681	0
ASV1759	0
ASV1772	4
ASV1777	0
ASV1806	2
ASV1812	0
ASV1927	11
ASV2064	12
ASV3112	6
ASV1153	6
ASV1279	0
ASV1284	0
ASV1285	12
ASV1308	0
ASV1322	11
ASV1323	0
ASV1347	16
ASV1380	1
ASV1539	0
ASV1593	7
ASV1619	0
ASV1641	0
ASV1672	5
ASV1717	21
ASV1881	0
ASV2240	6
ASV2906	3
ASV2908	0
ASV3889	0
ASV4236	1
ASV1200	1
ASV1263	5
ASV1310	2
ASV1388	14
ASV1393	3
ASV1501	26
ASV1597	7
ASV1610	3
ASV1629	0
ASV1715	0
ASV1723	1
ASV1799	0
ASV2243	6
ASV2359	1
ASV5880	8
ASV1168	0
ASV1193	0
ASV1244	0
ASV1290	0
ASV1386	1
ASV1387	6
ASV1406	9
ASV1420	0
ASV1512	0
ASV1521	0
ASV1714	3
ASV1760	0
ASV2017	0
ASV2204	0
ASV3368	0
ASV3822	2
ASV5638	3
ASV1126	0
ASV1131	2
ASV1238	0
ASV1289	0
ASV1341	1
ASV1412	0
ASV1421	2
ASV1427	2
ASV1444	0
ASV1332	4
ASV1344	0
ASV1402	0
ASV1445	4
ASV1448	1
ASV1511	2
ASV1569	0
ASV1583	0
ASV1588	0
ASV1724	15
ASV1859	2
ASV1903	2
ASV1952	0
ASV2114	3
ASV2175	11
ASV2280	13
ASV1164	3
ASV1171	5
ASV1390	11
ASV1486	5
ASV1508	0
ASV1538	6
ASV1555	4
ASV1556	0
ASV1605	3
ASV1747	22
ASV1983	8
ASV2449	2
ASV2564	4
ASV1283	1
ASV1359	0
ASV1430	0
ASV1441	1
ASV1454	0
ASV1494	3
ASV1563	0
ASV1585	1
ASV1587	2
ASV1902	16
ASV2308	0
ASV3255	3
ASV3384	0
ASV1241	0
ASV1291	2
ASV1307	0
ASV1367	7
ASV1372	0
ASV1413	0
ASV1417	0
ASV1495	0
ASV1602	7
ASV1621	2
ASV1746	0
ASV1914	0
ASV1978	13
ASV2066	0
ASV2102	1
ASV2394	2
ASV2560	0
ASV5490	1
ASV1354	0
ASV1385	4
ASV1505	1
ASV1518	0
ASV1664	1
ASV1669	4
ASV1804	0
ASV2660	2
ASV2705	1
ASV3529	2
ASV1394	7
ASV1485	0
ASV1604	1
ASV1645	0
ASV1761	7
ASV1789	12
ASV1857	2
ASV1892	1
ASV2384	0
ASV2448	1
ASV3218	5
ASV5462	3
ASV1314	21
ASV1328	47
ASV1336	0
ASV1362	0
ASV1422	29
ASV1434	0
ASV1461	0
ASV1516	1
ASV1542	0
ASV1562	6
ASV1571	0
ASV1685	11
ASV1696	0
ASV1757	0
ASV1821	5
ASV1896	26
ASV1994	13
ASV2213	0
ASV3099	0
ASV4173	2
ASV5140	1
ASV1373	4
ASV1405	0
ASV1416	0
ASV1436	9
ASV1443	6
ASV1503	0
ASV1559	3
ASV1625	4
ASV1628	1
ASV1721	2
ASV1744	9
ASV1989	1
ASV2039	4
ASV2091	2
ASV2092	2
ASV2177	18
ASV2220	0
ASV3191	0
ASV1268	0
ASV1379	0
ASV1462	4
ASV1480	0
ASV1529	13
ASV1631	1
ASV1674	9
ASV1733	1
ASV1734	3
ASV1745	0
ASV1776	1
ASV1943	0
ASV2491	2
ASV2635	1
ASV4673	4
ASV4968	0
ASV5820	0
ASV1278	0
ASV1343	0
ASV1357	0
ASV1364	0
ASV1399	0
ASV1522	0
ASV1526	0
ASV1552	19
ASV1564	6
ASV1592	1
ASV1603	18
ASV1618	2
ASV1626	0
ASV1658	15
ASV1665	2
ASV1666	11
ASV1915	0
ASV1977	21
ASV1993	0
ASV2158	0
ASV2218	0
ASV2326	0
ASV2392	9
ASV5698	0
ASV1507	4
ASV1568	0
ASV1580	1
ASV1608	0
ASV1651	0
ASV1735	0
ASV1769	0
ASV1825	0
ASV1831	1
