Genus	A0	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A2	A20	A21	A23	A24	A25	A26	A27	A28	A29	A3	A30	A32	A34	A4	A5	A6	A7	A8	A9	BS2	CS2	G0	G1	G2	G3	G4	G5	GR01	LW1	T1	All
Conocybe	0.00655	0.00327	0.0131	0.00327	0.00655	0	0.0196	0	0	0	0	0	0	0	0.0196	0	0.0229	0	0	0.0655	0.00655	0	0.00327	0	0	0.0622	0	0.0262	0.00655	0.00327	0.0131	0	0	0	0	0	0.0196	0.00655	0	0.00982	0	0	0.00327	0.3
Pervetustus	0	0	0	0	0	0.0917	0	0	0.036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0884	0	0.0655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164	0.2
Wallemia	0.0164	0.0196	0	0.0262	0	0.0622	0.0164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00327	0.00327	0	0	0.0164	0.00655	0	0	0	0.00327	0	0	0	0	0.0196	0	0.00327	0	0	0	0	0.2
Coprinopsis	0.0327	0.00982	0.00655	0.0295	0	0.00327	0.0196	0	0	0	0	0	0	0	0.00655	0	0	0	0	0	0	0	0.00655	0	0	0	0.0164	0.00982	0.0196	0.00327	0.00655	0.00655	0	0	0	0	0	0	0	0	0	0	0	0.2
Lindtneria	0	0	0	0	0	0.298	0	0.00982	0.105	0	0.00327	0.0131	0	0	0.00982	0.0262	0.00655	0.0262	0.00982	0	0	0	0	0	0.00327	0.0524	0	0.00327	0.0196	0.00327	0.0164	0	0.036	0	0	0	0.00655	0	0.00982	0.00982	0	0	0.0524	0.2
Candida	0	0	0	0	0.00655	0.00327	0.0164	0	0.00327	0	0	0.0229	0	0.00982	0.00327	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164	0	0	0.0164	0	0	0	0	0	0	0	0	0	0	0	0.2
Preussia	0	0	0	0.0524	0	0.00327	0	0	0.00327	0	0	0	0	0	0	0.00982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0819	0	0	0	0	0.00327	0	0	0	0	0	0.2
Stachybotrys	0.0819	0.0131	0.0327	0.0164	0	0	0.0131	0	0	0	0	0	0.0229	0	0	0	0	0	0	0	0	0	0.00655	0	0	0	0	0.00655	0	0.0131	0	0.0262	0	0	0.00327	0	0	0	0.00327	0	0	0	0	0.2
Mucor	0.00327	0.00655	0	0	0.00655	0.00655	0.0295	0	0	0.00655	0	0	0.00327	0	0.00655	0	0	0	0	0	0	0	0.00655	0	0.00327	0.0491	0.0196	0.00655	0	0.00327	0.00327	0.00327	0	0	0	0	0	0	0	0	0	0	0	0.2
Waitea	0.164	0.0295	0	0.707	0.0229	0.0131	0.0458	0.00327	0	0	0	0.00327	0.00327	0.00327	0	0	0	0	0	0	0	0	0.0295	0	0	0	0.0131	0.0229	0.0327	0.00327	0.00655	0.0327	0	0	0	0	0	0	0	0	0	0	0	0.2
