Phylum	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Euryarchaeota	1.73	1.06	0.602	0.339	0.373	0.411	0.354	0.217	0.0533	0.549	0.0114	0.00762	0.00381	0.019	0.0114	0.019	0.0114	0.00762	0.00381	1.15	0.0343	0.0419	0.232	1.18	0.792	0.88	0.591	0.217	0.309	0.019	0.0343	0.625	1.45	1.46	4.68	4.34	0.206	0.564	0.0343	1.7
Armatimonadetes	0.438	0.126	0.0571	0.061	0.0571	0.061	0.0571	0.0457	0.11	0.0343	0.0305	0.0267	0.0343	0.0724	0.183	0.152	0.213	0.263	0.19	0.118	0.187	0.297	0.0838	0.103	0.0876	0.133	0.0648	0.0381	0.0457	0.118	0.221	0.381	0.735	0.339	0.21	0.286	0.251	0.587	0.114	1.0
Thaumarchaeota	4.9	1.57	1.06	0.785	0.648	0.754	0.583	0.446	0.423	1.01	0.171	0.118	0.0305	0.061	0.0686	0.0305	0.0762	0.061	0.0533	2.03	0.0876	0.118	0.152	1.5	1.49	1.57	1.04	0.636	0.682	0.08	0.0495	10.9	6.68	4.59	8.47	9.72	1.55	11.4	2.28	0.8
Unassigned	0.389	0.312	0.271	0.328	0.328	0.339	0.217	0.251	0.187	0.29	0.328	0.366	0.141	0.114	0.0648	0.0648	0.0724	0.0762	0.0305	0.251	0.0762	0.118	0.0762	0.331	0.236	0.351	0.309	0.358	0.293	0.175	0.126	0.526	0.693	0.438	0.484	0.682	0.164	0.358	0.316	0.8
Parcubacteria	0.198	0.0495	0.0305	0.0381	0.0381	0.0114	0.019	0.0229	0.00381	0.0381	0	0.00381	0.00762	0	0.00762	0.00381	0.00381	0.00381	0.0114	0.0533	0.00762	0.0571	0.0495	0.0457	0.0267	0.0495	0.0419	0.0305	0.00762	0	0.0305	0.145	0.537	0.0648	0.19	0.876	0.0876	0.0152	0.00762	0.6
Chlamydiae	0.19	0.0495	0.0229	0.0533	0.0152	0.0381	0.0267	0.0267	0.0457	0.0495	0.0114	0.0152	0.00381	0.019	0.00762	0.00762	0.00762	0.00762	0.0114	0.0724	0.0152	0.00381	0.00762	0.0533	0.0533	0.0762	0.0419	0.0495	0.0419	0.00762	0	0.488	0.389	0.137	0.274	0.156	0.0991	0.884	0.0914	0.4
Cyanobacteria	0.19	0.453	0.156	0.171	0.145	0.168	0.183	0.202	0.339	0.248	0.0571	0.0991	0.0533	0.0686	0.0724	0.08	0.0991	0.16	0.16	0.24	0.255	0.118	0.316	0.225	0.301	0.175	0.194	0.194	0.179	0.152	0.198	0.0457	0.0457	0.0648	0.0305	0.061	0.0152	0.0952	0.175	0.4
Chlorobi	0.248	0.0571	0.0381	0.0495	0.0229	0.0267	0.0381	0.0152	0.0152	0.0457	0.00381	0.0229	0	0.0229	0.0152	0.019	0.0419	0.0457	0.0381	0.061	0.103	0.114	0.0533	0.0305	0.0152	0.0533	0.0381	0.0267	0.0305	0.0381	0.061	0.118	0.823	0.339	0.229	1.46	0.0648	0.213	0.0571	0.3
Nitrospirae	0.175	0.114	0.0952	0.0305	0.0571	0.0419	0.0267	0.0419	0.0229	0.122	0	0.0114	0.00381	0.00381	0.0114	0.00381	0.0152	0	0	0.0952	0.0152	0	0.00762	0.13	0.0876	0.0533	0.0495	0.0381	0.0533	0.00762	0.0152	0.499	0.792	0.381	0.305	0.419	0.11	1.08	0.0419	0.3
Microgenomates	0.103	0.0114	0.00762	0.0114	0.0114	0	0.0152	0.00762	0	0.0152	0	0	0.00381	0	0	0	0	0	0	0.0229	0	0.00762	0	0.0229	0.0229	0.019	0.0114	0.00762	0.0114	0	0.00381	0.0457	0.274	0.0914	0.141	0.415	0	0.00762	0.0267	0.2
Hydrogenedentes	0.0952	0.0419	0.00381	0.019	0.0114	0.0152	0.0229	0.00762	0.019	0.0229	0.00381	0.019	0.061	0.0495	0.0724	0.0991	0.171	0.21	0.263	0.0343	0.183	0.217	0.061	0.0305	0.0267	0.019	0.0152	0.0152	0.019	0.0495	0.179	0.0381	0.019	0.0267	0.0533	0	0	0.0343	0.00381	0.2
Deinococcus-Thermus	0.019	0.0495	0.0648	0.0533	0.0343	0.0495	0.0381	0.0571	0.122	0.0419	0.061	0.0457	0.0114	0.0229	0.0267	0.019	0.0229	0.0305	0.0229	0.0648	0.019	0.0343	0.019	0.061	0.0267	0.0914	0.0267	0.0495	0.0495	0.0267	0.0762	0.0152	0	0.0457	0.0267	0.00381	0	0.0229	0.0229	0.2
Gracilibacteria	0.0686	0.00762	0	0	0.0152	0.00762	0.00381	0	0.00762	0.00381	0	0.00762	0	0	0	0	0.00381	0	0	0.0114	0	0.00381	0	0.0152	0.00381	0.00762	0.00381	0.00381	0.00381	0	0	0.0152	0.08	0.0648	0.061	0.0762	0	0.0114	0	0.1
Woesearchaeota_[DHVEG-6]	0.019	0.0114	0	0	0.00381	0.0114	0	0.00381	0.00381	0	0	0.00762	0	0.00381	0	0	0.00381	0	0	0	0	0	0.00381	0.00381	0.0114	0.00762	0	0.00762	0.00381	0	0	0.0724	0.0152	0.0114	0.0686	0.061	0.0267	0.156	0.0419	0.1
TM6	0.019	0.0114	0.00381	0.00381	0.00762	0	0.00381	0	0.00381	0.00762	0	0.00381	0	0	0	0.00381	0.00381	0	0.00381	0.0152	0	0.00381	0	0.00381	0	0.00762	0.00381	0	0.00762	0.00381	0.00381	0.0533	0.179	0.141	0.141	0.179	0.0419	0.0114	0.00381	0.1
SM2F11	0.0952	0.0343	0.0114	0.00762	0.0114	0.0114	0	0.00381	0.00762	0.00762	0	0	0	0.00381	0	0	0	0	0.00381	0.0114	0.00762	0.00762	0.00381	0.0114	0.0381	0.019	0.0114	0.0114	0.00762	0	0.00381	0.0686	0.0381	0.00762	0.019	0.00381	0.0229	0.0838	0.0114	0.1
Fibrobacteres	0.0419	0.0495	0	0.00762	0.00381	0	0.00381	0.00381	0	0.0229	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0.0229	0.0114	0.0114	0.0152	0.0152	0.0229	0	0	0.00762	0.0343	0.0114	0.019	0.16	0	0.0495	0	0.1
Candidate_division_OP3	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0	0	0	0	0	0.061	0.0419	0.0343	0.0267	0.0533	0.0305	0.00762	0.00762	0.1
Latescibacteria	0.0114	0.0267	0.00381	0.0152	0.00381	0	0.0114	0.00381	0.0114	0.0152	0.00381	0.00381	0	0	0	0	0	0.00381	0	0.00381	0	0	0	0.0152	0.00762	0.0114	0.0152	0.0152	0.0114	0	0.00381	0.0533	0.0152	0.0305	0.0152	0.0152	0.00381	0.019	0.00381	0.1
WCHB1-60	0.0419	0.0343	0.0114	0.00381	0.00381	0.00762	0	0.00381	0.0114	0.00381	0	0	0	0	0	0	0	0	0	0.0229	0.00381	0.00381	0	0.019	0.00381	0	0.00762	0	0	0	0	0.00762	0	0	0.00762	0	0	0.133	0.0267	0.1
Elusimicrobia	0.00762	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0	0.00381	0.00762	0.00381	0	0	0	0.00762	0.00762	0.00762	0.0152	0.0152	0.0114	0.00381	0	0.0
Aerophobetes	0.00381	0.00381	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0.00381	0	0.00381	0.00381	0	0	0	0.00381	0.0457	0.0152	0.00762	0.0267	0.00381	0.00381	0	0.0
SHA-109	0	0	0.00381	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00381	0	0	0	0	0	0	0	0.0229	0.00762	0.00381	0	0	0.00762	0	0.0
JL-ETNP-Z39	0.00381	0.0114	0	0	0.00381	0	0.00381	0	0.00381	0.0114	0.00381	0	0	0	0	0.00381	0	0	0	0	0	0	0	0.00762	0.0114	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0
Spike	0.0952	1.02	0.507	0.594	0.495	0.461	0.827	1.26	3.33	1.04	0.32	0.271	0.69	0.865	0.937	0.632	0.648	0.979	0.602	0.507	0.339	0.667	0.93	0.853	0.629	0.556	0.686	0.419	0.571	0.316	0.217	0.183	0.499	0.739	0.739	1.75	0.0419	0.171	0.107	0.0
Aenigmarchaeota	0	0	0	0	0.00762	0	0.00762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.00762	0	0.0114	0.00381	0.00381	0.00381	0	0	0	0	0	0	0	0	0	0	0.0
