Genus	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Xanthomonas	0.0343	0.0457	0.0305	0.0305	0.0152	0.00762	0.00381	0.0229	0.0305	0.019	0.0114	0.019	0.107	0.225	0.331	0.293	0.259	0.259	0.488	0.0267	0.366	0.712	0.255	0.019	0.0381	0.019	0.0229	0.0152	0.019	0.0533	0.29	0.00381	0	0	0.00762	0	0	0.00381	0.00381	0.1
Pelagibacterium	0	0.00381	0.0114	0	0.00381	0.00381	0.0152	0	0.00762	0	0.00381	0	0.0114	0.0419	0.0419	0.0229	0.0229	0.00381	0.0114	0.019	0.0571	0.0229	0.0457	0	0.0114	0.00381	0.00762	0	0	0.019	0	0.00762	0	0	0	0	0	0	0.00381	0.1
Friedmanniella	0.00381	0.0343	0.0152	0.0305	0.0114	0.0267	0.019	0.019	0.00762	0.0229	0.00381	0	0	0	0	0	0	0	0	0.019	0	0	0.00381	0.00762	0.019	0.0267	0.0267	0.0152	0.019	0	0	0.00381	0.00762	0.0381	0.0457	0.00381	0.00381	0.0114	0.00762	0.1
Bauldia	0.0343	0.0229	0.019	0.0114	0.0114	0.0152	0.0114	0.0114	0.00381	0.0229	0	0.00762	0	0	0.00381	0.0114	0.00381	0.00381	0.00381	0.00381	0.00381	0	0	0.0114	0.0152	0.0305	0.0152	0.00381	0.0114	0.00762	0.00381	0.107	0.179	0.0495	0.0343	0.0571	0.0419	0.0762	0.00381	0.1
Quadrisphaera	0.0152	0.0457	0.0229	0.0229	0.0305	0.0724	0.0267	0.0457	0.0152	0.0495	0.0267	0.0305	0.0114	0.0114	0.0152	0	0.00381	0.00381	0.00381	0.0381	0.00762	0.019	0.00381	0.0381	0.0305	0.019	0.0495	0.0381	0.0381	0.00762	0.0114	0.019	0.0114	0.0267	0.0457	0.00762	0.0381	0.019	0.00762	0.1
Lysinimonas	0.0381	0.0571	0.019	0.0419	0.0305	0.0267	0.0229	0.0305	0.019	0.0343	0.00762	0.0114	0	0.0229	0.0152	0.0152	0.0152	0.0229	0.00381	0.0419	0.00762	0.00381	0.0229	0.0419	0.0343	0.0419	0.0381	0.0305	0.0381	0.0114	0.0114	0.00381	0.00381	0	0.0114	0	0.00762	0.0229	0.019	0.1
Variovorax	0.019	0.0419	0.0305	0.00381	0	0.00381	0.00762	0.0114	0.00381	0.0267	0	0.00762	0.00762	0.00381	0	0	0	0	0	0.0267	0	0.00381	0	0.0267	0.0114	0.0152	0.0419	0.0305	0.0152	0	0.0114	0.187	0.0495	0.0914	0.08	0.00381	0.21	0.0686	0.0229	0.1
Oligoflexus	0.0114	0.00381	0	0.00762	0	0.0114	0.019	0	0.00381	0.0114	0	0	0.00381	0	0.00381	0	0	0	0.00381	0.0114	0	0	0.00381	0.0114	0.0114	0.00762	0	0.00381	0.00381	0	0	0.00381	0	0.00381	0	0	0	0.00381	0	0.1
Azospirillum	0.00762	0.00762	0.0229	0.00762	0.0152	0.019	0.0152	0.0267	0.0152	0	0.0229	0.0267	0	0	0.00381	0	0	0	0	0.0114	0	0	0	0.00762	0.0152	0.019	0.019	0.00762	0.0152	0	0	0	0	0	0	0	0.00381	0	0	0.1
Polynucleobacter	0.0114	0.061	0.00762	0.0305	0.019	0.0267	0.0229	0.00381	0.0114	0.0343	0.00762	0	0	0	0	0	0	0	0	0.0152	0	0	0	0.019	0.0152	0.0152	0.0152	0.00762	0.00762	0	0	0	0	0	0	0	0	0	0	0.1
possible_genus_04	0.0114	0.00762	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0.0114	0	0	0	0.0152	0.00381	0.00381	0.00381	0.0114	0.019	0	0	0.00762	0.019	0.0114	0.0152	0.11	0	0.0457	0	0.1
Nitratireductor	0.00381	0.00762	0.00762	0.00381	0.0152	0.00381	0.00381	0.00381	0	0.0305	0.00762	0	0.0114	0.00381	0.0114	0.019	0.00762	0.00381	0.0114	0.0114	0.0114	0.019	0.00762	0.019	0.0152	0.0152	0.00762	0.00762	0.00762	0	0.00762	0.0229	0.0114	0.00762	0.00762	0.0343	0.0152	0.00762	0	0.1
Asteroleplasma	0	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0.061	0.061	0.0114	0.0152	0.0381	0.0571	0	0.00762	0.1
Noviherbaspirillum	0.0648	0.0571	0.0343	0.0419	0.0343	0.0457	0.0457	0.061	0.0571	0.0381	0.0495	0.0648	0.0267	0.152	0.11	0.061	0.0952	0.0495	0.126	0.0495	0.0457	0.0495	0.0457	0.061	0.0343	0.0762	0.0838	0.0305	0.0419	0.0229	0.0457	0.0495	0	0.11	0.0876	0	0.019	0.0648	0.0533	0.1
Sanguibacter	0.0114	0.0305	0.0571	0.019	0.0381	0.0381	0.0114	0.0267	0.0114	0.0152	0.019	0.0114	0.00381	0.00762	0.00381	0.00762	0	0.00381	0.00381	0.0267	0.00762	0.00381	0	0.061	0.061	0.0571	0.0381	0.0229	0.0229	0	0	0	0	0	0.00381	0	0	0	0.423	0.1
Moheibacter	0.00762	0	0.00381	0.00381	0.0152	0.00762	0.00381	0.00381	0.00381	0	0.00762	0.00762	0.0114	0.0152	0.00381	0.0114	0.00762	0	0	0.00762	0.00381	0.0381	0	0.00381	0.00381	0	0.00762	0	0	0	0	0	0	0	0	0	0	0	0.00381	0.1
Verrucomicrobium	0.168	0.0457	0.019	0.0152	0.0229	0.0114	0.0229	0	0.00762	0.0229	0	0.00762	0	0.00381	0	0.00381	0	0.00381	0	0.0533	0	0	0	0.0267	0.0305	0.0305	0.0152	0.0152	0.00762	0	0.00762	0.00381	0.0724	0.0267	0.0381	0.103	0.107	0.00381	0	0.1
Candidatus_Methylacidiphilum	0.00381	0.183	0.0457	0.107	0.0267	0.0457	0.0724	0.0648	0.0343	0.0686	0.019	0.0152	0	0	0	0	0	0	0	0.126	0	0.00381	0	0.08	0.0762	0.0648	0.019	0.0533	0.0343	0	0	0	0	0	0	0.00381	0	0	0	0.1
Fontimonas	0.0762	0.0267	0.00381	0.0114	0.00762	0.00381	0.00381	0.00762	0	0.0152	0.00381	0	0	0	0	0	0	0.00381	0.00381	0.0152	0.00381	0.0267	0	0.0305	0.0229	0.0229	0.0152	0.00762	0.0114	0.00381	0	0	0.00381	0	0	0	0	0	0	0.1
Alkanindiges	0.152	0.133	0.69	0.751	1.42	1.4	2.4	3.1	3.87	0.16	2.01	1.98	10.8	1.01	0.625	0.495	0.674	0.591	0.187	0.122	0.21	0.19	0.297	0.156	0.251	0.21	0.377	0.545	0.625	0.0495	0.0457	0.0114	0.00762	0.0114	0.00381	0.00762	0.0114	0	0	0.1
Thermomonas	0.00762	0.019	0.0114	0	0.00381	0.0114	0.00381	0.00762	0	0	0.00381	0.00381	0.0152	0.0343	0.0533	0.08	0.0724	0.0876	0.0838	0.00381	0.0571	0.0305	0.019	0.00381	0.00762	0	0.0114	0.00762	0.0152	0.107	0.0152	0	0	0	0	0	0	0.00381	0.00381	0.1
Phormidium	0.00381	0.0114	0	0.00762	0.00762	0.0114	0.0152	0.00381	0.00381	0.019	0.00762	0.0114	0	0.00381	0.00381	0	0	0	0	0.0114	0.0114	0	0	0	0.00762	0	0.0343	0.00381	0.00381	0	0	0.00381	0	0.00762	0	0	0	0.00762	0.0724	0.1
Cellulosimicrobium	0.00762	0.0305	0.0229	0.019	0.0305	0.0305	0.0419	0.0114	0.00762	0.0305	0.00762	0.0229	0	0.00381	0.0114	0.019	0.00381	0.00381	0.00762	0.0114	0.00762	0	0.0305	0.0495	0.019	0.0229	0.0152	0.0457	0.0229	0.00381	0	0.00381	0	0.00762	0.0229	0	0.0114	0.00762	0.061	0.1
Phycicoccus	0.019	0.0229	0.0152	0.0114	0.0305	0.0114	0.0114	0.0152	0.0114	0.0114	0.00762	0.00762	0.00762	0.0114	0.00381	0.00762	0	0.00381	0.0152	0.0114	0.0114	0.0114	0.0229	0.0114	0.0229	0.00381	0.0152	0.00762	0.0152	0	0.00381	0.0267	0.0114	0.0457	0.0305	0.0114	0.0876	0.0114	0.00381	0.1
Algoriphagus	0.0648	0.0457	0.0114	0.0229	0.0152	0.019	0	0.00762	0.00381	0.0267	0.0152	0.0114	0.0114	0.0114	0.0343	0.0343	0.0343	0.0305	0.019	0.0343	0.0152	0.0229	0.0724	0.0229	0.019	0.0267	0.00762	0.00381	0.00762	0.0229	0.0305	0.00381	0	0	0	0	0	0.0267	0.0152	0.1
Geminicoccus	0	0.00381	0.00762	0.00381	0.00381	0.0114	0.00381	0	0.00381	0.0114	0	0	0.00381	0.00381	0.00762	0.0152	0.00381	0.00381	0.00381	0.0114	0	0	0	0.00381	0.00381	0.0114	0.00762	0.00762	0.00762	0	0	0.00762	0.00381	0.00762	0.00762	0.00381	0.00762	0.00762	0.00381	0.1
GKS98_freshwater_group	0.00381	0.0838	0.0229	0.0152	0.0114	0.0152	0.0305	0.00762	0.019	0.0381	0.00381	0.0152	0	0	0.00381	0.00381	0	0.00381	0	0.0267	0	0	0.00381	0.019	0.019	0.00381	0.0381	0.019	0.0343	0	0	0	0	0	0	0	0	0	0	0.1
Patulibacter	0.0419	0.0991	0.061	0.0267	0.019	0.0419	0.0267	0.019	0.0152	0.0533	0.00381	0.00762	0.00762	0.00762	0.00762	0.00762	0.00762	0.00381	0.00381	0.103	0.00762	0.00762	0	0.0495	0.0305	0.0762	0.0457	0.0343	0.0229	0.00381	0.00381	0.0686	0.183	0.145	0.179	0.103	0.0114	0.179	0.0152	0.1
AKYG587	0.0152	0.0114	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00381	0.00381	0.00381	0	0	0	0	0.00381	0	0.00381	0.0114	0	0.00381	0	0	0.0381	0.00381	0.0114	0.00381	0.0229	0.00381	0.21	0.0305	0.1
Psychrobacter	0.636	0.373	1.27	1.46	1.7	1.69	1.22	1.35	1.27	0.743	0.827	0.591	0.259	0.259	0.187	0.16	0.152	0.137	0.0419	0.815	0.0686	0.061	0.168	1.02	2.16	1.66	1.82	2.98	2.03	0.0229	0.08	0.335	0.00762	0.8	0.461	0.0229	0.00762	2.4	5.38	0.1
Achromobacter	0.0343	0.0343	0.019	0.0229	0.0229	0.0419	0.0381	0.0229	0.0305	0.019	0.0229	0.0152	0.0457	0.0152	0.019	0.0152	0.0305	0.0305	0.0229	0.0267	0.0305	0.0267	0.0305	0.0305	0.0229	0.0343	0.019	0.0267	0.019	0.107	0.019	0	0	0.00381	0.00381	0	0	0.00381	0.0114	0.1
Oscillochloris	0.0495	0.0229	0.0152	0.0114	0.00762	0.019	0	0.00381	0.019	0.019	0	0	0	0.00762	0.0229	0.0114	0.0114	0.0114	0.0305	0.0229	0.0114	0.019	0.00381	0.0152	0.0267	0.0114	0.00762	0.0152	0.0152	0.00762	0.0152	0.846	0.019	0.392	0.522	0.0152	0.305	0.107	0.331	0.1
Shinella	0.00381	0.019	0.0114	0.00762	0.00762	0.00381	0.00762	0.0114	0.0114	0	0.00381	0	0.0114	0.0381	0.0305	0.0533	0.0648	0.0419	0.0533	0.0229	0.0267	0.0381	0.0343	0.0114	0.0152	0.00762	0.0152	0.00381	0.00381	0.0457	0.019	0.0229	0	0.00762	0.00381	0	0	0.0267	0.0305	0.1
Larkinella	0.0571	0.0305	0.00381	0.0114	0	0.0114	0.0152	0.0229	0.0152	0.00381	0.00762	0.0114	0.019	0.00381	0.0267	0.019	0.0229	0.0343	0.0305	0.019	0.0114	0.00381	0.0343	0	0.0114	0.0229	0.0114	0.0152	0	0.00381	0.0152	0.0305	0.0457	0.00762	0.0114	0.00381	0.663	0.0343	0.00381	0.1
Synechococcus	0	0.11	0.0419	0.019	0.019	0.0152	0.0305	0.0457	0.0762	0.0267	0.00762	0.00762	0	0.00381	0.00381	0.0114	0	0.0114	0.0114	0.0343	0	0	0.0114	0.0457	0.0457	0.019	0.019	0.019	0.0267	0.00381	0.00381	0.0152	0	0.0152	0	0.00381	0.00381	0	0.0114	0.1
Truepera	0.0152	0.019	0.019	0.00381	0.0114	0.00762	0.0114	0.00381	0.0229	0.0267	0.00762	0.00762	0	0.00762	0	0.00762	0.00762	0.00762	0	0.0343	0.00381	0.00381	0.00381	0.0305	0.0152	0.0305	0.00762	0	0.0114	0.00381	0	0.00381	0	0.0229	0.019	0	0	0.0152	0.019	0.1
Ornithinimicrobium	0.0267	0.107	0.122	0.11	0.107	0.0952	0.0762	0.0991	0.0686	0.133	0.0914	0.0648	0.0381	0.061	0.0152	0.0305	0.0114	0.0152	0.00381	0.11	0.0267	0.0267	0.11	0.0991	0.11	0.114	0.11	0.08	0.118	0.019	0.0152	0	0	0.00381	0.0152	0.00381	0.00381	0.0267	0.0229	0.1
Rhodobacter	0.00762	0.0152	0.019	0.019	0.00762	0.00762	0.0152	0.0114	0.0267	0.0267	0.00762	0.0152	0	0	0.019	0.0152	0.00381	0.0114	0	0.061	0.00381	0.00762	0.00381	0.0343	0.0229	0.0152	0.0229	0.0152	0.019	0	0.00381	0	0	0	0	0	0	0	0	0.1
Cupriavidus	0.00762	0.00762	0.0229	0.0152	0.0114	0.0229	0.019	0.0114	0.00762	0.00762	0.00762	0.00381	0.0114	0.0533	0.00762	0.0114	0	0.00762	0	0.0152	0.00762	0.0152	0.0305	0.019	0.0114	0.00381	0.0114	0.00762	0.0267	0.0267	0	0	0	0	0.0305	0	0.00381	0	0	0.1
Anaeromyxobacter	0.019	0.0229	0	0.00381	0.00381	0	0	0.00381	0	0.00381	0	0.00762	0	0	0	0.0114	0.0114	0.019	0.0114	0.0152	0.00762	0.00762	0.00381	0.0114	0.00762	0.00762	0.00381	0.00762	0.00381	0.0343	0.0152	0.00381	0.00381	0	0	0	0.00381	0.0229	0	0.1
Pseudolabrys	0.0305	0.0114	0.00762	0.0114	0.00762	0.0229	0.00381	0.00381	0.00381	0.019	0	0.00381	0.00381	0	0	0	0.00381	0	0	0.019	0	0.0114	0	0.00381	0.00762	0.0152	0.0229	0	0.0152	0	0	0.061	0.0229	0.0381	0.00762	0.0229	0.0229	0.145	0.00762	0.1
Ralstonia	0	0.00762	0.019	0.0114	0.0381	0.00762	0.0305	0.0267	0.019	0.0343	0.00762	0	0.019	0.0343	0.0229	0.00381	0.00762	0.0267	0.0419	0.0229	0.0267	0.0419	0.0229	0.0229	0.019	0.0152	0.0267	0.019	0.0152	0.0267	0.00762	0.0114	0.00381	0.0229	0.0305	0.0381	0	0.00381	0.00381	0.1
Singulisphaera	0.00381	0.00381	0.00381	0.0152	0	0.0114	0.0152	0	0.00762	0.00381	0	0	0	0	0	0	0.00381	0	0.00381	0.00762	0.00762	0.0114	0.00762	0.0114	0.00762	0	0.0152	0.00381	0	0	0	0.0152	0.0114	0.00381	0.0305	0.019	0	0.00381	0	0.1
Cryobacterium	0.0152	0.0152	0.019	0.00381	0.00762	0.0343	0.0114	0.00381	0	0.0229	0.00762	0.0114	0.00762	0.0114	0.0152	0.0152	0.00762	0.0114	0.0114	0.019	0.0152	0.00762	0.00762	0.0152	0.0152	0.0229	0.0152	0.00762	0.0229	0.019	0.0114	0.0495	0	0.0381	0.0267	0	0.537	0.0114	0.0114	0.1
Actinoplanes	0	0.019	0.0229	0.00762	0.019	0.019	0.0114	0	0.00381	0.0114	0.00381	0.00762	0.00381	0.00381	0.00381	0	0.00762	0	0	0.00762	0	0	0.00762	0.0152	0.0152	0.0305	0.0114	0.00762	0.0114	0	0.00381	0.0152	0.019	0.0381	0.0267	0.00762	0.0152	0	0.00381	0.0
Planomicrobium	0.019	0.0305	0.0457	0.08	0.0533	0.0457	0.0229	0.0495	0.0267	0.019	0.0724	0.0419	0.00381	0	0	0	0	0	0	0.019	0	0	0	0.0533	0.0495	0.0495	0.0495	0.08	0.0838	0.00381	0	0	0	0	0	0	0	0	0.411	0.0
Aeromonas	0.00762	0	0	0.0114	0.00762	0.00762	0.00762	0	0.00381	0.00381	0	0.00762	0.00381	0	0	0	0	0	0	0.00762	0	0	0	0.00762	0	0.0114	0.00762	0.0114	0.00381	0	0	0	0	0	0	0	0	0	0	0.0
Actinotalea	0.00381	0.0267	0.0267	0.00381	0.019	0.0114	0.0152	0.0229	0.0381	0.0152	0.0305	0.0343	0.0991	0.107	0.145	0.0991	0.0419	0.08	0.0457	0.019	0.0648	0.0762	0.0952	0.0229	0.0152	0.0305	0.0152	0.0267	0.0114	0.0571	0.0229	0.00381	0	0	0	0	0	0.00381	0.019	0.0
Pantoea	0.415	0.343	0.316	0.236	0.263	0.286	0.389	0.309	0.19	0.202	0.164	0.114	0.0343	0.0457	0.0533	0.0838	0.0267	0.0457	0.0152	0.255	0.0114	0.00381	0.0152	0.305	2.12	0.347	0.271	0.274	0.278	0.697	0.00381	0.0114	0	0.00381	0.0114	0.00381	0.404	0.00381	0.225	0.0
Parafilimonas	0.0419	0.0152	0	0.00381	0	0.00381	0.00762	0.00381	0.00762	0.00762	0.00762	0	0.00762	0	0.00762	0.0114	0.019	0.00762	0.019	0.0152	0.0114	0	0.019	0.0114	0.0152	0.0114	0	0	0.00381	0.0114	0.00381	0	0	0	0	0	0	0.00762	0	0.0
Rhodoplanes	0.0152	0.0114	0.0114	0.0114	0.00381	0.00762	0	0.00381	0.00762	0.0152	0	0	0	0	0	0.00381	0.00381	0	0	0.0381	0.00381	0.00381	0	0.0229	0.0114	0.019	0.0114	0.0114	0	0	0.00381	0.0305	0.0343	0.0229	0.0229	0.0152	0.0114	0.0343	0	0.0
Aquipuribacter	0.00762	0.0571	0.019	0.0305	0.0571	0.0267	0.0419	0.0267	0.0114	0.0229	0.0152	0.0114	0.00381	0.00381	0.00381	0.019	0.00762	0	0.00762	0.0229	0.00762	0.00381	0.019	0.0305	0.0267	0.0343	0.0229	0.019	0.0305	0	0.00381	0.0152	0	0.0152	0.019	0	0	0	0.0305	0.0
Arcobacter	0	0.0114	0.00762	0.00381	0.00762	0.00381	0.00381	0.0114	0.0114	0.00381	0	0.0114	0	0	0	0	0	0	0	0.00381	0	0	0	0.00762	0.00381	0.0114	0.00381	0.00381	0.00762	0	0	0	0	0	0	0	0	0	0	0.0
Aliihoeflea	0	0.00762	0.0152	0	0	0.0114	0.00381	0.00381	0	0	0	0	0.00762	0.00381	0.00762	0.00381	0	0.00762	0	0.019	0.00381	0	0	0	0.00381	0	0.0114	0	0.00762	0	0	0.00381	0	0	0	0	0	0.00762	0	0.0
Pelomonas	0.019	0.0152	0.0114	0.00381	0	0.00762	0.0152	0.00381	0.0114	0.00762	0	0.00381	0	0	0.00381	0.00381	0.00381	0	0.00381	0.0114	0	0.00381	0.00381	0.0114	0.00762	0.0229	0.0152	0.00381	0	0	0	0.0381	0.019	0.0267	0.0381	0.0229	0.0991	0.0495	0.00762	0.0
Rhizomicrobium	0.019	0.0267	0.00762	0.00381	0.00381	0.00381	0.0114	0	0.00381	0	0	0	0	0.00762	0	0.00762	0	0.00381	0.00762	0	0.00762	0.0381	0.126	0.0114	0	0.0114	0.0114	0	0.00381	0.0305	0.0381	0.0114	0	0	0.0114	0.0495	0.0114	0.0419	0	0.0
Amaricoccus	0.00762	0.019	0.019	0.019	0.00762	0.0152	0.00762	0.00381	0.0114	0.0152	0.00762	0.00381	0.00381	0.00381	0	0	0	0	0	0.0114	0	0.00762	0	0.00762	0.00762	0.019	0.0152	0.00762	0.0114	0	0	0.061	0	0.0457	0.061	0	0.0343	0.00762	0.0114	0.0
Parasegetibacter	0.08	0.0343	0.0229	0.0229	0.00762	0.019	0.0267	0.0267	0.0419	0.00762	0.0457	0.118	0.187	0.385	0.571	0.781	0.933	1.28	0.804	0.0305	0.72	0.644	0.248	0.0305	0.0229	0.0114	0.0152	0.0114	0.0152	0.141	0.179	0.0229	0.0114	0.0267	0.0381	0.0114	0.0419	0.0762	0.0876	0.0
Gordonia	0.0152	0.0305	0.0343	0.019	0.0648	0.0152	0.019	0.019	0.0229	0.0381	0.0343	0.0114	0.0114	0.00762	0.019	0.00762	0.0114	0.0114	0.0343	0.0305	0.00762	0.0229	0.0229	0.0305	0.0229	0.0419	0.0229	0.0343	0.0419	0.00762	0.0114	0	0	0	0.0229	0.00381	0	0.00381	0.00762	0.0
Candidatus_Rhabdochlamydia	0	0	0.00381	0.00762	0	0	0.00381	0.00381	0.0152	0.0152	0.00381	0.00762	0	0.00381	0	0.00381	0.00762	0	0.0114	0	0.00762	0.00381	0.00762	0.00762	0	0.0152	0.00381	0	0.00381	0	0	0.00762	0	0	0	0.0114	0	0	0	0.0
Georgenia	0.0381	0.0762	0.0648	0.0876	0.0495	0.08	0.0495	0.0762	0.061	0.0648	0.0648	0.0457	0.0381	0.0876	0.0724	0.061	0.0114	0.0305	0.0419	0.11	0.0305	0.0305	0.0991	0.0838	0.0762	0.0952	0.0686	0.08	0.0457	0.0305	0	0.00381	0	0.00381	0	0	0	0.0114	0.0229	0.0
Terribacillus	0.00762	0.00762	0.00762	0.00381	0.00762	0.0152	0.00381	0	0	0.00762	0	0	0.00381	0	0	0	0	0	0	0.00381	0	0	0	0.00381	0.00762	0.0114	0.00762	0.0229	0.00381	0	0	0.0457	0.0152	0.0419	0.0419	0	0.019	0.00381	0	0.0
Candidatus_Solibacter	0.0114	0.00762	0.0152	0.0152	0.00381	0.00381	0.00381	0	0.00762	0.00762	0.00381	0	0	0	0	0	0	0	0	0.00762	0	0	0	0.00762	0.00381	0.0114	0.00762	0	0.00381	0	0	0.00762	0.0229	0.00762	0.00381	0.00381	0.00762	0.0152	0.00381	0.0
Thalassospira	0	0	0	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00762	0.0114	0.019	0.0267	0	0.00762	0.0838	0.0724	0	0	0	0	0	0	0.0267	0.114	0	0	0	0	0	0	0	0	0.0
Smaragdicoccus	0.0152	0.00762	0	0.00762	0.00762	0.00381	0.0114	0.00381	0.0114	0.0114	0.0229	0.0114	0.00762	0.00762	0.0114	0.00762	0.0152	0.00762	0.00762	0	0.0152	0	0	0	0.0152	0.00762	0.00762	0.0114	0.0114	0	0.00381	0	0	0	0	0	0	0	0	0.0
Kaistia	0.00381	0.00381	0.00762	0.00762	0.00381	0.0114	0.0152	0.00381	0.00381	0	0	0.00381	0.0152	0.00762	0	0.00381	0	0	0.00381	0.0114	0	0.00381	0	0.00381	0.019	0.00381	0.00762	0	0.00381	0.00381	0	0	0.00381	0.00762	0.019	0.0114	0.0114	0	0	0.0
Hydrotalea	0.00762	0	0.00381	0	0	0.00762	0.00381	0.00381	0.00381	0.00381	0	0	0.00381	0.00381	0.00381	0	0	0	0	0.0152	0	0	0.00381	0.0114	0.00762	0.00381	0.00381	0	0.0114	0	0	0	0	0	0.00762	0	0	0.00381	0	0.0
Hirschia	0.0419	0.00762	0.0267	0.00762	0.0114	0.0152	0.0114	0	0	0.019	0.00381	0.00381	0	0.0114	0.0114	0.0267	0.00381	0.0343	0.00762	0.0114	0.00381	0.00381	0.00381	0.00762	0	0.0114	0.019	0.0114	0.0152	0.00381	0.00381	0.0152	0.0152	0.00381	0.00762	0	0.0229	0.0152	0	0.0
Hydrogenophaga	0.0419	0.0267	0.00381	0.00762	0.00762	0.0152	0	0.00381	0.00381	0.0229	0.00381	0	0	0	0	0	0	0	0.00762	0.019	0.00381	0	0	0.00762	0.0114	0.019	0.0229	0.0114	0.0152	0.00762	0	0.0152	0.0229	0.0343	0.00762	0.0229	0.0114	0.0114	0	0.0
Defluviicoccus	0.0152	0.0152	0.00762	0.00381	0	0	0.00381	0	0	0.00381	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0.0114	0.00762	0.00381	0	0.00381	0.00762	0	0	0.00381	0.00381	0	0.00762	0.0152	0	0.0229	0	0.0
Comamonas	0.00381	0.0229	0.259	0.21	0.244	0.206	0.415	0.442	0.309	0.541	0.0267	0.0686	0.141	0.229	0.187	0.16	0.168	0.301	0.0267	0.297	0.0114	0.0114	0.0381	0.312	0.297	0.24	0.274	0.248	0.373	0.0686	0.00381	0.198	0.103	0.0686	0.061	0.0152	0.141	0.0495	0.0152	0.0
Cytophaga	0.0533	0.019	0	0.0114	0.00762	0.019	0.00762	0.00762	0.0152	0.00762	0.0305	0.061	0.0305	0.0305	0.0229	0.019	0.019	0.0305	0	0.00762	0.00762	0.00762	0	0	0	0.0114	0.0114	0.0114	0.00381	0.00381	0.484	0	0	0	0	0	0	0	0	0.0
Coxiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0991	0.0267	0.00381	0.0267	0.00381	0.00381	0.00381	0.0
Sporocytophaga	0.00381	0	0	0	0	0.00381	0.00381	0	0	0	0	0	0	0	0	0.00381	0	0.0114	0.0229	0	0.0571	0.0152	0.00762	0	0	0	0	0	0	0.00381	0.0152	0	0	0	0.00381	0	0	0	0	0.0
Dietzia	0.00381	0.0114	0.0229	0.0267	0.0229	0.0152	0.0152	0.019	0.0343	0.0152	0.0152	0.0267	0.0267	0	0.0152	0	0	0.0152	0.00762	0.019	0.00762	0	0.00381	0.0229	0.019	0.0267	0.0267	0.0419	0.0305	0.0114	0.00381	0	0	0	0	0	0	0	0.00381	0.0
Ensifer	0.0457	0.0305	0.0305	0.0114	0.0267	0.0305	0.0533	0.00381	0.0229	0.0152	0.00762	0.00762	0.00381	0.0229	0	0.00762	0.00762	0.00762	0	0.0152	0	0.0114	0.00762	0.0343	0.0229	0.0152	0.0114	0.0114	0.0114	0.0381	0.00762	0.0229	0.0267	0.0267	0.00762	0.00381	0.0114	0.0152	0.019	0.0
Chlorochromatium	0.0533	0.0419	0.0229	0	0	0.00762	0.00381	0	0	0	0	0	0	0	0	0	0	0	0	0.00762	0	0	0	0.00762	0.00762	0.0114	0.0152	0.00762	0.00381	0	0	0	0.00381	0.00381	0	0	0	0.0152	0.00381	0.0
Emticicia	0.0686	0.0267	0.0152	0.00381	0.00762	0.00762	0.00762	0.00381	0	0.0152	0	0	0.00381	0.00762	0	0	0	0	0	0.019	0	0	0.00381	0.019	0.0152	0.00381	0.0152	0.00762	0	0	0	0	0.0457	0.00381	0.00762	0.0343	0.0114	0.118	0.0114	0.0
Domibacillus	0.373	0.274	0.309	0.267	0.24	0.21	0.282	0.175	0.202	0.251	0.644	0.602	0.0305	0.0495	0.0381	0.0267	0.0267	0.0267	0.00381	0.251	0.0267	0.0533	0.0229	0.251	0.229	0.309	0.236	0.309	0.225	0.019	0.00762	0.00762	0.0229	0.0495	0.0152	0.0114	0.00381	0.0152	1.76	0.0
Sphingorhabdus	0	0.00762	0.00381	0.0114	0.00381	0.00762	0.00381	0.0114	0	0.00762	0	0.0114	0	0	0.00381	0	0	0	0	0.0229	0	0	0	0.00762	0.0152	0	0.00762	0.00381	0	0	0.00381	0	0	0	0	0	0	0	0	0.0
Schlesneria	0.0267	0.0114	0	0	0	0	0.00381	0	0	0.00381	0	0	0.00381	0	0	0.00381	0	0	0	0	0	0	0	0	0.0114	0	0	0	0	0.00381	0	0.0762	0.0305	0.0571	0.0343	0.0114	0.0343	0.0229	0	0.0
Brachybacterium	0.0305	0.0533	0.0419	0.0724	0.0457	0.0495	0.0229	0.0229	0.00762	0.0305	0.0152	0.0114	0.00762	0	0.00762	0	0	0.00381	0	0.0495	0.00381	0.00381	0.00762	0.0648	0.0533	0.0495	0.0305	0.0381	0.0495	0.00762	0	0	0	0	0	0	0	0.00381	0.0114	0.0
