Genus	A.0	A.1	A.11	A.12	A.13	A.14	A.15	A.16	A.17	A.2	A.20	A.21	A.23	A.24	A.25	A.26	A.27	A.28	A.29	A.3	A.30	A.32	A.34	A.4	A.5	A.6	A.7	A.8	A.9	BS.2	CS.2	G.1	G.2	G.3	G.4	G.5	GR.01	LW.1	T.1	All
Fluviicola	0.899	0.316	0.156	0.114	0.107	0.107	0.0686	0.0686	0.0267	0.194	0.00381	0.00381	0.0267	0.00762	0.0152	0.0114	0.00762	0.00762	0.00381	0.263	0.00762	0.00762	0.0114	0.236	0.202	0.171	0.168	0.0876	0.0952	0	0	0.0305	0.141	0.0457	0.0343	0.0457	0.133	0.0381	0.00381	0.4
Rhizobium	0.453	0.32	0.255	0.324	0.255	0.278	0.263	0.244	0.343	0.244	0.21	0.179	0.453	0.533	0.415	0.678	0.518	0.652	0.804	0.286	0.686	0.709	0.461	0.236	0.21	0.312	0.225	0.16	0.278	0.674	0.659	0.671	0.735	0.438	0.232	0.194	2.65	0.431	0.164	0.4
Lysobacter	0.156	0.343	0.267	0.244	0.309	0.301	0.389	0.568	0.522	0.225	0.644	0.404	1.24	2.06	2.42	2.68	1.87	1.98	1.71	0.198	1.18	1.13	0.476	0.225	0.263	0.21	0.24	0.263	0.232	1.74	0.979	0.0114	0.00762	0.0305	0.0267	0.00762	0.0114	0.019	0.0343	0.4
Segetibacter	0.244	0.0686	0.0343	0.0724	0.0648	0.0457	0.061	0.08	0.103	0.0267	0.0229	0.0267	0.0229	0.0495	0.0343	0.0305	0.061	0.0571	0.0686	0.0762	0.0343	0.08	0.0381	0.0267	0.0267	0.0419	0.0457	0.0343	0.0381	0.00381	0.0343	0.206	0.179	0.19	0.168	0.061	0.0152	0.229	0.122	0.4
Iamia	0.19	0.259	0.118	0.0724	0.0648	0.0876	0.0724	0.0686	0.0267	0.179	0.0267	0.00762	0.0152	0.019	0.0267	0.019	0.0305	0.0267	0.0305	0.198	0.0152	0.0457	0.0457	0.156	0.168	0.126	0.168	0.0762	0.0724	0.019	0.0229	0.187	0.29	0.194	0.213	0.217	0.19	0.568	0.061	0.4
Haliangium	0.0724	0.0876	0.0381	0.0152	0.0267	0.0457	0.0267	0.0229	0.00381	0.0419	0.00381	0.00381	0.00381	0	0.00381	0	0.00381	0	0	0.0838	0	0	0.019	0.0648	0.0762	0.0571	0.0571	0.0114	0.0343	0	0.0114	0.118	0.45	0.16	0.149	0.282	0.0343	0.0686	0.0152	0.4
Novosphingobium	0.168	0.118	0.179	0.118	0.08	0.0991	0.122	0.0686	0.0876	0.137	0.0648	0.0419	0.019	0.0419	0.0495	0.0419	0.0686	0.11	0.0343	0.149	0.0533	0.0305	0.0343	0.0952	0.0914	0.11	0.0838	0.08	0.103	0.152	0.061	0.0952	0.0305	0.0838	0.0343	0.00381	0.0952	0.0305	0.0381	0.4
Sphingobacterium	0.408	0.732	0.278	0.431	0.431	0.571	0.617	0.61	1	0.267	0.678	0.933	1.48	2.15	1.14	1.23	0.815	0.792	0.472	0.453	0.754	0.652	1.09	0.366	0.484	0.415	0.236	0.442	0.328	2.71	1.11	0.00762	0	0	0.00381	0	0.00381	0.236	0.789	0.4
Solirubrobacter	0.0571	0.118	0.107	0.0533	0.0724	0.0724	0.0648	0.0381	0.0267	0.0876	0.019	0.019	0.0114	0.0114	0.00762	0.0114	0.00381	0.00762	0.0114	0.13	0.0114	0.0152	0.0267	0.0914	0.0838	0.107	0.0533	0.0724	0.0762	0	0.00381	0.354	0.0991	0.511	0.347	0.103	0.202	0.183	0.0533	0.3
Acinetobacter	0.766	3.78	5.35	7.86	8.21	7.88	9.44	9.04	8.95	2.42	6.82	5.85	8.19	0.484	0.278	0.423	0.316	0.53	0.251	1.4	0.164	0.141	0.297	1.4	1.8	2.11	2.77	5.43	5.9	1.26	0.267	0.0114	0.019	0.00762	0.0419	0.0152	0.0305	0.0267	3.42	0.3
