Class	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SSF	SST	SST	SST	SST	SST	SST	SST	SST	SSF	SST	SST	SST	SSF	SSF	SSF	SSF	SSF	SSF	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP	SSP
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	0.281173848749297	0.540226063829787	0.249351074049094	0.200044908040581	0.253953834083495	0.219205987201913	0.475866757307954	0.292446177458829	0.100051046452272	0.276726488422252	0.00327471591839408	0.839781285463737	0.306685328503211	0.737009434546543	0.44185042849216	0.022728211909583	0.114068441064639	0.0101760455886842	0.0266934970534486	0.053843605036448	0.0265701964150673	0.121943657896369	0.197267029692798	0.065865305450354	0.0142962176292787	0.345808352601747	0.256647593402895	0.145715751667522	0.381631631631632	0.189063408958697	0.0801759759883231	0.276877640592313	0.010518122725456	0.0102739022335463	8.4506751028679	6.44068488398196	0.289271789711986	3.86091668548205	3.16125708397733	0.775242263207252	1.23459343204566	2.0895395352796	0.861186011998077
k__Fungi|p__Ascomycota|c__Unassigned|o__Unassigned	0.0479036927498802	0.101811835106383	0.302491466879228	1.85755986037682	1.5010116860057	0.617762327569028	1.32047875079826	0.491558468494628	0.406329760081674	0.612460830993367	0	1.25038687712782	0.512514408035567	0.796878548277215	4.54181138124499	0.828546634158436	0.787917194761301	0.449781215019843	1.37163507936182	0.476308813783963	2.86958121282727	0.388566231940971	0.0924689201684989	1.08471924913552	0.312474471039948	1.10699596897956	0.292409962975429	0.131349409953822	4.89030697364031	0.698080279232112	3.56885882860843	0.56606095409984	0	0.0513695111677317	0.444554721584683	0.683659517152711	0.00209617238921729	1.53738787741949	1.93508500772798	0.00416796915702824	0.00413599139713789	0.12767044003745	0.0397148889028239
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Cystofilobasidiales	0.131214462749672	0.0353224734042553	0	0.0387842168650105	0.012387991906512	0	0.0185402632717385	0.00622225909486871	0.0592138846350179	0.124119969071745	0	0.0103167234086454	0.0946813765848839	0.0165156175808749	0.0123307096323393	0.00413240216537873	0	0.00203520911773685	0	0.00207090788601723	0.0347456414658573	0	0.053426487208466	0.00205829079532356	0.0653541377338453	0.00613860980949848	0.0904577583305284	0.0595177013853258	0.0125125125125125	0.045707637330674	0	0.0205094548586899	0.00631087363527358	0.00205478044670927	0.0599631950044455	0.00816309871227118	0.00209617238921729	0.00821034914509739	0.0288511076764554	0.00625195373554236	11.1795847464637	0.0276619286747808	0.00209025731067494
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Filobasidiales	10.5429779434736	14.7336269946809	13.5957651194637	12.0680152687338	17.0417475327249	10.980227177114	16.7088972663412	8.83560791471357	15.7631444614599	11.9887681601758	0.0327471591839408	17.5735066542866	15.6841758603656	16.2554966039761	15.2366468690273	12.3724120831439	4.83945923109421	6.48824666734507	0.88499209461818	2.54928760768721	2.15014204835776	6.38240704379638	20.6308435220384	1.78659641034085	0.347193856711053	2.75623580446482	20.1573544261192	20.2626988199076	16.3455121788455	12.45325355273	20.2577965997163	12.8758357602855	4.81730020825883	6.71091293895247	56.0862642929512	66.376196404155	4.00368926340502	49.0260473326628	38.2751159196291	0.864853600083359	0.0992637935313095	5.8494339943825	36.029765264104
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	3.41157603149147	2.35413896276596	1.43274674515094	2.3780848761967	2.41152909113433	1.66507982197817	1.606822816884	1.46637906002406	1.97447677386422	1.50775241118301	0.00654943183678816	1.23800680903745	2.52552280586201	1.5648547657879	1.1590867054399	0.301665358072648	0.190114068441065	0.00203520911773685	0.657070696700273	0.144963552021206	0.0674474216690171	0.541512514726247	2.55625192643584	0.296393874526593	0.0531002369087493	0.114587383110638	2.86519690339953	2.35197537198563	2.6463963963964	2.49522147427907	2.63758403059022	2.82415193404159	0.00210362454509119	0.00205478044670927	1.86919752703513	1.22242403216261	0.173982308305035	3.49145097395267	4.64502833590933	0.370949254975513	0.0930598064356026	3.81521831645246	3.21272548650739
k__Fungi|p__Chytridiomycota|c__Spizellomycetes|o__Spizellomycetales	0	0	0.0102193063134874	0.00204127457184266	0.00412933063550399	0.00221420189092841	0.0185402632717385	0	0.287901990811639	0	0	0.0165067574538327	0	0.00206445219760936	0	0	0.00211237853823405	0.00203520911773685	9.0798956900269	0.00828363154406892	0.00204386126269749	0	0	0.047340688292442	0.00204231680418266	0	0.00420733759676876	0.0266803488968702	0.00417083750417084	0.018698578908003	0	0.0123056729152139	0	0	0	0.00204077467806779	0	0	0.00412158681092221	0	0	0.00212784066729083	0.00209025731067494
k__Fungi|p__Rozellomycota|c__Unassigned|o__Unassigned	0.0124966154999688	0.0477892287234043	0	0.0102063728592133	0.0289053144485279	0.0575692491641388	0.0267803802814	0	0	0	0	0	0	0	0.0945354405146016	0	0.0971694127587664	0.00203520911773685	0	0.00207090788601723	0.00204386126269749	0.00413368331852097	0.00410972978526662	0	0.00204231680418266	0	0.0294513631773814	0.0472036942021549	0	0.051940496966675	0.0904549472688773	0.0287132368021658	0.00210362454509119	0	0	0.00204077467806779	0	0.0041051745725487	0.00412158681092221	0	0.00413599139713789	4.35781768661163	0.00627077193202483
k__Fungi|p__Unassigned|c__Unassigned|o__Unassigned	38.3167058921542	35.4429853723404	24.4486684243874	40.4948049562147	33.375314861461	22.3545822908133	29.2359351502791	24.1071058198863	26.8790199081164	28.5353843649534	0.317647444084226	35.3223976065202	25.0576321422691	27.3374760007432	26.4267658603753	4.74606388693748	4.78242501056189	9.98677114073471	17.4246935381204	4.02170311464546	2.63249330635436	10.687638220036	39.2561389088667	15.8159064712663	4.30111918960869	13.4190010435637	32.6110737125547	28.6013340174448	34.9140807474141	23.7970580902518	25.4692350389573	22.7716477296033	7.44262364053264	11.4944418188917	23.9294501995327	18.8465541519561	56.521192302855	28.5453313902174	33.2282328696548	54.6379076794832	55.7097361237489	51.5916248191335	49.2673648126084
k__Spike|p__Spike|c__Spike|o__Spike	16.9870660029575	31.9398271276596	52.7827171091626	26.0752413807181	31.2198042697279	39.2312291034697	40.3188925282739	57.6450823412287	43.3690658499234	48.0446017987222	98.4445099387628	34.4186526359228	46.2374444261485	46.1198620945932	45.9195626708317	78.2676970122732	84.9133924799324	77.2809606187036	66.1526457362272	89.0801027170312	89.723465571157	76.4070024595416	23.575464913182	75.9756298369834	90.0416632628053	71.6171144441489	30.6883204308314	36.9522832221652	29.9153319986653	52.9502202277071	37.8965113171474	51.1998031092334	78.4273302900898	73.5631947726385	1.48874139321382	1.16120079182058	26.1770007965455	3.88965290748989	8.31117980422463	38.966343649057	0.533542890230788	9.25610690271512	3.6621308083025
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Capnodiales|f__Cladosporiaceae	0.060400308249849	0.384391622340426	0.0592719766182272	0.242911674049276	0.179625882644423	0.0686402586187809	0.216303071503615	0.0518521591239059	0.310362429811128	0.0712163756969031	0	0.319818425668008	0.0288160711345299	0.19405850657528	0.0760393760660926	0.0247944129922724	0.00211237853823405	0.00203520911773685	0	0.0331345261762757	0	0.272823099022384	0.314394328572896	0	0	0	0.227196230225513	0.176500769625449	0.248164831498165	0.147511011385357	0.0637296219394363	0.112802001722794	0	0	0.153009532080309	0.126528030040203	0	0.426938155545065	0.304997424008243	0.00625195373554236	0.00413599139713789	0.0553238573495617	0.0209025731067494
