Class	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	KO	WT	WT	WT	WT	WT	WT	WT	WT	WT	WT
k__Bacteria|p__Firmicutes|c__Unassigned	0.561606535057863	0.4880174291939	0.63939604036669	0.632825810639046	0.465423773634801	0.507533281959982	0.436393159790937	0.403597498692045	0.454587410005538	0.44920712236835	0.390385793018983	0.370117597648047	0.0434404865334492	0.0703132576859664	0.0323117838590212	0.0268070380659941	0.0150308131669923	0.0318666503247947	0.0103869124902623	0.505154336397545	0.018807598269701	0	0.014960728088767	0.668304106928657	0.671605991151858	0.575004227972264	0.669497060744611	0.664513396166473	0.69093534082706	0.01829587036069	0.0213492741246798	0.00987524276638467	0	0.002260500022605	0.0201775625504439	0	0	0	0.345110928512736
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	1.13739505332426	1.66448801742919	1.9644095216085	2.13105443924602	1.89342853365067	2.27459942072118	2.22763485056071	2.1599940207778	2.94904928927451	1.38009417113168	4.05695039804042	2.97931541369173	4.18476686938894	6.68703326544467	6.53940794869883	6.5872203538529	5.45117490856255	5.42958695918617	6.7800571280187	1.63294076184323	6.44831940675461	8.64983305509182	7.90425134023189	1.6164962586394	1.51644368637066	1.66582107221377	1.48867842368822	1.72879381552473	1.68093224708673	5.04966021955044	6.15392826643894	1.44836893906975	0.425235042025182	2.59957502599575	1.7064452899804	0.226807545499806	0.578295834462817	0.495294700346706	2.61572172007669
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1.71885636487406	2.08278867102397	3.64121921783119	3.37507099007491	3.24738860240645	3.66965163553264	4.61511138174253	3.47542290540372	3.20749492338933	2.0539048546842	2.62808736476832	1.94508609827803	1.18495993821797	1.22199592668024	1.13091243506574	0.940683335770337	0.944436093992685	0.997671283245496	0.706310049337834	1.89139181767453	1.49386066256482	2.02420701168614	2.57324523126792	2.3676243788199	2.24135174031235	2.49732228423248	2.72697583278903	1.86381446574182	2.25069609157471	1.787767903816	1.40104611443211	0.648474274992594	0.0930201654430085	1.22293051222931	0.521734117375764	0.0968080986889417	0.0722869793078522	0.179068083971502	0.673788003286771
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	5.23882459723168	12.8336964415396	23.1954394884832	24.7261811396273	29.2317863281766	25.6237876331943	29.2205815192571	33.9844041954209	28.4244046520214	29.7234399523732	28.8911002245356	32.2658546829063	34.3565981272324	19.939870041703	20.0507046454403	20.755958473461	20.5320907861115	20.4093638926339	20.1298364061283	20.3735792534289	18.7995378704425	18.3378547579299	22.887420521132	21.677043468327	25.864825968765	20.333727944078	22.0634661441324	30.0990151434925	29.3724863359802	16.0925248301098	12.075683176772	7.18588498633925	10.2189296036677	13.9608481396085	12.7522195318805	21.7679924766278	13.0779193397789	10.8050443860251	12.903314160504
k__Bacteria|p__Saccharibacteria|c__Unassigned	0.8452461992285	0.241103848946986	0.215699869039365	0.275847148227276	0.211556260743091	0.30558286610156	0.3755010909829	0.401106156107526	0.452279859700941	0.281430968230773	0.375076546233925	1.77446451070979	3.79380249058789	4.71826205023761	5.00086993264236	4.80333382073403	6.84653539756501	5.58646893001593	10.2337055310309	0.243766336749978	8.67298960208496	7.2360183639399	2.40867722229148	0.291312046609927	0.261180107670167	0.259315632222786	0.234051817983889	0.259451445515196	0.229452407961225	9.50078410872974	17.5784585824082	0.490470390730439	0.215939669778413	0.33003300330033	0.273838348898882	0.257232947944902	1.30718954248366	0.156208328570884	0.651876198301835
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.581461311549807	0.238198983297022	0.11812135685489	0.0892446656029424	0.0766891445193706	0.103632450243138	0.131932815750748	0.149480555071128	0.136145467971202	0.13259728310873	0.086752398448663	0.115497690046199	1.33458828072208	2.56037241780623	3.18146794919593	4.11609884486036	3.81031113783256	3.46120848143155	3.05894572838224	0.167405797527093	2.18974179854375	1.24947829716194	0.7704774965715	0.211344033815045	0.154575982090507	0.18884942781442	0.078924450250381	0.0688340569734195	0.0592966896978447	2.45687401986409	1.78266438941076	0.0131669903551796	0.0963423142088303	0.024865500248655	0.0259425804219993	0.0359572937987498	0.286135959760248	0.0533394292681068	0.0164338537387017
k__Spike|p__Spike|c__Spike	0.10211027910143	0.981844589687727	0.511003261176591	0.57873813451605	0.507735025783419	0.480960858820716	0.847414624245192	1.22324920899873	3.38286874653867	1.11760567191644	0.301081853439477	0.251994960100798	0.72400810889082	0.88012801862089	0.904729948052594	0.626309889360043	0.62127361090235	0.948645667361196	0.618021293170605	0.511028224030074	0.325102770090545	0.639085976627713	0.895150230644558	0.871080139372822	0.599648206385587	0.543999098032584	0.639560200304812	0.465953616435455	0.598123130865216	0.297961317302666	0.234842015371477	0.177754369794924	0.504966612404903	0.70075500700755	0.723509742880203	1.72871604801682	0.0391554471250866	0.171448165504629	0.109559024924678
k__Archaea|p__Thaumarchaeota|c__Soil_Crenarchaeotic_Group[SCG]|o__Unassigned	2.8477422282732	0.877269426289034	0.63939604036669	0.486789085106958	0.372867909559699	0.467674647251083	0.324757700309535	0.298961110142256	0.343824995384899	0.603452941494831	0.132680138803837	0.0761234775304494	0.0265469639926634	0.0290951411114344	0.0521959585414958	0.0414290588292635	0.0475975750288091	0.0392204927074396	0.0389509218384835	1.12484948162942	0.0725435933259894	0.0834724540901502	0.117192370028675	0.853944136631062	0.895474654869143	0.890692823721743	0.519812758545613	0.383882240813301	0.438279880375374	0.0627286983795086	0.0426985482493595	9.20043451068172	3.37198099730906	3.74564853745649	6.32710711403205	7.6893289815788	1.39453630914731	8.88101497313979	1.33935907970419
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0.130474245518493	0.0668119099491649	0.0667642451788511	0.0730183627660438	0.0925558640751025	0.0770600271038716	0.0558177297407013	0.0697575923665263	0.0807642606608824	0.0622395410510364	0.0612369871402327	0.0472490550188996	0.516459117675451	0.358840073707691	0.345487535107996	0.333869474094653	0.245503281727541	0.367692119132247	0.262269540379122	0.0792974830391495	0.343910368360246	0.354757929883139	0.503677845655155	0.077112012337922	0.085283300463728	0.0845594452900389	0.0952536468539081	0.100603621730382	0.0438279880375374	0.162049137480397	0.282877882152007	0.0362092234767438	0.00664429753164347	0.01808400018084	0.028825089357777	0	0.00301195747116051	0.019049796167181	0.0164338537387017
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	5.6954844565464	10.6347131445171	13.4247489921167	12.78362225167	11.8841729472432	12.3774346982701	10.4277667833765	9.71125339445427	12.1146390991324	8.80012989121611	14.4264135537865	12.7703695926081	4.45747659040448	5.85782174376879	5.04809484751324	3.9771896476093	2.58028959366702	3.64260326020346	2.66424305375227	10.1177714470322	3.66748166259169	3.45367278797997	6.99663383618003	11.4068658250985	10.5697990512233	11.1815773155195	11.7080339647289	11.5402943979667	12.24863359802	7.16152639832723	5.09447053800171	12.6567694789164	7.4449353842065	16.5604231656042	14.8045658941543	9.23549261492504	18.5295623625794	4.87674781879834	13.1772117228157
